event,eco_mean,eco_median,eco_5,eco_95,fatality_mean,fatality_median,fatality_5,fatality_95
Croatia_22-3-2020,781.541885,685.418,335.33815,1626.3189999999997,44.7426959,34.4377,11.675645000000001,111.91794999999996
Croatia_29-12-2020,2263.62325,2201.09,1549.41,3288.673499999999,154.35699200000002,143.1035,97.79954000000001,237.14289999999968
Cyprus_09-10-1996,1214.289545,1042.805,443.43175,2533.471999999999,12.909284699999999,9.30586,2.813198,36.03491499999998
Germany_13-4-1992,4656.6349,4559.545,3358.613,6197.887999999999,90.9080065,85.78005,51.978770000000004,146.7025
Greece_03-2-2014_2,195.209561,186.03,77.30409,354.6269499999998,9.3344327,8.54148,3.226565,18.375559999999993
Greece_07-9-1999,20447.6885,19344.85,13711.55,29076.559999999998,648.433575,604.885,395.306,1033.4795
Greece_12-6-2017,334.94947,319.8085,218.22095,491.3093999999999,6.60482045,6.177355,3.648743,11.391609999999998
Greece_13-5-1995,1313.35186,1287.985,1008.0155,1730.5659999999991,38.619471999999995,36.8994,27.357075,54.494175
Greece_13-9-1986,638.81244,563.8965,303.65315,1159.4654999999996,28.48650885,22.2197,7.1603695,70.92195499999998
Greece_15-6-1995,590.79939,548.506,373.37135,921.2914999999998,45.484570000000005,42.1601,23.070075,80.44779999999999
Greece_16-10-1988,345.8594,331.8535,236.1899,494.8851,7.74961795,7.535880000000001,4.430921,11.906029999999989
Greece_17-11-2015,1080.526985,1042.63,710.19925,1508.748,31.3935855,29.94445,16.24541,49.189874999999994
Greece_24-2-1981_1,37344.523,36206.55,27461.795,48837.65999999999,4480.06925,4297.325,3017.9645,6380.5525
Greece_25-2-1981_2,14798.57985,14335.95,9352.289,22837.575,1530.5297849999997,1420.0900000000001,740.3173,2668.8779999999992
Greece_26-1-2014_1,298.9560605,285.4575,129.06975,515.7396999999997,4.1089347499999995,3.536625,1.116376,9.245387499999998
Greece_30-10-2020,709.280255,694.0555,536.8706,922.6656999999999,12.736592049999999,12.18995,7.9079505,18.061574999999987
Iceland_17-6-2000,22.270546,21.39445,14.3242,34.0719,0.070150302,0.0639762,0.037393035,0.12425604999999998
Iceland_20-6-2000,14.6926413,13.37465,8.6163785,25.173564999999993,0.3013522735,0.25609099999999996,0.12393985,0.5623953999999997
Iceland_29-5-2008,196.139728,182.934,106.55845,350.84514999999976,1.056861075,0.951433,0.36710795,2.1945559999999986
Italy_01-11-2002_2,80.2091635,75.2107,49.30205,129.63574999999994,0.892096495,0.7129570000000001,0.25263159999999996,2.2917869999999994
Italy_06-4-2009_1,2773.5432,2800.835,1946.491,3656.3775,180.66979849999998,180.38,112.14145,253.92249999999996
Italy_07-4-2009_2,173.159408,153.8835,100.250895,311.7889499999999,2.470334455,1.91867,0.7209638,6.265318999999998
Italy_13-12-1990,4949.7083,4583.865,2818.568,8200.350999999999,273.43621099999996,228.3055,121.61125,564.9558499999996
Italy_14-10-1997_3,127.7898495,110.7005,77.84817,201.09084999999996,1.2112271350000001,0.9347715000000001,0.4228945,2.2509249999999983
Italy_18-1-2017,91.384397,88.3142,65.646885,123.25264999999999,0.9286145650000001,0.8015369999999999,0.4149808,1.8301084999999995
Italy_20-5-2012_1,6665.5121,6571.64,5325.206,8291.862,307.50752,298.5645,225.4251,411.60155
Italy_23-11-1980,23570.6615,23296.2,18927.17,28965.225,680.95628,661.1714999999999,499.6951,926.3889999999997
Italy_24-11-2004,1519.663425,1508.26,1068.899,1973.587,63.29348099999999,61.46295,30.670545,98.70771499999996
Italy_24-8-2016,940.70851,921.3135,757.4396,1189.005,38.750684,37.88235,27.981295,50.67113
Italy_26-10-2016_1,1084.615565,1044.88,755.89445,1483.1419999999998,18.3928639,17.679049999999997,10.488055,29.186574999999987
Italy_26-9-1997_1,709.425605,661.4315,457.64605,1234.796,32.5243862,28.00285,14.25184,67.97730999999995
Italy_26-9-1997_2,2150.9652,2082.085,1627.794,2823.894,35.625736499999995,33.171549999999996,22.95626,52.539194999999985
Italy_29-5-2012_2,6640.07835,6547.66,5554.1595,7930.997999999997,141.80364,139.523,108.3117,181.51325
Italy_30-10-2016_2,2294.95865,2231.235,1857.8835,2859.096,41.466201500000004,39.56395,30.67934,56.33246
Italy_31-10-2002_1,160.4743035,154.839,100.4663,234.98864999999995,2.2680843900000003,1.87711,0.80170125,4.8136455
Netherlands_13-4-1992,3546.53965,3520.585,2682.774,4503.459999999998,165.882401,164.885,95.557325,238.565
Romania_30-5-1990_1,14795.1075,14761.8,12949.855,16725.385,1390.69575,1368.9699999999998,1106.986,1720.1509999999998
Romania_31-5-1990_2,38.8546705,37.3152,26.3937,56.58832999999999,4.5907656999999995,4.070545,2.0342875,8.221136499999998
Serbia_03-11-2010,417.027385,406.101,261.49925,611.3441999999995,86.75368700000001,80.55335,42.12841,141.18559999999994
Spain_25-1-2016,80.20068404999999,58.02425,19.30536,254.50789999999998,2.9784943804999995,0.898827,0.07667718000000001,8.204615999999945
Turkey_01-10-1995,181.27204,171.951,131.2958,260.91594999999995,46.459606,43.64955,28.95503,79.43114999999999
Turkey_12-11-1999,2081.8759,2036.23,1639.134,2688.7089999999994,1158.54937,1142.52,936.5358,1423.5149999999996
Turkey_13-3-1992,572.321435,565.6455,460.5122,716.9615499999999,264.792055,259.3795,202.5918,337.43594999999993
Turkey_17-8-1999,29622.643,29320.4,24292.505,35884.96,22708.0505,22596.9,18473.795000000002,27990.954999999998
Turkey_23-10-2011,1135.2168,1146.56,910.50095,1359.267,769.39231,779.2055,559.3339000000001,966.14275
Turkey_27-6-1998,2968.9038,2970.495,2269.5795,3914.3684999999996,1009.610325,988.7215,715.0702,1392.866
Turkey_30-10-2020,7052.40645,6997.975,5380.0855,9024.9705,1772.02742,1752.65,1225.663,2422.9429999999998
