Scenario,EM-DAT,eco-loss_mean-rupture,eco-loss_median-rupture,eco-loss_5-rupture,eco-loss_95-rupture,eco-loss_mean-shakemap,eco-loss_median-shakemap,eco-loss_5-shakemap,eco-loss_95-shakemap
Italy_23-11-1980,20000,18760.42681,12036.55,1418.829,58854.465,23601.115,22546.4,18530.545,32001.625
Greece_24-2-1981_1,900,4431.998844,2321.92,317.050235,15400.5215,52681.07505,50513.1,38597.74,75590.16
Greece_13-9-1986,745,832.2177478,568.651,38.38982,2445.4365,751.558595,666.9815,311.75225,1442.4945
Italy_13-12-1990,500,555.2492087,156.5655,2.6528355,2304.1495,5236.12515,4845.505,2868.4115,8582.1285
Turkey_13-3-1992,750,339.5581034,246.0175,10.827115,995.0329,678.933745,659.274,331.9714,1089.7945
Germany_13-4-1992,50,418.6809747,104.506,1.285125,1827.425,3874.7948,3508.235,2287.062,6686.452
Greece_13-5-1995,450,762.5059898,426.8495,24.949055,2718.7085,1587.442255,1499.255,950.36285,2414.825
Greece_15-6-1995,422.7,1123.757683,686.436,72.76282,3471.7585,900.481335,869.145,420.02225,1536.09
Turkey_01-10-1995,205.8,115.677201,34.3776,0.444729,512.21,43.9575363,26.1583,3.3463935,143.1363
Italy_26-9-1997_1,4524.9,5404.784222,2769.436,242.472565,18806.4675,3148.715783,2897.945,1858.94684,5181.39635
Turkey_27-6-1998,550,1522.662164,567.23,9.317778,6066.751,3604.945693,2545.215,285.776,10276.97
Turkey_17-8-1999,20000,17889.6184,10726.55,2066.722,66678.26,19573.2404,15532.65,8614.9605,42784.78
Greece_07-9-1999,4200,13845.23839,8924.115,758.6276,43477.455,19054.222,18224.95,14213.305,26208.465
Turkey_12-11-1999,1000,512.5292982,272.8165,7.9462925,1735.1135,1657.198025,1407.41,631.6883,3670.2605
Iceland_17-6-2000,12,219.5494026,53.6983,0.380177,1027.14,14.44009375,12.9521,7.014976,26.876035
Italy_31-10-2002_1,796,2011.065682,904.667,66.06042,7424.4465,239.227336,226.24605,153.623315,360.79605
Italy_06-4-2009_1,2500,5298.129734,3754.0725,660.018265,14439.648,2989.004723,2913.6755,1562.86258,4363.9117
Serbia_03-11-2010,132.26,934.6059338,706.6,54.93111,2427.786,669.229995,631.7855,201.7803,1249.6865
Turkey_23-10-2011,1500,1503.739855,1213.875,127.8966,3811.509,1673.73044,1535.65,675.0939,3146.362
Italy_20-5-2012_1,15800,25513.37263,17353.195,2980.7245,73996.915,13536.498,13316.35,10173.164,17476.9535
Greece_26-1-2014_1,178,5619.803034,2598.78245,327.6585835,19322.3165,2771.623223,2593.8505,1885.683855,4302.0045
Spain_25-1-2016,200,25.21334023,1.912805,0.0135989,122.1603,162.7823383,26.83175,1.418842,594.3837
Italy_24-8-2016,5000,2930.693842,1498.155,203.9751,9817.7035,999.02944,966.2535,766.011,1308.6635
Italy_26-10-2016_1,400,7793.133864,3736.63,498.4572,26589.617,3514.51272,3390.595,2603.88365,4899.0305
Italy_18-1-2017,18,1791.576434,970.4035,142.6987,5997.396,91.398314,85.94175,55.14514,150.7445
Albania_26-11-2019,700,621.3770036,321.798,19.28795,2152.3485,434.142115,385.328,197.4987,791.3116
Croatia_29-12-2020,6800,2611.654862,1605.73,249.9809,8510.602,2276.475995,1800.955,974.10705,5376.66
Turkey_30-10-2020,469.444,565.0011945,84.80395,0.574594,2704.427,10512.69636,9904.19,767.92905,21684.71
Greece_30-10-2020,450,316.3312643,161.358,5.3133525,1115.4905,1010.32981,1044.515,435.76015,1554.681
