#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T15:47:13', checksum=1653129626"
event_id,loss,loss_type
0,3.62036E+02,occupants
0,5.93548E+08,structural
1,3.71785E+02,occupants
1,6.06493E+08,structural
2,3.53101E+02,occupants
2,4.98561E+08,structural
3,1.02057E+02,occupants
3,1.54223E+08,structural
4,1.06378E+02,occupants
4,1.42687E+08,structural
5,9.78895E+01,occupants
5,1.79123E+08,structural
6,1.63985E+01,occupants
6,3.25395E+07,structural
7,1.75918E+01,occupants
7,3.18911E+07,structural
8,1.52805E+01,occupants
8,3.02406E+07,structural
9,1.00114E+03,occupants
9,1.28786E+09,structural
10,1.01548E+03,occupants
10,1.25163E+09,structural
11,9.87906E+02,occupants
11,1.28243E+09,structural
12,2.57294E+03,occupants
12,3.24299E+09,structural
13,2.57813E+03,occupants
13,3.07329E+09,structural
14,2.57169E+03,occupants
14,3.02626E+09,structural
15,1.45394E+02,occupants
15,3.55802E+08,structural
16,1.55857E+02,occupants
16,4.86297E+08,structural
17,1.35519E+02,occupants
17,3.95384E+08,structural
18,6.74918E+01,occupants
18,1.65057E+08,structural
19,7.42690E+01,occupants
19,3.38960E+08,structural
20,6.12794E+01,occupants
20,2.84910E+08,structural
21,2.11688E+01,occupants
21,1.03821E+08,structural
22,2.42271E+01,occupants
22,1.40239E+08,structural
23,1.85895E+01,occupants
23,1.30665E+08,structural
24,2.68480E+02,occupants
24,7.27667E+08,structural
25,2.82930E+02,occupants
25,7.40325E+08,structural
26,2.54726E+02,occupants
26,7.52040E+08,structural
27,5.32102E+02,occupants
27,1.13160E+09,structural
28,5.52787E+02,occupants
28,1.12966E+09,structural
29,5.11963E+02,occupants
29,1.06193E+09,structural
30,2.34289E+01,occupants
30,1.12078E+08,structural
31,2.52703E+01,occupants
31,1.79928E+08,structural
32,2.17043E+01,occupants
32,1.06302E+08,structural
33,6.08683E+00,occupants
33,3.42915E+07,structural
34,6.62955E+00,occupants
34,3.54525E+07,structural
35,5.59679E+00,occupants
35,3.45582E+07,structural
36,1.39780E+00,occupants
36,1.06450E+07,structural
37,1.51934E+00,occupants
37,9.76718E+06,structural
38,1.28266E+00,occupants
38,1.05218E+07,structural
39,9.47365E+01,occupants
39,3.31644E+08,structural
40,1.01241E+02,occupants
40,3.20894E+08,structural
41,8.88434E+01,occupants
41,2.98814E+08,structural
42,4.16816E+02,occupants
42,1.42019E+09,structural
43,4.37827E+02,occupants
43,1.45427E+09,structural
44,3.97084E+02,occupants
44,1.18134E+09,structural
45,1.29669E+02,occupants
45,3.63453E+08,structural
46,1.35616E+02,occupants
46,3.31205E+08,structural
47,1.24222E+02,occupants
47,3.29287E+08,structural
48,4.76706E+01,occupants
48,1.24846E+08,structural
49,5.00595E+01,occupants
49,1.87775E+08,structural
50,4.53803E+01,occupants
50,1.37527E+08,structural
51,1.56219E+01,occupants
51,6.01726E+07,structural
52,1.65014E+01,occupants
52,4.89142E+07,structural
53,1.47990E+01,occupants
53,5.25162E+07,structural
54,3.53968E+02,occupants
54,6.38062E+08,structural
55,3.67574E+02,occupants
55,8.38009E+08,structural
56,3.41068E+02,occupants
56,7.68001E+08,structural
57,9.84743E+02,occupants
57,1.95540E+09,structural
58,1.00926E+03,occupants
58,1.92329E+09,structural
59,9.61904E+02,occupants
59,1.75592E+09,structural
60,5.34647E+01,occupants
60,2.40895E+08,structural
61,5.67436E+01,occupants
61,2.16170E+08,structural
62,5.03819E+01,occupants
62,1.14466E+08,structural
63,1.72473E+01,occupants
63,3.58486E+07,structural
64,1.85618E+01,occupants
64,1.19458E+08,structural
65,1.60208E+01,occupants
65,7.15394E+07,structural
66,3.49373E+00,occupants
66,3.13938E+07,structural
67,3.87671E+00,occupants
67,5.22669E+07,structural
68,3.13404E+00,occupants
68,1.14879E+07,structural
69,1.76912E+02,occupants
69,3.46011E+08,structural
70,1.86741E+02,occupants
70,6.88646E+08,structural
71,1.67335E+02,occupants
71,4.95583E+08,structural
72,6.68203E+02,occupants
72,1.16420E+09,structural
73,6.93701E+02,occupants
73,1.15036E+09,structural
74,6.43601E+02,occupants
74,1.13096E+09,structural
75,3.15012E+01,occupants
75,9.28489E+07,structural
76,3.39637E+01,occupants
76,6.55002E+07,structural
77,2.91775E+01,occupants
77,8.71722E+07,structural
78,5.99022E+00,occupants
78,2.30879E+07,structural
79,6.60183E+00,occupants
79,3.11688E+07,structural
80,5.41502E+00,occupants
80,3.89843E+07,structural
81,1.16596E+00,occupants
81,1.52662E+07,structural
82,1.33028E+00,occupants
82,1.97390E+07,structural
83,1.02200E+00,occupants
83,1.77652E+07,structural
84,1.29655E+02,occupants
84,1.73662E+08,structural
85,1.36712E+02,occupants
85,2.22429E+08,structural
86,1.22917E+02,occupants
86,2.67337E+08,structural
87,4.07083E+02,occupants
87,7.57612E+08,structural
88,4.20970E+02,occupants
88,5.10242E+08,structural
89,3.94124E+02,occupants
89,6.45483E+08,structural
90,6.98410E+02,occupants
90,1.50337E+09,structural
91,7.07258E+02,occupants
91,1.17479E+09,structural
92,6.89761E+02,occupants
92,1.28631E+09,structural
93,5.67310E+02,occupants
93,1.23708E+09,structural
94,5.74102E+02,occupants
94,1.16588E+09,structural
95,5.60814E+02,occupants
95,1.10812E+09,structural
96,4.33998E+02,occupants
96,9.50003E+08,structural
97,4.39467E+02,occupants
97,9.62209E+08,structural
98,4.28767E+02,occupants
98,9.35599E+08,structural
99,9.47120E+02,occupants
99,1.87014E+09,structural
100,9.59330E+02,occupants
100,1.89270E+09,structural
101,9.36052E+02,occupants
101,1.76151E+09,structural
102,1.48619E+03,occupants
102,2.50847E+09,structural
103,1.50135E+03,occupants
103,2.53646E+09,structural
104,1.47296E+03,occupants
104,2.64211E+09,structural
105,3.77551E+01,occupants
105,2.22751E+08,structural
106,4.01564E+01,occupants
106,1.72572E+08,structural
107,3.55847E+01,occupants
107,1.55145E+08,structural
108,1.51321E+01,occupants
108,6.57951E+07,structural
109,1.62925E+01,occupants
109,7.64621E+07,structural
110,1.40088E+01,occupants
110,6.93340E+07,structural
111,5.02165E+00,occupants
111,2.68244E+07,structural
112,5.67996E+00,occupants
112,4.16070E+07,structural
113,4.39879E+00,occupants
113,4.67674E+07,structural
114,1.34937E+02,occupants
114,5.20671E+08,structural
115,1.42223E+02,occupants
115,3.86533E+08,structural
116,1.28036E+02,occupants
116,5.30141E+08,structural
117,5.94249E+02,occupants
117,1.29350E+09,structural
118,6.14303E+02,occupants
118,1.25367E+09,structural
119,5.75186E+02,occupants
119,1.43865E+09,structural
120,2.00902E+02,occupants
120,6.01567E+08,structural
121,2.13958E+02,occupants
121,4.30318E+08,structural
122,1.88332E+02,occupants
122,4.03207E+08,structural
123,4.92826E+01,occupants
123,2.29301E+08,structural
124,5.45629E+01,occupants
124,2.78652E+08,structural
125,4.45098E+01,occupants
125,1.74027E+08,structural
126,7.84098E+00,occupants
126,6.52022E+07,structural
127,9.07648E+00,occupants
127,8.23186E+07,structural
128,6.69953E+00,occupants
128,6.54246E+07,structural
129,5.77173E+02,occupants
129,1.14225E+09,structural
130,5.98400E+02,occupants
130,1.05548E+09,structural
131,5.56524E+02,occupants
131,9.98542E+08,structural
132,1.44511E+03,occupants
132,2.38178E+09,structural
133,1.47420E+03,occupants
133,2.61206E+09,structural
134,1.41513E+03,occupants
134,2.19874E+09,structural
135,1.22323E+02,occupants
135,5.96954E+08,structural
136,1.28951E+02,occupants
136,4.36910E+08,structural
137,1.16164E+02,occupants
137,4.70976E+08,structural
138,4.10537E+01,occupants
138,1.63281E+08,structural
139,4.40455E+01,occupants
139,1.17223E+08,structural
140,3.81256E+01,occupants
140,7.63346E+07,structural
141,1.12398E+01,occupants
141,4.30198E+07,structural
142,1.22811E+01,occupants
142,5.11206E+07,structural
143,1.02004E+01,occupants
143,2.52522E+07,structural
144,2.93784E+02,occupants
144,5.86828E+08,structural
145,3.03504E+02,occupants
145,8.33922E+08,structural
146,2.84186E+02,occupants
146,6.65473E+08,structural
147,5.73679E+02,occupants
147,1.53422E+09,structural
148,5.83459E+02,occupants
148,9.22590E+08,structural
149,5.63600E+02,occupants
149,1.56227E+09,structural
150,8.51481E+01,occupants
150,1.91538E+08,structural
151,9.15276E+01,occupants
151,2.22274E+08,structural
152,7.90805E+01,occupants
152,2.81256E+08,structural
153,2.70296E+01,occupants
153,8.40273E+07,structural
154,2.96770E+01,occupants
154,1.05107E+08,structural
155,2.46780E+01,occupants
155,5.96799E+07,structural
156,7.07074E+00,occupants
156,4.73799E+07,structural
157,7.84225E+00,occupants
157,2.85055E+07,structural
158,6.35648E+00,occupants
158,4.78360E+07,structural
159,2.40721E+02,occupants
159,6.66997E+08,structural
160,2.53228E+02,occupants
160,5.30918E+08,structural
161,2.28585E+02,occupants
161,4.36773E+08,structural
162,6.67021E+02,occupants
162,1.14685E+09,structural
163,6.88208E+02,occupants
163,1.38485E+09,structural
164,6.46589E+02,occupants
164,1.27189E+09,structural
165,3.00186E+01,occupants
165,1.88616E+08,structural
166,3.28509E+01,occupants
166,2.31919E+08,structural
167,2.75736E+01,occupants
167,1.82905E+08,structural
168,8.05443E+00,occupants
168,5.25378E+07,structural
169,8.92887E+00,occupants
169,6.69284E+07,structural
170,7.27326E+00,occupants
170,4.75315E+07,structural
171,2.02582E+00,occupants
171,1.39447E+07,structural
172,2.25522E+00,occupants
172,1.23326E+07,structural
173,1.83726E+00,occupants
173,1.32979E+07,structural
174,1.27837E+02,occupants
174,4.77839E+08,structural
175,1.36780E+02,occupants
175,5.01023E+08,structural
176,1.19491E+02,occupants
176,4.10400E+08,structural
177,6.09742E+02,occupants
177,1.28188E+09,structural
178,6.37580E+02,occupants
178,1.42986E+09,structural
179,5.83721E+02,occupants
179,1.15599E+09,structural
180,6.14630E+01,occupants
180,1.74615E+08,structural
181,6.55903E+01,occupants
181,1.95621E+08,structural
182,5.75086E+01,occupants
182,1.63290E+08,structural
183,1.63148E+01,occupants
183,6.77235E+07,structural
184,1.78666E+01,occupants
184,7.49090E+07,structural
185,1.49267E+01,occupants
185,5.13208E+07,structural
186,4.26247E+00,occupants
186,1.44716E+07,structural
187,4.86393E+00,occupants
187,1.58713E+07,structural
188,3.72007E+00,occupants
188,9.71135E+06,structural
189,2.21926E+02,occupants
189,6.10223E+08,structural
190,2.33101E+02,occupants
190,4.27943E+08,structural
191,2.11333E+02,occupants
191,4.05376E+08,structural
192,7.92987E+02,occupants
192,1.35347E+09,structural
193,8.21040E+02,occupants
193,1.35123E+09,structural
194,7.65880E+02,occupants
194,1.39139E+09,structural
195,8.28454E+01,occupants
195,2.55394E+08,structural
196,8.98780E+01,occupants
196,2.86267E+08,structural
197,7.61704E+01,occupants
197,2.86758E+08,structural
198,2.78591E+01,occupants
198,1.25084E+08,structural
199,3.13499E+01,occupants
199,5.04855E+07,structural
200,2.47106E+01,occupants
200,7.33091E+07,structural
201,5.93489E+00,occupants
201,1.76606E+07,structural
202,6.93629E+00,occupants
202,1.00765E+08,structural
203,5.01125E+00,occupants
203,4.13162E+07,structural
204,2.09912E+02,occupants
204,5.75014E+08,structural
205,2.21421E+02,occupants
205,5.90616E+08,structural
206,1.98809E+02,occupants
206,5.06282E+08,structural
207,5.88807E+02,occupants
207,1.28157E+09,structural
208,6.10577E+02,occupants
208,1.32084E+09,structural
209,5.67818E+02,occupants
209,1.65445E+09,structural
210,1.17439E+02,occupants
210,3.56762E+08,structural
211,1.23904E+02,occupants
211,2.75167E+08,structural
212,1.11237E+02,occupants
212,2.61339E+08,structural
213,5.48735E+01,occupants
213,1.19985E+08,structural
214,5.88277E+01,occupants
214,2.02485E+08,structural
215,5.13309E+01,occupants
215,9.92487E+07,structural
216,1.97219E+01,occupants
216,4.44436E+07,structural
217,2.13508E+01,occupants
217,7.43707E+07,structural
218,1.82869E+01,occupants
218,2.07975E+07,structural
219,2.41000E+02,occupants
219,6.39133E+08,structural
220,2.50908E+02,occupants
220,5.99665E+08,structural
221,2.31109E+02,occupants
221,4.34292E+08,structural
222,6.85854E+02,occupants
222,1.71436E+09,structural
223,7.07783E+02,occupants
223,1.04708E+09,structural
224,6.65236E+02,occupants
224,1.29339E+09,structural
225,2.36039E+02,occupants
225,5.62316E+08,structural
226,2.43038E+02,occupants
226,7.43489E+08,structural
227,2.29736E+02,occupants
227,1.13843E+09,structural
228,9.58083E+01,occupants
228,3.62693E+08,structural
229,9.94155E+01,occupants
229,4.68077E+08,structural
230,9.25783E+01,occupants
230,3.74930E+08,structural
231,3.52396E+01,occupants
231,1.67820E+08,structural
232,3.72917E+01,occupants
232,2.03546E+08,structural
233,3.33297E+01,occupants
233,1.98324E+08,structural
234,5.50827E+02,occupants
234,1.52873E+09,structural
235,5.63090E+02,occupants
235,1.46095E+09,structural
236,5.40186E+02,occupants
236,1.04292E+09,structural
237,1.25912E+03,occupants
237,2.66240E+09,structural
238,1.27505E+03,occupants
238,2.65698E+09,structural
239,1.24560E+03,occupants
239,2.44298E+09,structural
240,1.59590E+02,occupants
240,4.17613E+08,structural
241,1.65299E+02,occupants
241,4.45234E+08,structural
242,1.53495E+02,occupants
242,3.92345E+08,structural
243,8.51134E+01,occupants
243,3.14964E+08,structural
244,8.98053E+01,occupants
244,3.34193E+08,structural
245,8.06840E+01,occupants
245,2.24504E+08,structural
246,3.97493E+01,occupants
246,9.63281E+07,structural
247,4.33849E+01,occupants
247,1.23188E+08,structural
248,3.62609E+01,occupants
248,4.70197E+07,structural
249,4.17109E+02,occupants
249,8.86419E+08,structural
250,4.30506E+02,occupants
250,8.60128E+08,structural
251,4.04223E+02,occupants
251,8.37038E+08,structural
252,1.23595E+03,occupants
252,1.55923E+09,structural
253,1.26228E+03,occupants
253,2.08842E+09,structural
254,1.21062E+03,occupants
254,1.99908E+09,structural
255,4.23862E+01,occupants
255,1.09538E+08,structural
256,4.74724E+01,occupants
256,2.03034E+08,structural
257,3.80114E+01,occupants
257,1.76935E+08,structural
258,7.56949E+00,occupants
258,3.57038E+07,structural
259,8.70190E+00,occupants
259,9.16417E+07,structural
260,6.51288E+00,occupants
260,6.19740E+07,structural
261,9.43129E-01,occupants
261,1.91815E+07,structural
262,1.10930E+00,occupants
262,1.90949E+07,structural
263,8.02512E-01,occupants
263,6.67706E+06,structural
264,1.84856E+02,occupants
264,5.97472E+08,structural
265,1.99042E+02,occupants
265,6.46600E+08,structural
266,1.71331E+02,occupants
266,5.84167E+08,structural
267,6.59890E+02,occupants
267,1.58821E+09,structural
268,6.87875E+02,occupants
268,1.26052E+09,structural
269,6.33190E+02,occupants
269,1.23076E+09,structural
270,1.07449E+02,occupants
270,3.48975E+08,structural
271,1.17715E+02,occupants
271,4.43436E+08,structural
272,9.79493E+01,occupants
272,2.67156E+08,structural
273,3.39420E+01,occupants
273,7.81144E+07,structural
274,3.85617E+01,occupants
274,2.04366E+08,structural
275,2.97643E+01,occupants
275,1.30549E+08,structural
276,7.55595E+00,occupants
276,1.92205E+07,structural
277,9.00664E+00,occupants
277,7.47942E+07,structural
278,6.26649E+00,occupants
278,1.96253E+07,structural
279,3.38010E+02,occupants
279,6.15926E+08,structural
280,3.59449E+02,occupants
280,7.56137E+08,structural
281,3.17882E+02,occupants
281,5.30820E+08,structural
282,1.04254E+03,occupants
282,2.01537E+09,structural
283,1.07863E+03,occupants
283,1.75241E+09,structural
284,1.00808E+03,occupants
