#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T15:47:53', checksum=1653129626"
event_id,loss,loss_type
0,1.18916E+02,occupants
0,1.66900E+09,structural
1,1.24937E+02,occupants
1,1.81964E+09,structural
2,1.12973E+02,occupants
2,1.34635E+09,structural
3,6.71557E+01,occupants
3,7.85716E+08,structural
4,7.21724E+01,occupants
4,9.43824E+08,structural
5,6.24422E+01,occupants
5,7.71553E+08,structural
6,2.98826E+01,occupants
6,3.98781E+08,structural
7,3.31083E+01,occupants
7,4.25088E+08,structural
8,2.68988E+01,occupants
8,5.14685E+08,structural
9,1.99660E+02,occupants
9,2.49683E+09,structural
10,2.05753E+02,occupants
10,2.93012E+09,structural
11,1.93740E+02,occupants
11,2.67640E+09,structural
12,3.53278E+02,occupants
12,4.42007E+09,structural
13,3.56230E+02,occupants
13,4.58049E+09,structural
14,3.51062E+02,occupants
14,4.45868E+09,structural
15,1.09464E+02,occupants
15,2.05604E+09,structural
16,1.14704E+02,occupants
16,1.43948E+09,structural
17,1.04321E+02,occupants
17,1.91579E+09,structural
18,6.08928E+01,occupants
18,9.24836E+08,structural
19,6.47926E+01,occupants
19,9.59454E+08,structural
20,5.72267E+01,occupants
20,1.23873E+09,structural
21,3.05356E+01,occupants
21,5.52039E+08,structural
22,3.31690E+01,occupants
22,5.41122E+08,structural
23,2.81018E+01,occupants
23,4.44857E+08,structural
24,1.94046E+02,occupants
24,4.54574E+09,structural
25,1.99152E+02,occupants
25,3.12397E+09,structural
26,1.89246E+02,occupants
26,2.67268E+09,structural
27,3.65980E+02,occupants
27,6.53124E+09,structural
28,3.67051E+02,occupants
28,6.73281E+09,structural
29,3.65713E+02,occupants
29,6.34521E+09,structural
30,1.98388E+02,occupants
30,2.08689E+09,structural
31,2.01496E+02,occupants
31,2.43032E+09,structural
32,1.95634E+02,occupants
32,2.05887E+09,structural
33,1.26960E+02,occupants
33,1.32361E+09,structural
34,1.30651E+02,occupants
34,1.42944E+09,structural
35,1.23446E+02,occupants
35,1.28193E+09,structural
36,7.79962E+01,occupants
36,8.07825E+08,structural
37,8.20356E+01,occupants
37,7.87931E+08,structural
38,7.40888E+01,occupants
38,4.97925E+08,structural
39,3.41140E+02,occupants
39,3.40010E+09,structural
40,3.41912E+02,occupants
40,5.53657E+09,structural
41,3.41300E+02,occupants
41,5.78376E+09,structural
42,6.58486E+02,occupants
42,8.50803E+09,structural
43,6.49768E+02,occupants
43,7.67552E+09,structural
44,6.70169E+02,occupants
44,5.80506E+09,structural
45,8.15814E+01,occupants
45,1.27106E+09,structural
46,8.69984E+01,occupants
46,1.35575E+09,structural
47,7.64877E+01,occupants
47,1.42142E+09,structural
48,4.05929E+01,occupants
48,7.46626E+08,structural
49,4.46348E+01,occupants
49,6.31753E+08,structural
50,3.67179E+01,occupants
50,6.77980E+08,structural
51,1.40853E+01,occupants
51,3.29923E+08,structural
52,1.63235E+01,occupants
52,4.10710E+08,structural
53,1.20742E+01,occupants
53,2.39066E+08,structural
54,1.48799E+02,occupants
54,2.65090E+09,structural
55,1.54722E+02,occupants
55,2.21607E+09,structural
56,1.43135E+02,occupants
56,2.59699E+09,structural
57,2.89787E+02,occupants
57,4.35592E+09,structural
58,2.93820E+02,occupants
58,4.49948E+09,structural
59,2.86498E+02,occupants
59,5.01869E+09,structural
60,3.70223E+02,occupants
60,6.03191E+09,structural
61,3.68524E+02,occupants
61,4.67407E+09,structural
62,3.72280E+02,occupants
62,5.05028E+09,structural
63,1.50419E+02,occupants
63,8.40066E+08,structural
64,1.50793E+02,occupants
64,1.45827E+09,structural
65,1.50255E+02,occupants
65,8.75330E+08,structural
66,4.89418E+01,occupants
66,4.31236E+08,structural
67,5.05659E+01,occupants
67,8.25749E+08,structural
68,4.76356E+01,occupants
68,4.23279E+08,structural
69,7.27843E+02,occupants
69,6.70716E+09,structural
70,7.25240E+02,occupants
70,5.93479E+09,structural
71,7.31150E+02,occupants
71,7.32058E+09,structural
72,1.18569E+03,occupants
72,1.21851E+10,structural
73,1.18137E+03,occupants
73,1.22823E+10,structural
74,1.19168E+03,occupants
74,1.28606E+10,structural
75,1.23213E+02,occupants
75,1.35561E+09,structural
76,1.28576E+02,occupants
76,1.69746E+09,structural
77,1.18183E+02,occupants
77,1.42853E+09,structural
78,6.90952E+01,occupants
78,9.50437E+08,structural
79,7.37990E+01,occupants
79,1.02001E+09,structural
80,6.45708E+01,occupants
80,8.74714E+08,structural
81,3.24070E+01,occupants
81,5.16050E+08,structural
82,3.56150E+01,occupants
82,4.32877E+08,structural
83,2.93668E+01,occupants
83,3.93199E+08,structural
84,2.09626E+02,occupants
84,2.33654E+09,structural
85,2.13867E+02,occupants
85,2.33892E+09,structural
86,2.05776E+02,occupants
86,2.53050E+09,structural
87,3.69925E+02,occupants
87,4.11401E+09,structural
88,3.69435E+02,occupants
88,6.18270E+09,structural
89,3.71942E+02,occupants
89,3.99989E+09,structural
90,1.03344E+02,occupants
90,1.44391E+09,structural
91,1.10270E+02,occupants
91,1.83213E+09,structural
92,9.66074E+01,occupants
92,1.46919E+09,structural
93,4.69696E+01,occupants
93,8.28964E+08,structural
94,5.15728E+01,occupants
94,9.05218E+08,structural
95,4.27219E+01,occupants
95,6.98413E+08,structural
96,1.63370E+01,occupants
96,2.92044E+08,structural
97,1.85048E+01,occupants
97,2.51952E+08,structural
98,1.44221E+01,occupants
98,2.77294E+08,structural
99,1.91178E+02,occupants
99,3.19539E+09,structural
100,1.99079E+02,occupants
100,2.82045E+09,structural
101,1.83447E+02,occupants
101,2.81257E+09,structural
102,3.31757E+02,occupants
102,5.63782E+09,structural
103,3.37073E+02,occupants
103,5.41979E+09,structural
104,3.26905E+02,occupants
104,5.10310E+09,structural
105,3.58224E+02,occupants
105,5.11525E+09,structural
106,3.56160E+02,occupants
106,4.49003E+09,structural
107,3.60812E+02,occupants
107,5.13956E+09,structural
108,1.74472E+02,occupants
108,2.09352E+09,structural
109,1.76151E+02,occupants
109,2.71255E+09,structural
110,1.72859E+02,occupants
110,1.61231E+09,structural
111,8.19385E+01,occupants
111,9.15145E+08,structural
112,8.46757E+01,occupants
112,2.11256E+09,structural
113,7.92607E+01,occupants
113,1.08521E+09,structural
114,6.97496E+02,occupants
114,6.57697E+09,structural
115,6.90752E+02,occupants
115,4.47863E+09,structural
116,7.05556E+02,occupants
116,8.19308E+09,structural
117,1.23534E+03,occupants
117,1.30038E+10,structural
118,1.22417E+03,occupants
118,1.43531E+10,structural
119,1.25131E+03,occupants
119,1.23563E+10,structural
120,7.39510E+01,occupants
120,1.02731E+09,structural
121,7.83748E+01,occupants
121,1.26017E+09,structural
122,6.97766E+01,occupants
122,8.92369E+08,structural
123,4.15864E+01,occupants
123,5.41851E+08,structural
124,4.48261E+01,occupants
124,5.21862E+08,structural
125,3.84833E+01,occupants
125,5.04814E+08,structural
126,1.92210E+01,occupants
126,2.94228E+08,structural
127,2.13312E+01,occupants
127,2.85335E+08,structural
128,1.72406E+01,occupants
128,2.03608E+08,structural
129,1.25299E+02,occupants
129,1.42570E+09,structural
130,1.30550E+02,occupants
130,1.82671E+09,structural
131,1.20159E+02,occupants
131,1.66727E+09,structural
132,2.13665E+02,occupants
132,2.94507E+09,structural
133,2.18039E+02,occupants
133,2.84638E+09,structural
134,2.09846E+02,occupants
134,3.90854E+09,structural
135,1.53222E+02,occupants
135,2.11207E+09,structural
136,1.59788E+02,occupants
136,2.26795E+09,structural
137,1.46883E+02,occupants
137,2.25866E+09,structural
138,8.61940E+01,occupants
138,1.46534E+09,structural
139,9.23184E+01,occupants
139,1.46451E+09,structural
140,8.03087E+01,occupants
140,1.21327E+09,structural
141,3.58096E+01,occupants
141,7.07362E+08,structural
142,3.97466E+01,occupants
142,8.09299E+08,structural
143,3.20899E+01,occupants
143,5.32270E+08,structural
144,2.39876E+02,occupants
144,3.46035E+09,structural
145,2.44626E+02,occupants
145,3.57363E+09,structural
146,2.35866E+02,occupants
146,3.51392E+09,structural
147,3.81569E+02,occupants
147,5.33386E+09,structural
148,3.80086E+02,occupants
148,5.22223E+09,structural
149,3.85178E+02,occupants
149,5.39660E+09,structural
150,1.53259E+02,occupants
150,1.64910E+09,structural
151,1.59222E+02,occupants
151,1.73016E+09,structural
152,1.47441E+02,occupants
152,1.66032E+09,structural
153,8.83554E+01,occupants
153,9.39085E+08,structural
154,9.29679E+01,occupants
154,9.74458E+08,structural
155,8.39482E+01,occupants
155,1.04418E+09,structural
156,3.96487E+01,occupants
156,3.94659E+08,structural
157,4.26502E+01,occupants
157,4.70026E+08,structural
158,3.68412E+01,occupants
158,4.33559E+08,structural
159,2.42038E+02,occupants
159,3.17651E+09,structural
160,2.48575E+02,occupants
160,3.74143E+09,structural
161,2.35892E+02,occupants
161,3.39985E+09,structural
162,3.87275E+02,occupants
162,4.83239E+09,structural
163,3.91421E+02,occupants
163,4.32899E+09,structural
164,3.84046E+02,occupants
164,4.96654E+09,structural
165,7.06126E+02,occupants
165,9.31782E+09,structural
166,6.99421E+02,occupants
166,7.52591E+09,structural
167,7.13327E+02,occupants
167,1.01065E+10,structural
168,3.43813E+02,occupants
168,4.12254E+09,structural
169,3.39946E+02,occupants
169,5.12877E+09,structural
170,3.48210E+02,occupants
170,4.97039E+09,structural
171,1.07990E+02,occupants
171,2.18567E+09,structural
172,1.06925E+02,occupants
172,1.09989E+09,structural
173,1.09304E+02,occupants
173,1.37649E+09,structural
174,1.13995E+03,occupants
174,1.34042E+10,structural
175,1.13185E+03,occupants
175,1.32368E+10,structural
176,1.14932E+03,occupants
176,1.27451E+10,structural
177,1.65937E+03,occupants
177,1.65428E+10,structural
178,1.64563E+03,occupants
178,1.80459E+10,structural
179,1.67693E+03,occupants
179,1.68931E+10,structural
180,8.68928E+01,occupants
180,8.59468E+08,structural
181,9.11580E+01,occupants
181,1.20695E+09,structural
182,8.28088E+01,occupants
182,8.41977E+08,structural
183,4.97223E+01,occupants
183,4.33168E+08,structural
184,5.32005E+01,occupants
184,5.35661E+08,structural
185,4.63895E+01,occupants
185,5.14530E+08,structural
186,2.39382E+01,occupants
186,2.78456E+08,structural
187,2.62830E+01,occupants
187,3.67976E+08,structural
188,2.16819E+01,occupants
188,2.95053E+08,structural
189,1.43770E+02,occupants
189,2.27959E+09,structural
190,1.47873E+02,occupants
190,1.50916E+09,structural
191,1.40132E+02,occupants
191,1.64844E+09,structural
192,2.46172E+02,occupants
192,2.85299E+09,structural
193,2.47404E+02,occupants
193,2.63328E+09,structural
194,2.46332E+02,occupants
194,2.59253E+09,structural
195,1.79658E+02,occupants
195,2.04381E+09,structural
196,1.83942E+02,occupants
196,1.89451E+09,structural
197,1.75981E+02,occupants
197,1.92475E+09,structural
198,1.14698E+02,occupants
198,1.24055E+09,structural
199,1.19379E+02,occupants
