#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T15:54:27', checksum=1653129626"
event_id,loss,loss_type
0,5.76446E+01,occupants
0,1.14921E+09,structural
1,5.54628E+01,occupants
1,1.35672E+09,structural
2,6.07402E+01,occupants
2,1.00682E+09,structural
3,1.38424E+01,occupants
3,4.28587E+08,structural
4,1.38645E+01,occupants
4,3.21555E+08,structural
5,1.40438E+01,occupants
5,4.24879E+08,structural
6,2.25125E+00,occupants
6,1.59772E+08,structural
7,2.45453E+00,occupants
7,1.40570E+08,structural
8,2.13217E+00,occupants
8,1.11699E+08,structural
9,2.05879E+02,occupants
9,2.37165E+09,structural
10,1.94541E+02,occupants
10,2.48810E+09,structural
11,2.19144E+02,occupants
11,4.79014E+09,structural
12,6.73233E+02,occupants
12,7.73962E+09,structural
13,6.38997E+02,occupants
13,7.86349E+09,structural
14,7.11369E+02,occupants
14,9.45339E+09,structural
15,1.09933E+02,occupants
15,1.78991E+09,structural
16,1.11711E+02,occupants
16,1.95058E+09,structural
17,1.08795E+02,occupants
17,1.73524E+09,structural
18,5.25892E+01,occupants
18,5.83427E+08,structural
19,5.44209E+01,occupants
19,8.08150E+08,structural
20,5.08001E+01,occupants
20,7.51528E+08,structural
21,2.40294E+01,occupants
21,3.62452E+08,structural
22,2.57362E+01,occupants
22,2.93821E+08,structural
23,2.24256E+01,occupants
23,4.23359E+08,structural
24,2.45474E+02,occupants
24,3.75152E+09,structural
25,2.43980E+02,occupants
25,3.42411E+09,structural
26,2.48196E+02,occupants
26,3.66370E+09,structural
27,6.08152E+02,occupants
27,7.75185E+09,structural
28,5.89433E+02,occupants
28,6.65864E+09,structural
29,6.29689E+02,occupants
29,6.66918E+09,structural
30,1.85696E+02,occupants
30,2.41271E+09,structural
31,1.81676E+02,occupants
31,1.94732E+09,structural
32,1.90635E+02,occupants
32,3.23909E+09,structural
33,6.50987E+01,occupants
33,6.44678E+08,structural
34,6.57612E+01,occupants
34,1.53740E+09,structural
35,6.54299E+01,occupants
35,1.05640E+09,structural
36,1.61229E+01,occupants
36,1.90378E+08,structural
37,1.70577E+01,occupants
37,3.29781E+08,structural
38,1.55147E+01,occupants
38,3.85470E+08,structural
39,4.51211E+02,occupants
39,4.34823E+09,structural
40,4.36498E+02,occupants
40,6.32348E+09,structural
41,4.68584E+02,occupants
41,4.56144E+09,structural
42,1.03660E+03,occupants
42,1.03374E+10,structural
43,9.95299E+02,occupants
43,1.04505E+10,structural
44,1.08393E+03,occupants
44,1.09027E+10,structural
45,2.84140E+01,occupants
45,6.41463E+08,structural
46,3.12871E+01,occupants
46,4.41007E+08,structural
47,2.57677E+01,occupants
47,5.89110E+08,structural
48,7.97920E+00,occupants
48,1.13033E+08,structural
49,9.01765E+00,occupants
49,1.54865E+08,structural
50,7.03536E+00,occupants
50,2.24476E+08,structural
51,1.37153E+00,occupants
51,3.28772E+07,structural
52,1.58668E+00,occupants
52,4.64403E+07,structural
53,1.17836E+00,occupants
53,6.28579E+07,structural
54,7.76962E+01,occupants
54,9.75340E+08,structural
55,8.30217E+01,occupants
55,1.23288E+09,structural
56,7.28494E+01,occupants
56,9.65407E+08,structural
57,1.91038E+02,occupants
57,2.73418E+09,structural
58,1.95370E+02,occupants
58,2.79949E+09,structural
59,1.87489E+02,occupants
59,2.69499E+09,structural
60,3.12664E+02,occupants
60,3.01696E+09,structural
61,2.93059E+02,occupants
61,4.13691E+09,structural
62,3.35650E+02,occupants
62,2.34833E+09,structural
63,1.20998E+02,occupants
63,1.11618E+09,structural
64,1.14873E+02,occupants
64,7.89113E+08,structural
65,1.28512E+02,occupants
65,8.33598E+08,structural
66,3.40658E+01,occupants
66,4.87470E+08,structural
67,3.27590E+01,occupants
67,3.49116E+08,structural
68,3.59395E+01,occupants
68,6.51012E+08,structural
69,7.52116E+02,occupants
69,5.10376E+09,structural
70,6.98039E+02,occupants
70,4.97084E+09,structural
71,8.09505E+02,occupants
71,5.61986E+09,structural
72,1.84265E+03,occupants
72,1.66718E+10,structural
73,1.71802E+03,occupants
73,2.00366E+10,structural
74,1.97708E+03,occupants
74,1.22640E+10,structural
75,2.46333E+02,occupants
75,2.67281E+09,structural
76,2.34762E+02,occupants
76,2.50551E+09,structural
77,2.59837E+02,occupants
77,2.64040E+09,structural
78,7.50683E+01,occupants
78,1.40447E+09,structural
79,7.28360E+01,occupants
79,9.51229E+08,structural
80,7.85575E+01,occupants
80,1.24875E+09,structural
81,1.50464E+01,occupants
81,2.35742E+08,structural
82,1.49980E+01,occupants
82,4.95674E+08,structural
83,1.53390E+01,occupants
83,4.22254E+08,structural
84,6.41256E+02,occupants
84,8.80436E+09,structural
85,6.08877E+02,occupants
85,4.38676E+09,structural
86,6.77814E+02,occupants
86,8.22426E+09,structural
87,1.49272E+03,occupants
87,1.28883E+10,structural
88,1.41906E+03,occupants
88,1.27909E+10,structural
89,1.57379E+03,occupants
89,1.22151E+10,structural
90,5.21661E+01,occupants
90,6.42946E+08,structural
91,5.17892E+01,occupants
91,5.26124E+08,structural
92,5.31375E+01,occupants
92,7.04395E+08,structural
93,1.53912E+01,occupants
93,2.70721E+08,structural
94,1.62053E+01,occupants
94,2.22378E+08,structural
95,1.47954E+01,occupants
95,2.95578E+08,structural
96,3.66094E+00,occupants
96,6.47128E+07,structural
97,4.14341E+00,occupants
97,1.21664E+08,structural
98,3.25342E+00,occupants
98,6.67997E+07,structural
99,1.73231E+02,occupants
99,2.63479E+09,structural
100,1.66142E+02,occupants
100,2.02225E+09,structural
101,1.82115E+02,occupants
101,3.72292E+09,structural
102,5.70014E+02,occupants
102,8.03748E+09,structural
103,5.43800E+02,occupants
103,7.38554E+09,structural
104,6.00077E+02,occupants
104,5.48956E+09,structural
105,5.77706E+01,occupants
105,9.20153E+08,structural
106,6.08900E+01,occupants
106,1.10362E+09,structural
107,5.50073E+01,occupants
107,9.57292E+08,structural
108,1.71575E+01,occupants
108,5.37137E+08,structural
109,1.90633E+01,occupants
109,3.25505E+08,structural
110,1.55954E+01,occupants
110,4.18465E+08,structural
111,4.07586E+00,occupants
111,1.00528E+08,structural
112,4.73918E+00,occupants
112,1.48419E+08,structural
113,3.49772E+00,occupants
113,1.30137E+08,structural
114,1.86431E+02,occupants
114,2.33442E+09,structural
115,1.88112E+02,occupants
115,3.00526E+09,structural
116,1.86684E+02,occupants
116,2.99692E+09,structural
117,6.10193E+02,occupants
117,7.43563E+09,structural
118,5.92943E+02,occupants
118,7.48091E+09,structural
119,6.32208E+02,occupants
119,7.91680E+09,structural
120,3.37583E+02,occupants
120,3.44014E+09,structural
121,3.07560E+02,occupants
121,3.93470E+09,structural
122,3.75191E+02,occupants
122,3.96632E+09,structural
123,8.63838E+01,occupants
123,1.42170E+09,structural
124,7.70633E+01,occupants
124,8.78795E+08,structural
125,9.69341E+01,occupants
125,6.65990E+08,structural
126,1.34562E+01,occupants
126,9.60920E+08,structural
127,1.18946E+01,occupants
127,2.42174E+08,structural
128,1.53541E+01,occupants
128,1.56451E+08,structural
129,1.00057E+03,occupants
129,1.18777E+10,structural
130,9.22301E+02,occupants
130,4.70426E+09,structural
131,1.08238E+03,occupants
131,1.01337E+10,structural
132,2.43571E+03,occupants
132,1.37361E+10,structural
133,2.29886E+03,occupants
133,1.43011E+10,structural
134,2.57930E+03,occupants
134,2.07311E+10,structural
135,1.24659E+02,occupants
135,1.00503E+09,structural
136,1.12302E+02,occupants
136,9.53052E+08,structural
137,1.40102E+02,occupants
137,1.33643E+09,structural
138,2.92381E+01,occupants
138,3.20866E+08,structural
139,2.59468E+01,occupants
139,1.54159E+08,structural
140,3.28818E+01,occupants
140,4.00457E+08,structural
141,4.41727E+00,occupants
141,3.91979E+07,structural
142,3.93517E+00,occupants
142,8.74130E+07,structural
143,4.96034E+00,occupants
143,5.42742E+07,structural
144,4.31803E+02,occupants
144,3.23708E+09,structural
145,3.89240E+02,occupants
145,2.56036E+09,structural
146,4.79573E+02,occupants
146,2.54793E+09,structural
147,1.30733E+03,occupants
147,9.79056E+09,structural
148,1.20387E+03,occupants
148,8.24100E+09,structural
149,1.42192E+03,occupants
149,1.38843E+10,structural
150,1.19570E+02,occupants
150,1.93224E+09,structural
151,1.23477E+02,occupants
151,2.05087E+09,structural
152,1.16424E+02,occupants
152,2.16817E+09,structural
153,4.86639E+01,occupants
153,7.92293E+08,structural
154,5.17456E+01,occupants
154,1.00458E+09,structural
155,4.59875E+01,occupants
155,1.04142E+09,structural
156,1.87718E+01,occupants
156,5.31654E+08,structural
157,2.07072E+01,occupants
157,4.09972E+08,structural
158,1.69878E+01,occupants
158,4.81112E+08,structural
159,2.95131E+02,occupants
159,4.17765E+09,structural
