#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T15:55:39', checksum=1653129626"
event_id,loss,loss_type
0,1.92114E-01,occupants
0,4.05856E+07,structural
1,2.09556E-01,occupants
1,1.22171E+07,structural
2,1.75815E-01,occupants
2,4.14770E+07,structural
3,3.30115E-02,occupants
3,6.19389E+06,structural
4,3.63051E-02,occupants
4,5.53485E+06,structural
5,2.98460E-02,occupants
5,1.34979E+06,structural
6,3.78352E-03,occupants
6,2.86718E+06,structural
7,4.24779E-03,occupants
7,4.61985E+06,structural
8,3.33316E-03,occupants
8,1.25664E+07,structural
9,8.99601E-01,occupants
9,3.47042E+07,structural
10,9.66984E-01,occupants
10,8.67071E+07,structural
11,8.36158E-01,occupants
11,2.95735E+07,structural
12,3.53841E+00,occupants
12,9.53577E+07,structural
13,3.71973E+00,occupants
13,9.45871E+07,structural
14,3.36473E+00,occupants
14,1.93795E+08,structural
15,7.58628E+00,occupants
15,5.08262E+08,structural
16,7.94384E+00,occupants
16,4.50089E+08,structural
17,7.23834E+00,occupants
17,3.66375E+08,structural
18,2.84873E+00,occupants
18,1.41521E+08,structural
19,3.04736E+00,occupants
19,2.71057E+08,structural
20,2.66639E+00,occupants
20,2.18096E+08,structural
21,6.27997E-01,occupants
21,6.28870E+07,structural
22,6.97084E-01,occupants
22,5.92001E+07,structural
23,5.75574E-01,occupants
23,4.32325E+07,structural
24,1.54903E+01,occupants
24,7.91134E+08,structural
25,1.59383E+01,occupants
25,7.64533E+08,structural
26,1.50215E+01,occupants
26,7.10027E+08,structural
27,2.86949E+01,occupants
27,1.40995E+09,structural
28,2.90659E+01,occupants
28,1.35769E+09,structural
29,2.83730E+01,occupants
29,1.34917E+09,structural
30,4.82722E-01,occupants
30,1.05700E+07,structural
31,5.24112E-01,occupants
31,1.86383E+07,structural
32,4.45271E-01,occupants
32,1.52338E+07,structural
33,1.16846E-01,occupants
33,9.06270E+06,structural
34,1.29560E-01,occupants
34,3.81765E+06,structural
35,1.04971E-01,occupants
35,2.64220E+06,structural
36,1.55049E-02,occupants
36,8.43275E+05,structural
37,1.77968E-02,occupants
37,2.10986E+06,structural
38,1.34946E-02,occupants
38,1.23934E+06,structural
39,1.46268E+00,occupants
39,3.73480E+07,structural
40,1.55020E+00,occupants
40,5.40187E+07,structural
41,1.37710E+00,occupants
41,4.52721E+07,structural
42,3.72806E+00,occupants
42,1.57315E+08,structural
43,3.87546E+00,occupants
43,1.65038E+08,structural
44,3.58774E+00,occupants
44,1.72457E+08,structural
45,7.28796E+00,occupants
45,4.88580E+08,structural
46,7.63222E+00,occupants
46,4.14391E+08,structural
47,6.98984E+00,occupants
47,5.13635E+08,structural
48,2.31035E+00,occupants
48,2.64988E+08,structural
49,2.48047E+00,occupants
49,2.40591E+08,structural
50,2.14777E+00,occupants
50,1.02058E+08,structural
51,5.08806E-01,occupants
51,6.00432E+07,structural
52,5.54096E-01,occupants
52,5.31787E+07,structural
53,4.64970E-01,occupants
53,6.06621E+07,structural
54,1.79343E+01,occupants
54,6.96075E+08,structural
55,1.81683E+01,occupants
55,7.61045E+08,structural
56,1.78416E+01,occupants
56,1.02662E+09,structural
57,3.89040E+01,occupants
57,1.70327E+09,structural
58,3.78669E+01,occupants
58,1.60048E+09,structural
59,4.04462E+01,occupants
59,1.90656E+09,structural
60,1.31737E+00,occupants
60,1.40336E+08,structural
61,1.41367E+00,occupants
61,9.92787E+07,structural
62,1.22259E+00,occupants
62,1.84061E+08,structural
63,3.44884E-01,occupants
63,2.18568E+07,structural
64,3.77180E-01,occupants
64,1.78794E+07,structural
65,3.18476E-01,occupants
65,3.32025E+07,structural
66,6.85704E-02,occupants
66,3.37743E+06,structural
67,7.63238E-02,occupants
67,4.91502E+06,structural
68,6.18744E-02,occupants
68,9.91769E+06,structural
69,4.08435E+00,occupants
69,2.58530E+08,structural
70,4.31864E+00,occupants
70,2.48218E+08,structural
71,3.87775E+00,occupants
71,1.51603E+08,structural
72,1.05150E+01,occupants
72,5.37982E+08,structural
73,1.08127E+01,occupants
73,5.68470E+08,structural
74,1.02668E+01,occupants
74,5.87143E+08,structural
75,6.31946E+00,occupants
75,4.28029E+08,structural
76,6.62134E+00,occupants
76,5.43704E+08,structural
77,6.04042E+00,occupants
77,3.82865E+08,structural
78,2.17807E+00,occupants
78,1.96832E+08,structural
79,2.33692E+00,occupants
79,1.88328E+08,structural
80,2.02393E+00,occupants
80,1.42240E+08,structural
81,4.26481E-01,occupants
81,6.49958E+07,structural
82,4.69469E-01,occupants
82,4.38179E+07,structural
83,3.84761E-01,occupants
83,4.12653E+07,structural
84,1.40064E+01,occupants
84,8.36867E+08,structural
85,1.43800E+01,occupants
85,7.91252E+08,structural
86,1.36917E+01,occupants
86,7.57692E+08,structural
87,2.88003E+01,occupants
87,1.40879E+09,structural
88,2.89860E+01,occupants
88,1.42600E+09,structural
89,2.88226E+01,occupants
89,1.44377E+09,structural
90,1.87223E+00,occupants
90,2.20241E+08,structural
91,1.88889E+00,occupants
91,2.29243E+08,structural
92,1.86519E+00,occupants
92,7.37738E+07,structural
93,6.73704E-01,occupants
93,1.01552E+08,structural
94,6.92519E-01,occupants
94,7.84793E+07,structural
95,6.62754E-01,occupants
95,3.80647E+07,structural
96,1.65908E-01,occupants
96,1.00113E+07,structural
97,1.73493E-01,occupants
97,2.05726E+07,structural
98,1.59099E-01,occupants
98,1.17498E+07,structural
99,4.43125E+00,occupants
99,3.15509E+08,structural
100,4.44307E+00,occupants
100,2.37016E+08,structural
101,4.43021E+00,occupants
101,4.26464E+08,structural
102,1.03795E+01,occupants
102,7.18575E+08,structural
103,1.04305E+01,occupants
103,6.30673E+08,structural
104,1.03539E+01,occupants
104,6.19611E+08,structural
105,4.50362E+00,occupants
105,3.10064E+08,structural
106,4.77128E+00,occupants
106,2.63643E+08,structural
107,4.24298E+00,occupants
107,3.70169E+08,structural
108,1.38993E+00,occupants
108,9.42965E+07,structural
109,1.51366E+00,occupants
109,1.40449E+08,structural
110,1.26985E+00,occupants
110,1.23312E+08,structural
111,2.41880E-01,occupants
111,4.35395E+07,structural
112,2.71283E-01,occupants
112,2.84942E+07,structural
113,2.13842E-01,occupants
113,2.71131E+07,structural
114,1.05257E+01,occupants
114,5.50049E+08,structural
115,1.09311E+01,occupants
115,6.40643E+08,structural
116,1.01367E+01,occupants
116,4.80953E+08,structural
117,2.14804E+01,occupants
117,1.01231E+09,structural
118,2.18404E+01,occupants
118,8.26920E+08,structural
119,2.12066E+01,occupants
119,8.94646E+08,structural
120,1.23764E+00,occupants
120,5.65245E+07,structural
121,1.32133E+00,occupants
121,7.69298E+07,structural
122,1.16215E+00,occupants
122,5.44422E+07,structural
123,3.48369E-01,occupants
123,1.17481E+07,structural
124,3.77490E-01,occupants
124,1.77013E+07,structural
125,3.21490E-01,occupants
125,8.95218E+06,structural
126,5.87712E-02,occupants
126,5.31321E+06,structural
127,6.55831E-02,occupants
127,6.34353E+06,structural
128,5.26531E-02,occupants
128,3.42450E+06,structural
129,3.61393E+00,occupants
129,2.24228E+08,structural
130,3.80161E+00,occupants
130,1.80916E+08,structural
131,3.44079E+00,occupants
131,2.34374E+08,structural
132,1.01935E+01,occupants
132,4.39732E+08,structural
133,1.05359E+01,occupants
133,5.47427E+08,structural
134,9.93143E+00,occupants
134,3.15796E+08,structural
135,2.31575E+00,occupants
135,7.88717E+07,structural
136,2.40581E+00,occupants
136,8.85554E+07,structural
137,2.22907E+00,occupants
137,1.55327E+08,structural
138,1.00039E+00,occupants
138,4.63176E+07,structural
139,1.05326E+00,occupants
139,1.05162E+08,structural
140,9.51385E-01,occupants
140,6.65964E+07,structural
141,3.00496E-01,occupants
141,1.49687E+07,structural
142,3.20147E-01,occupants
142,2.61402E+07,structural
143,2.81781E-01,occupants
143,1.31988E+07,structural
144,4.50147E+00,occupants
144,2.70891E+08,structural
145,4.64064E+00,occupants
145,2.70683E+08,structural
146,4.37074E+00,occupants
146,2.51787E+08,structural
147,8.87967E+00,occupants
147,4.43430E+08,structural
148,9.10308E+00,occupants
148,4.65351E+08,structural
149,8.67293E+00,occupants
149,5.12546E+08,structural
150,1.74031E+00,occupants
150,1.20517E+08,structural
151,1.81682E+00,occupants
151,7.87128E+07,structural
152,1.66740E+00,occupants
152,1.66072E+08,structural
153,6.69365E-01,occupants
153,3.03741E+07,structural
154,7.09304E-01,occupants
154,3.87299E+07,structural
155,6.32584E-01,occupants
155,7.35006E+07,structural
156,1.73342E-01,occupants
156,8.56658E+06,structural
157,1.86397E-01,occupants
157,1.68839E+07,structural
158,1.61294E-01,occupants
158,2.32631E+07,structural
159,3.82909E+00,occupants
159,9.70585E+07,structural
160,3.95688E+00,occupants
160,1.04047E+08,structural
161,3.70654E+00,occupants
161,1.91032E+08,structural
162,7.71997E+00,occupants
162,2.53035E+08,structural
163,7.86039E+00,occupants
163,3.06297E+08,structural
164,7.59161E+00,occupants
164,1.96428E+08,structural
165,1.75946E+00,occupants
165,1.36046E+08,structural
