#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T15:56:46', checksum=773685249"
event_id,loss,loss_type
0,1.73770E+00,occupants
0,2.85619E+08,structural
1,4.27970E-01,occupants
1,1.32956E+08,structural
2,6.65253E-02,occupants
2,3.38651E+07,structural
3,5.84762E+00,occupants
3,1.16269E+09,structural
4,1.64207E+01,occupants
4,3.65720E+09,structural
5,2.34698E+00,occupants
5,5.10404E+08,structural
6,6.13711E-01,occupants
6,1.37745E+08,structural
7,1.05226E-01,occupants
7,6.07618E+07,structural
8,7.28511E+00,occupants
8,1.24632E+09,structural
9,1.81390E+01,occupants
9,2.85709E+09,structural
10,1.27358E+00,occupants
10,2.75924E+08,structural
11,2.94470E-01,occupants
11,1.32608E+08,structural
12,4.08049E-02,occupants
12,2.95964E+07,structural
13,4.63883E+00,occupants
13,1.09218E+09,structural
14,1.47353E+01,occupants
14,2.91849E+09,structural
15,1.65721E+00,occupants
15,1.52294E+08,structural
16,6.77265E-01,occupants
16,1.96982E+08,structural
17,1.88453E-01,occupants
17,1.85212E+07,structural
18,3.29563E+00,occupants
18,3.29636E+08,structural
19,5.78795E+00,occupants
19,4.46430E+08,structural
20,2.08338E+00,occupants
20,2.53896E+08,structural
21,9.17191E-01,occupants
21,4.66036E+07,structural
22,2.80952E-01,occupants
22,4.33269E+07,structural
23,3.89154E+00,occupants
23,3.22883E+08,structural
24,6.31144E+00,occupants
24,6.00163E+08,structural
25,1.28856E+00,occupants
25,9.76972E+07,structural
26,4.86689E-01,occupants
26,1.07675E+08,structural
27,1.22718E-01,occupants
27,6.10585E+07,structural
28,2.74094E+00,occupants
28,1.42246E+08,structural
29,5.16517E+00,occupants
29,4.05265E+08,structural
30,1.61662E+00,occupants
30,2.95814E+08,structural
31,5.41940E-01,occupants
31,8.37163E+07,structural
32,1.40573E-01,occupants
32,2.24314E+07,structural
33,4.57981E+00,occupants
33,6.05873E+08,structural
34,1.23276E+01,occupants
34,1.58643E+09,structural
35,2.12501E+00,occupants
35,3.04319E+08,structural
36,7.35769E-01,occupants
36,1.13368E+08,structural
37,2.01336E-01,occupants
37,6.47079E+07,structural
38,5.81908E+00,occupants
38,6.59084E+08,structural
39,1.44502E+01,occupants
39,2.15942E+09,structural
40,1.21971E+00,occupants
40,2.42835E+08,structural
41,3.94912E-01,occupants
41,7.55428E+07,structural
42,9.65806E-02,occupants
42,1.72033E+07,structural
43,3.56382E+00,occupants
43,5.20108E+08,structural
44,1.03479E+01,occupants
44,1.36379E+09,structural
45,1.91089E+00,occupants
45,2.62911E+08,structural
46,6.21255E-01,occupants
46,1.41359E+08,structural
47,1.10154E-01,occupants
47,3.23633E+07,structural
48,4.30629E+00,occupants
48,1.18372E+09,structural
49,1.04309E+01,occupants
49,1.51627E+09,structural
50,2.38047E+00,occupants
50,2.95324E+08,structural
51,8.58082E-01,occupants
51,1.57909E+08,structural
52,1.72954E-01,occupants
52,7.50324E+07,structural
53,4.91822E+00,occupants
53,6.36734E+08,structural
54,1.09581E+01,occupants
54,2.20420E+09,structural
55,1.50262E+00,occupants
55,2.55498E+08,structural
56,4.37481E-01,occupants
56,1.35787E+08,structural
57,6.82061E-02,occupants
57,2.65031E+07,structural
58,3.74232E+00,occupants
58,8.16846E+08,structural
59,1.00332E+01,occupants
59,2.63137E+09,structural
60,1.80358E+00,occupants
60,1.76726E+08,structural
61,8.17103E-01,occupants
61,6.91488E+07,structural
62,2.82080E-01,occupants
62,2.90114E+07,structural
63,3.60991E+00,occupants
63,3.34612E+08,structural
64,6.71886E+00,occupants
64,5.87320E+08,structural
65,2.20234E+00,occupants
65,2.70167E+08,structural
66,1.03319E+00,occupants
66,1.05422E+08,structural
67,3.82493E-01,occupants
67,5.12479E+07,structural
68,4.26361E+00,occupants
68,4.51153E+08,structural
69,7.62883E+00,occupants
69,7.66093E+08,structural
70,1.46332E+00,occupants
70,1.66358E+08,structural
71,6.36126E-01,occupants
71,5.82578E+07,structural
72,2.03102E-01,occupants
72,1.79882E+07,structural
73,3.02621E+00,occupants
73,2.83470E+08,structural
74,5.87768E+00,occupants
74,6.63878E+08,structural
75,2.85864E+00,occupants
75,2.65360E+08,structural
76,1.83013E+00,occupants
76,2.41238E+08,structural
77,8.81702E-01,occupants
77,8.08824E+07,structural
78,3.69897E+00,occupants
78,3.46469E+08,structural
79,5.74109E+00,occupants
79,8.53983E+08,structural
80,3.18289E+00,occupants
80,3.13542E+08,structural
81,2.14525E+00,occupants
81,1.78084E+08,structural
82,1.12102E+00,occupants
82,1.04329E+08,structural
83,3.96753E+00,occupants
83,2.55196E+08,structural
84,6.54923E+00,occupants
84,7.60625E+08,structural
85,2.53373E+00,occupants
85,1.40116E+08,structural
86,1.52831E+00,occupants
86,1.56815E+08,structural
87,6.74444E-01,occupants
87,1.56874E+08,structural
88,3.49595E+00,occupants
88,3.52433E+08,structural
89,5.09258E+00,occupants
89,7.03653E+08,structural
90,3.27935E+00,occupants
90,4.22693E+08,structural
91,1.45625E+00,occupants
91,1.47025E+08,structural
92,4.79634E-01,occupants
92,7.70284E+07,structural
93,6.06965E+00,occupants
93,6.55058E+08,structural
94,1.01650E+01,occupants
94,9.06999E+08,structural
95,3.91153E+00,occupants
95,2.64053E+08,structural
96,1.84034E+00,occupants
96,1.40694E+08,structural
97,6.41679E-01,occupants
97,6.90305E+07,structural
98,6.87340E+00,occupants
98,6.51958E+08,structural
99,1.10997E+01,occupants
99,1.14635E+09,structural
100,2.71249E+00,occupants
100,2.72194E+08,structural
101,1.13401E+00,occupants
101,1.25001E+08,structural
102,3.54099E-01,occupants
102,5.43234E+07,structural
103,5.31192E+00,occupants
103,5.63210E+08,structural
104,9.29453E+00,occupants
104,1.02301E+09,structural
105,2.44627E+00,occupants
105,3.50504E+08,structural
106,8.24145E-01,occupants
106,2.91450E+08,structural
107,2.38616E-01,occupants
107,5.57065E+07,structural
108,6.99331E+00,occupants
108,1.25833E+09,structural
109,1.78535E+01,occupants
109,1.82346E+09,structural
110,3.16854E+00,occupants
110,4.28300E+08,structural
111,1.09727E+00,occupants
111,2.25814E+08,structural
112,3.29472E-01,occupants
112,9.23407E+07,structural
113,8.56274E+00,occupants
113,1.07295E+09,structural
114,1.97684E+01,occupants
114,2.91596E+09,structural
115,1.88083E+00,occupants
115,2.47235E+08,structural
116,6.14731E-01,occupants
116,1.43381E+08,structural
117,1.70566E-01,occupants
117,3.68381E+07,structural
118,5.66650E+00,occupants
118,8.06514E+08,structural
119,1.59574E+01,occupants
119,2.44746E+09,structural
120,1.62879E+00,occupants
120,9.84864E+07,structural
121,7.19092E-01,occupants
121,6.60205E+07,structural
122,2.20142E-01,occupants
122,3.12268E+07,structural
123,3.05019E+00,occupants
123,2.98966E+08,structural
124,5.48970E+00,occupants
124,5.13855E+08,structural
125,1.96226E+00,occupants
125,1.50100E+08,structural
126,9.22094E-01,occupants
126,7.72991E+07,structural
127,3.06357E-01,occupants
127,2.38621E+07,structural
128,3.50935E+00,occupants
128,2.53811E+08,structural
129,6.17791E+00,occupants
129,7.71834E+08,structural
130,1.32984E+00,occupants
130,9.04423E+07,structural
131,5.49620E-01,occupants
131,4.78438E+07,structural
132,1.54519E-01,occupants
132,4.50735E+07,structural
133,2.62354E+00,occupants
133,2.22898E+08,structural
134,4.87341E+00,occupants
134,5.80287E+08,structural
135,9.36259E-01,occupants
135,1.06350E+08,structural
136,2.83021E-01,occupants
136,6.03714E+07,structural
137,5.63857E-02,occupants
137,2.59999E+07,structural
138,2.48008E+00,occupants
138,8.42073E+08,structural
139,5.71144E+00,occupants
139,1.17581E+09,structural
140,1.26772E+00,occupants
140,2.09407E+08,structural
141,4.15412E-01,occupants
141,3.45979E+07,structural
142,9.11021E-02,occupants
142,9.13970E+06,structural
143,3.10224E+00,occupants
143,4.27905E+08,structural
144,6.57766E+00,occupants
144,9.81550E+08,structural
145,6.76159E-01,occupants
145,1.52114E+08,structural
146,1.87954E-01,occupants
146,5.29010E+07,structural
147,3.41069E-02,occupants
147,3.33333E+07,structural
148,1.94274E+00,occupants
148,2.41271E+08,structural
149,4.89149E+00,occupants
149,7.58795E+08,structural
150,6.54626E+00,occupants
150,4.91181E+08,structural
151,4.58560E+00,occupants
151,5.26766E+08,structural
152,2.49665E+00,occupants
152,1.59937E+08,structural
153,8.93251E+00,occupants
153,9.54334E+08,structural
154,1.23815E+01,occupants
154,1.40101E+09,structural
155,7.14789E+00,occupants
155,7.27104E+08,structural
156,5.02569E+00,occupants
156,5.10635E+08,structural
157,2.96654E+00,occupants
157,1.93108E+08,structural
158,9.60436E+00,occupants
158,9.46477E+08,structural
159,1.32551E+01,occupants
159,1.74468E+09,structural
160,5.98017E+00,occupants
160,6.15315E+08,structural
161,3.97995E+00,occupants
161,3.77273E+08,structural
162,2.06900E+00,occupants
162,1.84027E+08,structural
163,8.28727E+00,occupants
163,7.65446E+08,structural
164,1.16112E+01,occupants
164,1.47436E+09,structural
165,1.47703E+00,occupants
165,1.26317E+08,structural
166,8.15813E-01,occupants
166,4.32666E+07,structural
167,3.34894E-01,occupants
167,1.24242E+07,structural
168,2.46315E+00,occupants
168,2.61959E+08,structural
169,4.35700E+00,occupants
169,3.49007E+08,structural
170,1.72252E+00,occupants
170,1.20494E+08,structural
171,9.87333E-01,occupants
171,9.31252E+07,structural
172,4.37137E-01,occupants
172,3.75764E+07,structural
173,2.84786E+00,occupants
173,1.69560E+08,structural
174,4.98876E+00,occupants
174,5.51235E+08,structural
175,1.25821E+00,occupants
175,5.39245E+07,structural
176,6.63282E-01,occupants
176,7.21951E+07,structural
177,2.50423E-01,occupants
177,2.74189E+07,structural
178,2.12762E+00,occupants
178,2.02007E+08,structural
179,3.77337E+00,occupants
179,4.31645E+08,structural
180,8.82018E-01,occupants
180,1.59055E+08,structural
181,3.10533E-01,occupants
181,3.86827E+07,structural
182,7.73256E-02,occupants
182,8.35539E+06,structural
183,2.13606E+00,occupants
183,3.14047E+08,structural
184,4.72114E+00,occupants
184,7.24928E+08,structural
185,1.12482E+00,occupants
185,1.82595E+08,structural
186,4.17192E-01,occupants
186,4.95873E+07,structural
187,1.12193E-01,occupants
187,1.63569E+07,structural
188,2.59244E+00,occupants
188,2.92010E+08,structural
189,5.37672E+00,occupants
189,6.67663E+08,structural
190,6.83370E-01,occupants
190,7.64850E+07,structural
191,2.27469E-01,occupants
191,2.68024E+07,structural
192,5.19810E-02,occupants
192,1.29452E+07,structural
193,1.74104E+00,occupants
193,2.58289E+08,structural
194,4.12237E+00,occupants
194,8.71522E+08,structural
195,1.11130E+00,occupants
195,1.70801E+08,structural
196,4.10265E-01,occupants
196,1.07710E+08,structural
197,1.28463E-01,occupants
197,8.65456E+06,structural
198,2.69611E+00,occupants
198,3.70174E+08,structural
199,6.18595E+00,occupants
199,5.89506E+08,structural
200,1.44457E+00,occupants
200,1.50207E+08,structural
201,5.53285E-01,occupants
201,4.89300E+07,structural
202,1.76305E-01,occupants
202,1.30143E+07,structural
203,3.33396E+00,occupants
203,2.87676E+08,structural
204,7.25971E+00,occupants
204,6.08292E+08,structural
205,8.44988E-01,occupants
205,1.15390E+08,structural
206,3.02829E-01,occupants
206,7.02150E+07,structural
207,9.29588E-02,occupants
207,6.76529E+06,structural
208,2.15231E+00,occupants
208,2.18874E+08,structural
209,5.22927E+00,occupants
209,7.14174E+08,structural
210,1.15831E+00,occupants
210,1.54162E+08,structural
211,4.95335E-01,occupants
211,4.54057E+07,structural
212,1.84939E-01,occupants
212,2.86194E+07,structural
213,2.99038E+00,occupants
213,4.91878E+08,structural
214,9.93224E+00,occupants
214,1.70226E+09,structural
215,1.46068E+00,occupants
215,2.05698E+08,structural
216,6.26771E-01,occupants
