#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:13:19', checksum=1653129626"
event_id,loss,loss_type
0,9.24939E-01,occupants
0,7.53203E+07,structural
1,1.13202E+00,occupants
1,1.31272E+08,structural
2,7.59834E-01,occupants
2,6.75591E+07,structural
3,1.65250E-01,occupants
3,4.12291E+07,structural
4,2.08485E-01,occupants
4,3.24743E+07,structural
5,1.30074E-01,occupants
5,2.61436E+07,structural
6,2.04096E-02,occupants
6,9.94611E+06,structural
7,2.66313E-02,occupants
7,9.06016E+06,structural
8,1.54390E-02,occupants
8,1.19620E+07,structural
9,4.51848E+00,occupants
9,2.19355E+08,structural
10,5.31441E+00,occupants
10,2.12662E+08,structural
11,3.82727E+00,occupants
11,1.57222E+08,structural
12,2.15368E+01,occupants
12,6.51333E+08,structural
13,2.43174E+01,occupants
13,7.82089E+08,structural
14,1.91086E+01,occupants
14,7.29046E+08,structural
15,7.98330E-01,occupants
15,3.25969E+07,structural
16,9.53808E-01,occupants
16,4.34475E+07,structural
17,6.69248E-01,occupants
17,3.40879E+07,structural
18,1.86142E-01,occupants
18,1.01140E+07,structural
19,2.27449E-01,occupants
19,1.54356E+07,structural
20,1.52913E-01,occupants
20,7.03585E+06,structural
21,3.33550E-02,occupants
21,2.86602E+06,structural
22,4.21563E-02,occupants
22,2.01348E+06,structural
23,2.66229E-02,occupants
23,2.96831E+06,structural
24,3.16800E+00,occupants
24,1.29853E+08,structural
25,3.68282E+00,occupants
25,1.32307E+08,structural
26,2.71745E+00,occupants
26,1.05204E+08,structural
27,1.27643E+01,occupants
27,4.05183E+08,structural
28,1.44581E+01,occupants
28,3.74640E+08,structural
29,1.12477E+01,occupants
29,3.48018E+08,structural
30,1.27396E-01,occupants
30,1.96578E+07,structural
31,1.71624E-01,occupants
31,2.59620E+07,structural
32,9.37706E-02,occupants
32,1.94604E+07,structural
33,7.54396E-03,occupants
33,3.54861E+06,structural
34,1.08748E-02,occupants
34,6.85260E+06,structural
35,5.27429E-03,occupants
35,3.76872E+06,structural
36,2.61717E-04,occupants
36,2.74617E+06,structural
37,3.99473E-04,occupants
37,1.30559E+06,structural
38,1.49891E-04,occupants
38,1.21756E+06,structural
39,1.41816E+00,occupants
39,9.65175E+07,structural
40,1.79453E+00,occupants
40,8.86446E+07,structural
41,1.11573E+00,occupants
41,6.68234E+07,structural
42,1.12407E+01,occupants
42,2.48643E+08,structural
43,1.32614E+01,occupants
43,2.22579E+08,structural
44,9.47240E+00,occupants
44,2.26010E+08,structural
45,6.89353E-01,occupants
45,3.61128E+07,structural
46,8.99002E-01,occupants
46,5.09570E+07,structural
47,5.19061E-01,occupants
47,3.03146E+07,structural
48,7.23340E-02,occupants
48,1.24477E+07,structural
49,1.00255E-01,occupants
49,1.34746E+07,structural
50,5.09075E-02,occupants
50,2.09059E+07,structural
51,4.87631E-03,occupants
51,3.62406E+06,structural
52,7.46580E-03,occupants
52,1.59485E+06,structural
53,3.31819E-03,occupants
53,1.25709E+06,structural
54,4.66310E+00,occupants
54,1.41269E+08,structural
55,5.70027E+00,occupants
55,1.61383E+08,structural
56,3.77554E+00,occupants
56,1.51395E+08,structural
57,2.34473E+01,occupants
57,5.40238E+08,structural
58,2.67083E+01,occupants
58,5.06845E+08,structural
59,2.05122E+01,occupants
59,4.61659E+08,structural
60,3.96155E-01,occupants
60,4.00925E+07,structural
61,4.87280E-01,occupants
61,3.36767E+07,structural
62,3.21928E-01,occupants
62,3.80230E+07,structural
63,6.39362E-02,occupants
63,6.19327E+06,structural
64,8.29087E-02,occupants
64,7.78829E+06,structural
65,4.94755E-02,occupants
65,7.21479E+06,structural
66,7.06802E-03,occupants
66,2.85264E+06,structural
67,9.52160E-03,occupants
67,3.73724E+06,structural
68,5.09003E-03,occupants
68,1.55210E+06,structural
69,1.96253E+00,occupants
69,1.16699E+08,structural
70,2.29743E+00,occupants
70,1.02530E+08,structural
71,1.67261E+00,occupants
71,1.23629E+08,structural
72,9.51891E+00,occupants
72,3.55046E+08,structural
73,1.07350E+01,occupants
73,3.88999E+08,structural
74,8.45856E+00,occupants
74,3.69225E+08,structural
75,1.84749E+01,occupants
75,1.99876E+08,structural
76,2.06398E+01,occupants
76,2.92871E+08,structural
77,1.64419E+01,occupants
77,2.39104E+08,structural
78,5.55159E+00,occupants
78,7.90041E+07,structural
79,6.60251E+00,occupants
79,1.23594E+08,structural
80,4.67019E+00,occupants
80,8.54214E+07,structural
81,8.52546E-01,occupants
81,3.84634E+07,structural
82,1.07612E+00,occupants
82,2.55024E+07,structural
83,6.63595E-01,occupants
83,3.14862E+07,structural
84,4.01354E+01,occupants
84,4.67788E+08,structural
85,4.30040E+01,occupants
85,5.49725E+08,structural
86,3.73713E+01,occupants
86,4.53611E+08,structural
87,7.46431E+01,occupants
87,8.63372E+08,structural
88,7.83384E+01,occupants
88,8.62178E+08,structural
89,7.11493E+01,occupants
89,1.18715E+09,structural
90,7.59900E+00,occupants
90,1.48757E+08,structural
91,8.81154E+00,occupants
91,1.96544E+08,structural
92,6.50850E+00,occupants
92,1.35708E+08,structural
93,1.90405E+00,occupants
93,5.53038E+07,structural
94,2.27643E+00,occupants
94,7.20817E+07,structural
95,1.58642E+00,occupants
95,5.33209E+07,structural
96,3.50121E-01,occupants
96,2.08478E+07,structural
97,4.27782E-01,occupants
97,2.16556E+07,structural
98,2.80846E-01,occupants
98,2.63788E+07,structural
99,2.41437E+01,occupants
99,4.48640E+08,structural
100,2.70205E+01,occupants
100,4.61127E+08,structural
101,2.15134E+01,occupants
101,3.97255E+08,structural
102,6.48855E+01,occupants
102,9.19539E+08,structural
103,7.01815E+01,occupants
103,9.73199E+08,structural
104,5.99451E+01,occupants
104,9.34941E+08,structural
105,7.92669E+00,occupants
105,1.03044E+08,structural
106,9.05667E+00,occupants
106,1.32014E+08,structural
107,6.87706E+00,occupants
107,6.57939E+07,structural
108,1.64176E+00,occupants
108,2.55120E+07,structural
109,2.00537E+00,occupants
109,6.95012E+07,structural
110,1.31276E+00,occupants
110,3.72026E+07,structural
111,1.25075E-01,occupants
111,7.52298E+06,structural
112,1.70511E-01,occupants
112,4.87578E+06,structural
113,9.35263E-02,occupants
113,1.21516E+07,structural
114,2.16181E+01,occupants
114,2.68380E+08,structural
115,2.34190E+01,occupants
115,2.46158E+08,structural
