#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:23:54', checksum=1653129626"
event_id,loss,loss_type
0,8.21210E+01,occupants
0,4.87575E+09,structural
1,8.54953E+01,occupants
1,4.52178E+09,structural
2,7.88709E+01,occupants
2,4.44585E+09,structural
3,4.49778E+01,occupants
3,2.56932E+09,structural
4,4.71675E+01,occupants
4,2.64318E+09,structural
5,4.28622E+01,occupants
5,2.78994E+09,structural
6,2.25585E+01,occupants
6,1.29512E+09,structural
7,2.38530E+01,occupants
7,1.46723E+09,structural
8,2.13008E+01,occupants
8,1.40341E+09,structural
9,1.50390E+02,occupants
9,7.97150E+09,structural
10,1.55291E+02,occupants
10,8.38310E+09,structural
11,1.45740E+02,occupants
11,8.40696E+09,structural
12,2.99550E+02,occupants
12,1.54188E+10,structural
13,3.05717E+02,occupants
13,1.59888E+10,structural
14,2.93993E+02,occupants
14,1.58593E+10,structural
15,1.13916E+02,occupants
15,6.22488E+09,structural
16,1.18382E+02,occupants
16,6.22900E+09,structural
17,1.09593E+02,occupants
17,5.59015E+09,structural
18,6.38350E+01,occupants
18,3.48017E+09,structural
19,6.67196E+01,occupants
19,3.63383E+09,structural
20,6.10428E+01,occupants
20,3.02213E+09,structural
21,3.32627E+01,occupants
21,1.77464E+09,structural
22,3.50868E+01,occupants
22,1.79160E+09,structural
23,3.14951E+01,occupants
23,1.65803E+09,structural
24,2.05396E+02,occupants
24,1.08194E+10,structural
25,2.12070E+02,occupants
25,1.11029E+10,structural
26,1.98938E+02,occupants
26,1.06140E+10,structural
27,3.86753E+02,occupants
27,1.85320E+10,structural
28,3.95565E+02,occupants
28,2.04670E+10,structural
29,3.78447E+02,occupants
29,1.99058E+10,structural
30,1.09453E+02,occupants
30,6.39101E+09,structural
31,1.13588E+02,occupants
31,6.90578E+09,structural
32,1.05466E+02,occupants
32,5.78461E+09,structural
33,5.89011E+01,occupants
33,3.44518E+09,structural
34,6.16159E+01,occupants
34,3.64481E+09,structural
35,5.62598E+01,occupants
35,3.41147E+09,structural
36,2.89039E+01,occupants
36,1.93872E+09,structural
37,3.05916E+01,occupants
37,1.57877E+09,structural
38,2.72518E+01,occupants
38,1.90007E+09,structural
39,2.01645E+02,occupants
39,1.15778E+10,structural
40,2.07390E+02,occupants
40,1.11878E+10,structural
41,1.96155E+02,occupants
41,1.19142E+10,structural
42,3.93328E+02,occupants
42,2.10528E+10,structural
43,3.99686E+02,occupants
43,2.10758E+10,structural
44,3.87925E+02,occupants
44,2.20046E+10,structural
45,1.04314E+02,occupants
45,6.01366E+09,structural
46,1.09613E+02,occupants
46,6.16404E+09,structural
47,9.92406E+01,occupants
47,5.60253E+09,structural
48,4.97840E+01,occupants
48,3.29682E+09,structural
49,5.26537E+01,occupants
49,3.36633E+09,structural
50,4.70877E+01,occupants
50,2.85497E+09,structural
51,2.24119E+01,occupants
51,1.66186E+09,structural
52,2.37161E+01,occupants
52,1.70152E+09,structural
53,2.11629E+01,occupants
53,1.51135E+09,structural
54,2.08829E+02,occupants
54,1.08884E+10,structural
55,2.17098E+02,occupants
55,1.14369E+10,structural
56,2.00807E+02,occupants
56,1.02903E+10,structural
57,4.10058E+02,occupants
57,1.92772E+10,structural
58,4.20568E+02,occupants
58,2.07179E+10,structural
59,4.00038E+02,occupants
59,2.02921E+10,structural
60,1.54126E+02,occupants
60,8.77504E+09,structural
61,1.60129E+02,occupants
61,1.00574E+10,structural
62,1.48276E+02,occupants
62,8.24318E+09,structural
63,8.16768E+01,occupants
63,5.35802E+09,structural
64,8.57435E+01,occupants
64,4.66928E+09,structural
65,7.78048E+01,occupants
65,4.60871E+09,structural
66,3.60839E+01,occupants
66,2.48791E+09,structural
67,3.84482E+01,occupants
67,2.66197E+09,structural
68,3.38337E+01,occupants
68,2.39608E+09,structural
69,2.80809E+02,occupants
69,1.55647E+10,structural
70,2.88959E+02,occupants
70,1.51979E+10,structural
71,2.72990E+02,occupants
71,1.49099E+10,structural
72,5.35902E+02,occupants
72,2.76502E+10,structural
73,5.44355E+02,occupants
73,2.76211E+10,structural
74,5.28329E+02,occupants
74,2.81756E+10,structural
75,7.45072E+01,occupants
75,4.41527E+09,structural
76,7.81462E+01,occupants
76,4.74431E+09,structural
77,7.10098E+01,occupants
77,4.48708E+09,structural
78,3.30469E+01,occupants
78,2.06734E+09,structural
79,3.50435E+01,occupants
79,2.50533E+09,structural
80,3.11616E+01,occupants
80,2.07538E+09,structural
81,1.26940E+01,occupants
81,1.02942E+09,structural
82,1.36169E+01,occupants
82,1.05285E+09,structural
83,1.18237E+01,occupants
83,9.66287E+08,structural
84,1.57198E+02,occupants
84,8.44887E+09,structural
85,1.62952E+02,occupants
85,9.03540E+09,structural
86,1.51674E+02,occupants
86,8.06514E+09,structural
87,3.26248E+02,occupants
87,1.70550E+10,structural
88,3.33489E+02,occupants
88,1.69572E+10,structural
89,3.19598E+02,occupants
89,1.65934E+10,structural
90,1.44368E+02,occupants
90,7.16190E+09,structural
91,1.49901E+02,occupants
91,7.27076E+09,structural
92,1.39032E+02,occupants
92,6.93583E+09,structural
93,7.80577E+01,occupants
93,4.31977E+09,structural
94,8.17102E+01,occupants
94,4.61215E+09,structural
95,7.45182E+01,occupants
95,3.85989E+09,structural
96,3.75695E+01,occupants
96,2.17622E+09,structural
97,3.97505E+01,occupants
97,2.21047E+09,structural
98,3.54740E+01,occupants
98,2.17151E+09,structural
99,2.60594E+02,occupants
99,1.21838E+10,structural
100,2.68030E+02,occupants
100,1.25910E+10,structural
101,2.53303E+02,occupants
101,1.24460E+10,structural
102,4.86936E+02,occupants
102,2.33206E+10,structural
103,4.95489E+02,occupants
103,2.27996E+10,structural
104,4.78914E+02,occupants
104,2.27524E+10,structural
105,1.56312E+02,occupants
105,8.43805E+09,structural
106,1.62190E+02,occupants
106,9.11316E+09,structural
107,1.50625E+02,occupants
107,8.42232E+09,structural
108,7.44238E+01,occupants
108,4.72172E+09,structural
109,7.81116E+01,occupants
109,5.25960E+09,structural
110,7.09578E+01,occupants
110,4.48519E+09,structural
111,3.16445E+01,occupants
111,1.99455E+09,structural
112,3.36590E+01,occupants
112,2.08567E+09,structural
113,2.97422E+01,occupants
113,1.96042E+09,structural
114,3.10234E+02,occupants
114,1.59372E+10,structural
115,3.18557E+02,occupants
115,1.57068E+10,structural
116,3.02377E+02,occupants
116,1.59005E+10,structural
117,5.99767E+02,occupants
117,2.90916E+10,structural
118,6.08567E+02,occupants
118,2.93162E+10,structural
119,5.92149E+02,occupants
119,2.91935E+10,structural
120,7.36461E+01,occupants
120,4.41505E+09,structural
121,7.72349E+01,occupants
121,4.63439E+09,structural
122,7.01803E+01,occupants
