#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:29:55', checksum=1653129626"
event_id,loss,loss_type
0,1.83427E+01,occupants
0,1.17036E+09,structural
1,2.26175E+01,occupants
1,1.21052E+09,structural
2,1.48004E+01,occupants
2,1.68036E+09,structural
3,2.47206E+00,occupants
3,5.22714E+08,structural
4,3.21787E+00,occupants
4,6.32604E+08,structural
5,1.91690E+00,occupants
5,5.64411E+08,structural
6,2.72607E-01,occupants
6,1.37802E+08,structural
7,3.66476E-01,occupants
7,3.25612E+08,structural
8,2.00413E-01,occupants
8,1.15813E+08,structural
9,9.98740E+01,occupants
9,4.87044E+09,structural
10,1.15712E+02,occupants
10,4.10623E+09,structural
11,8.55580E+01,occupants
11,3.46407E+09,structural
12,3.83091E+02,occupants
12,1.04631E+10,structural
13,4.21471E+02,occupants
13,7.70708E+09,structural
14,3.46348E+02,occupants
14,1.15277E+10,structural
15,5.30095E+01,occupants
15,1.47417E+09,structural
16,6.25930E+01,occupants
16,1.18721E+09,structural
17,4.50054E+01,occupants
17,1.73707E+09,structural
18,1.31608E+01,occupants
18,3.37455E+08,structural
19,1.60932E+01,occupants
19,5.97098E+08,structural
20,1.06898E+01,occupants
20,7.70973E+08,structural
21,2.17085E+00,occupants
21,1.61048E+08,structural
22,2.83306E+00,occupants
22,2.14256E+08,structural
23,1.69754E+00,occupants
23,1.04752E+08,structural
24,2.02753E+02,occupants
24,3.73053E+09,structural
25,2.30897E+02,occupants
25,5.93007E+09,structural
26,1.78097E+02,occupants
26,3.26071E+09,structural
27,8.12576E+02,occupants
27,1.02257E+10,structural
28,8.87530E+02,occupants
28,1.43792E+10,structural
29,7.43689E+02,occupants
29,1.19293E+10,structural
30,6.77740E+01,occupants
30,1.35828E+09,structural
31,7.78989E+01,occupants
31,9.17793E+08,structural
32,5.85972E+01,occupants
32,5.21239E+08,structural
33,2.27844E+01,occupants
33,9.52851E+07,structural
34,2.72343E+01,occupants
34,6.87354E+08,structural
35,1.88475E+01,occupants
35,4.17882E+08,structural
36,4.96787E+00,occupants
36,6.39052E+07,structural
37,6.23764E+00,occupants
37,1.77773E+08,structural
38,3.92000E+00,occupants
38,7.47791E+07,structural
39,1.67733E+02,occupants
39,1.60674E+09,structural
40,1.87387E+02,occupants
40,1.90606E+09,structural
41,1.49502E+02,occupants
41,1.59529E+09,structural
42,4.24488E+02,occupants
42,2.93044E+09,structural
43,4.63955E+02,occupants
43,5.14167E+09,structural
44,3.87706E+02,occupants
44,4.08527E+09,structural
45,5.82117E+01,occupants
45,1.86425E+09,structural
46,6.59758E+01,occupants
46,2.03278E+09,structural
47,5.12271E+01,occupants
47,1.90495E+09,structural
48,1.88647E+01,occupants
48,5.45617E+08,structural
49,2.20909E+01,occupants
49,1.37550E+09,structural
50,1.61246E+01,occupants
50,5.74244E+08,structural
51,3.99429E+00,occupants
51,2.75943E+08,structural
52,4.88462E+00,occupants
52,3.24517E+08,structural
53,3.28436E+00,occupants
53,3.50114E+08,structural
54,1.52483E+02,occupants
54,4.70407E+09,structural
55,1.69534E+02,occupants
55,4.54700E+09,structural
