#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:30:31', checksum=440673534"
event_id,loss,loss_type
0,1.08346E+02,occupants
0,1.67994E+09,structural
1,4.33760E+01,occupants
1,8.15768E+08,structural
2,1.48716E+01,occupants
2,3.15810E+08,structural
3,2.56291E+02,occupants
3,3.60575E+09,structural
4,6.12824E+02,occupants
4,7.99717E+09,structural
5,1.08346E+02,occupants
5,1.90483E+09,structural
6,4.33760E+01,occupants
6,7.61638E+08,structural
7,1.48716E+01,occupants
7,3.74499E+08,structural
8,2.56291E+02,occupants
8,3.47495E+09,structural
9,6.12824E+02,occupants
9,8.38237E+09,structural
10,1.08346E+02,occupants
10,1.54377E+09,structural
11,4.33760E+01,occupants
11,8.13612E+08,structural
12,1.48716E+01,occupants
12,2.80948E+08,structural
13,2.56291E+02,occupants
13,4.06289E+09,structural
14,6.12824E+02,occupants
14,8.05100E+09,structural
15,8.78746E+01,occupants
15,7.08173E+08,structural
16,4.19232E+01,occupants
16,3.55100E+08,structural
17,1.62803E+01,occupants
17,9.70483E+07,structural
18,1.70222E+02,occupants
18,1.56327E+09,structural
19,3.35216E+02,occupants
19,3.26505E+09,structural
20,8.78746E+01,occupants
20,6.33948E+08,structural
21,4.19232E+01,occupants
21,3.33001E+08,structural
22,1.62803E+01,occupants
22,1.38756E+08,structural
23,1.70222E+02,occupants
23,1.44226E+09,structural
24,3.35216E+02,occupants
24,3.01444E+09,structural
25,8.78746E+01,occupants
25,6.43521E+08,structural
26,4.19232E+01,occupants
26,3.13303E+08,structural
27,1.62803E+01,occupants
27,1.23535E+08,structural
28,1.70222E+02,occupants
28,1.31352E+09,structural
29,3.35216E+02,occupants
29,3.27326E+09,structural
30,1.55832E+02,occupants
30,1.53157E+09,structural
31,7.15692E+01,occupants
31,8.89469E+08,structural
32,2.61964E+01,occupants
32,2.42917E+08,structural
33,3.07361E+02,occupants
33,2.72587E+09,structural
34,5.96690E+02,occupants
34,4.85436E+09,structural
35,1.55832E+02,occupants
35,1.43151E+09,structural
36,7.15692E+01,occupants
36,8.31011E+08,structural
37,2.61964E+01,occupants
37,3.27785E+08,structural
38,3.07361E+02,occupants
38,2.46710E+09,structural
39,5.96690E+02,occupants
39,5.14542E+09,structural
40,1.55832E+02,occupants
40,1.61877E+09,structural
41,7.15692E+01,occupants
41,5.92161E+08,structural
42,2.61964E+01,occupants
42,1.89922E+08,structural
43,3.07361E+02,occupants
43,2.58425E+09,structural
44,5.96690E+02,occupants
44,5.07666E+09,structural
45,2.99477E+01,occupants
45,3.62586E+08,structural
46,1.26273E+01,occupants
46,1.67275E+08,structural
47,4.09615E+00,occupants
47,6.31502E+07,structural
48,6.51177E+01,occupants
48,8.51281E+08,structural
49,1.46627E+02,occupants
49,1.90312E+09,structural
50,2.99477E+01,occupants
50,3.85815E+08,structural
51,1.26273E+01,occupants
51,1.56670E+08,structural
52,4.09615E+00,occupants
52,4.90242E+07,structural
53,6.51177E+01,occupants
53,7.77285E+08,structural
54,1.46627E+02,occupants
54,2.25128E+09,structural
55,2.99477E+01,occupants
55,3.60984E+08,structural
56,1.26273E+01,occupants
56,1.70363E+08,structural
57,4.09615E+00,occupants
57,5.56539E+07,structural
58,6.51177E+01,occupants
58,8.32085E+08,structural
59,1.46627E+02,occupants
59,1.84231E+09,structural
60,2.25566E+01,occupants
60,6.39128E+08,structural
61,6.69651E+00,occupants
61,3.08731E+08,structural
62,1.69985E+00,occupants
62,1.27404E+08,structural
63,7.21502E+01,occupants
63,1.57861E+09,structural
64,2.34077E+02,occupants
64,4.07831E+09,structural
65,2.25566E+01,occupants
65,7.66223E+08,structural
66,6.69651E+00,occupants
66,2.83888E+08,structural
67,1.69985E+00,occupants
67,1.49526E+08,structural
68,7.21502E+01,occupants
68,1.78210E+09,structural
69,2.34077E+02,occupants
69,3.78927E+09,structural
70,2.25566E+01,occupants
70,9.56102E+08,structural
71,6.69651E+00,occupants
71,2.93461E+08,structural
72,1.69985E+00,occupants
72,1.39604E+08,structural
73,7.21502E+01,occupants
73,1.80184E+09,structural
74,2.34077E+02,occupants
74,4.26460E+09,structural
75,2.03628E+01,occupants
75,5.13592E+08,structural
76,6.43824E+00,occupants
76,1.87943E+08,structural
77,1.50378E+00,occupants
77,6.04245E+07,structural
78,5.74418E+01,occupants
78,9.11245E+08,structural
79,1.62944E+02,occupants
79,2.36951E+09,structural
80,2.03628E+01,occupants
80,4.01591E+08,structural
81,6.43824E+00,occupants
81,1.71977E+08,structural
82,1.50378E+00,occupants
82,7.45533E+07,structural
83,5.74418E+01,occupants
83,9.41207E+08,structural
84,1.62944E+02,occupants
84,2.39415E+09,structural
85,2.03628E+01,occupants
85,4.30521E+08,structural
86,6.43824E+00,occupants
86,1.40487E+08,structural
87,1.50378E+00,occupants
87,4.92379E+07,structural
88,5.74418E+01,occupants
88,1.11316E+09,structural
89,1.62944E+02,occupants
89,2.54038E+09,structural
90,7.93134E+01,occupants
90,7.19921E+08,structural
91,3.93175E+01,occupants
91,4.04954E+08,structural
92,1.66935E+01,occupants
92,1.25332E+08,structural
93,1.57239E+02,occupants
93,1.80219E+09,structural
94,3.39876E+02,occupants
94,4.52904E+09,structural
95,7.93134E+01,occupants
95,9.19298E+08,structural
96,3.93175E+01,occupants
96,4.42276E+08,structural
97,1.66935E+01,occupants
97,1.60147E+08,structural
98,1.57239E+02,occupants
98,1.77962E+09,structural
99,3.39876E+02,occupants
99,4.09401E+09,structural
100,7.93134E+01,occupants
100,7.84641E+08,structural
101,3.93175E+01,occupants
101,3.58673E+08,structural
102,1.66935E+01,occupants
102,2.83432E+08,structural
103,1.57239E+02,occupants
103,1.90148E+09,structural
104,3.39876E+02,occupants
104,4.15297E+09,structural
105,5.63592E+01,occupants
105,1.66334E+09,structural
106,1.45341E+01,occupants
106,5.95127E+08,structural
107,2.83021E+00,occupants
107,2.49318E+08,structural
108,1.88473E+02,occupants
108,4.41622E+09,structural
109,5.91838E+02,occupants
109,9.89378E+09,structural
110,5.63592E+01,occupants
110,1.89989E+09,structural
111,1.45341E+01,occupants
111,6.43395E+08,structural
112,2.83021E+00,occupants
112,1.84611E+08,structural
113,1.88473E+02,occupants
113,4.45995E+09,structural
114,5.91838E+02,occupants
114,9.88629E+09,structural
115,5.63592E+01,occupants
115,1.72538E+09,structural
116,1.45341E+01,occupants
116,6.99535E+08,structural
117,2.83021E+00,occupants
117,2.02137E+08,structural
118,1.88473E+02,occupants
118,4.25267E+09,structural
