#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:33:20', checksum=1653129626"
event_id,loss,loss_type
0,3.63557E+02,occupants
0,1.21427E+09,structural
1,3.97470E+02,occupants
1,1.44294E+09,structural
2,3.31032E+02,occupants
2,1.03530E+09,structural
3,1.67710E+02,occupants
3,6.77977E+08,structural
4,1.88256E+02,occupants
4,9.11013E+08,structural
5,1.49555E+02,occupants
5,8.29008E+08,structural
6,6.91433E+01,occupants
6,3.37928E+08,structural
7,7.89604E+01,occupants
7,3.52171E+08,structural
8,6.01916E+01,occupants
8,5.12296E+08,structural
9,6.51653E+02,occupants
9,2.03577E+09,structural
10,6.88816E+02,occupants
10,2.08325E+09,structural
11,6.14022E+02,occupants
11,2.37936E+09,structural
12,9.56307E+02,occupants
12,2.93839E+09,structural
13,9.80236E+02,occupants
13,2.93784E+09,structural
14,9.29863E+02,occupants
14,3.24816E+09,structural
15,1.40926E+02,occupants
15,6.94974E+08,structural
16,1.60425E+02,occupants
16,6.84187E+08,structural
17,1.22682E+02,occupants
17,6.38395E+08,structural
18,3.12015E+01,occupants
18,1.67251E+08,structural
19,3.82558E+01,occupants
19,2.28293E+08,structural
20,2.50703E+01,occupants
20,2.19363E+08,structural
21,2.56287E+00,occupants
21,7.71439E+07,structural
22,3.44877E+00,occupants
22,7.21845E+07,structural
23,1.85390E+00,occupants
23,5.49912E+07,structural
24,3.47897E+02,occupants
24,1.39907E+09,structural
25,3.73252E+02,occupants
25,1.24764E+09,structural
26,3.23311E+02,occupants
26,1.06861E+09,structural
27,6.17030E+02,occupants
27,1.61636E+09,structural
28,6.36035E+02,occupants
28,2.15720E+09,structural
29,5.97682E+02,occupants
29,1.82151E+09,structural
30,1.73174E+02,occupants
30,8.00820E+08,structural
31,1.92265E+02,occupants
31,5.40793E+08,structural
32,1.55133E+02,occupants
32,6.18631E+08,structural
33,7.92044E+01,occupants
33,4.41350E+08,structural
34,9.12000E+01,occupants
34,4.67167E+08,structural
35,6.83064E+01,occupants
35,3.47753E+08,structural
36,2.52837E+01,occupants
36,2.37386E+08,structural
37,3.05040E+01,occupants
37,1.98244E+08,structural
38,2.07002E+01,occupants
38,1.21775E+08,structural
39,3.17699E+02,occupants
39,1.21934E+09,structural
40,3.43427E+02,occupants
40,1.49592E+09,structural
41,2.93189E+02,occupants
41,1.20891E+09,structural
42,5.62604E+02,occupants
42,2.00726E+09,structural
43,5.95280E+02,occupants
43,1.86322E+09,structural
44,5.30424E+02,occupants
44,2.38521E+09,structural
45,7.52479E+01,occupants
45,3.80434E+08,structural
46,8.98088E+01,occupants
46,4.60799E+08,structural
47,6.23473E+01,occupants
47,4.69406E+08,structural
48,1.81502E+01,occupants
48,1.48965E+08,structural
49,2.25676E+01,occupants
49,1.53342E+08,structural
50,1.43484E+01,occupants
50,1.93575E+08,structural
51,3.37426E+00,occupants
51,4.80496E+07,structural
52,4.40680E+00,occupants
52,4.86253E+07,structural
53,2.56079E+00,occupants
53,3.19299E+07,structural
54,2.42460E+02,occupants
54,6.73169E+08,structural
55,2.73889E+02,occupants
55,1.29575E+09,structural
56,2.12745E+02,occupants
56,1.04190E+09,structural
57,5.59378E+02,occupants
57,1.99466E+09,structural
58,5.97515E+02,occupants
58,1.90727E+09,structural
59,5.21382E+02,occupants
59,1.86132E+09,structural
60,1.39440E+02,occupants
60,9.02727E+08,structural
61,1.55663E+02,occupants
61,8.30100E+08,structural
62,1.24116E+02,occupants
62,8.32342E+08,structural
63,6.34564E+01,occupants
63,3.51194E+08,structural
64,7.36491E+01,occupants
64,5.64468E+08,structural
65,5.42234E+01,occupants
65,2.21912E+08,structural
66,1.99117E+01,occupants
66,2.82168E+08,structural
67,2.42390E+01,occupants
67,1.21893E+08,structural
68,1.61065E+01,occupants
68,8.96944E+07,structural
69,2.49634E+02,occupants
69,1.39116E+09,structural
70,2.70047E+02,occupants
70,1.19733E+09,structural
71,2.29858E+02,occupants
71,1.23332E+09,structural
72,4.05189E+02,occupants
72,1.83015E+09,structural
73,4.29137E+02,occupants
73,1.74379E+09,structural
74,3.82546E+02,occupants
74,1.85257E+09,structural
75,4.74153E+01,occupants
75,5.27310E+08,structural
76,5.30378E+01,occupants
76,4.74433E+08,structural
77,4.22959E+01,occupants
77,5.39012E+08,structural
78,2.01417E+01,occupants
78,1.67831E+08,structural
79,2.30081E+01,occupants
79,1.44165E+08,structural
80,1.75885E+01,occupants
80,2.64719E+08,structural
81,5.99607E+00,occupants
81,7.12935E+07,structural
82,7.14742E+00,occupants
82,8.86228E+07,structural
83,5.04475E+00,occupants
83,8.31073E+07,structural
84,1.08158E+02,occupants
84,9.96036E+08,structural
85,1.21135E+02,occupants
85,7.26798E+08,structural
86,9.62990E+01,occupants
86,7.49305E+08,structural
87,2.99198E+02,occupants
87,1.77445E+09,structural
88,3.28865E+02,occupants
88,1.97734E+09,structural
89,2.71873E+02,occupants
89,1.77536E+09,structural
90,4.26790E+02,occupants
90,1.55262E+09,structural
91,4.57054E+02,occupants
91,1.25782E+09,structural
92,3.96430E+02,occupants
92,1.25796E+09,structural
93,1.91246E+02,occupants
93,7.04590E+08,structural
94,2.16335E+02,occupants
94,7.31335E+08,structural
95,1.67854E+02,occupants
95,5.72936E+08,structural
96,4.22183E+01,occupants
96,2.83923E+08,structural
97,5.12450E+01,occupants
97,4.28216E+08,structural
98,3.41378E+01,occupants
98,2.86405E+08,structural
99,6.48470E+02,occupants
99,1.64287E+09,structural
100,6.71921E+02,occupants
100,2.03998E+09,structural
101,6.24875E+02,occupants
101,1.82333E+09,structural
102,8.51051E+02,occupants
102,2.62980E+09,structural
103,8.66150E+02,occupants
103,2.47761E+09,structural
104,8.35348E+02,occupants
104,2.50816E+09,structural
105,6.00082E+01,occupants
105,6.22595E+08,structural
106,7.19849E+01,occupants
106,6.78954E+08,structural
107,4.96981E+01,occupants
107,4.63261E+08,structural
108,1.07955E+01,occupants
108,2.03762E+08,structural
109,1.35392E+01,occupants
109,1.95418E+08,structural
110,8.55402E+00,occupants
110,1.69176E+08,structural
111,1.35362E+00,occupants
111,4.54136E+07,structural
112,1.75905E+00,occupants
112,7.24584E+07,structural
113,1.06025E+00,occupants
113,2.71707E+07,structural
114,2.21949E+02,occupants
114,9.95089E+08,structural
115,2.50471E+02,occupants
115,8.08459E+08,structural
116,1.95555E+02,occupants
116,1.24410E+09,structural
117,5.50585E+02,occupants
117,2.06021E+09,structural
118,5.86835E+02,occupants
118,2.48731E+09,structural
119,5.15533E+02,occupants
119,1.90044E+09,structural
120,3.21932E+02,occupants
120,1.34390E+09,structural
121,3.53186E+02,occupants
121,1.16995E+09,structural
122,2.92453E+02,occupants
122,1.07716E+09,structural
123,1.59072E+02,occupants
123,5.62363E+08,structural
124,1.78526E+02,occupants
124,6.61484E+08,structural
125,1.41192E+02,occupants
125,9.32059E+08,structural
126,6.34825E+01,occupants
126,5.01839E+08,structural
127,7.35242E+01,occupants
127,4.45160E+08,structural
128,5.44775E+01,occupants
128,2.91869E+08,structural
129,5.84353E+02,occupants
129,1.94847E+09,structural
130,6.23558E+02,occupants
130,2.03283E+09,structural
131,5.45463E+02,occupants
131,1.84709E+09,structural
132,9.07890E+02,occupants
132,3.18628E+09,structural
133,9.36315E+02,occupants
133,2.76519E+09,structural
134,8.78350E+02,occupants
134,3.10350E+09,structural
135,5.85013E+02,occupants
135,1.77056E+09,structural
136,6.17386E+02,occupants
136,1.98017E+09,structural
137,5.52771E+02,occupants
137,1.69574E+09,structural
138,3.19479E+02,occupants
138,8.54680E+08,structural
139,3.52534E+02,occupants
139,1.17150E+09,structural
140,2.88006E+02,occupants
140,1.31439E+09,structural
141,1.04484E+02,occupants
141,3.86551E+08,structural
142,1.21669E+02,occupants
142,8.75962E+08,structural
143,8.89821E+01,occupants
143,5.12693E+08,structural
144,7.88754E+02,occupants
144,2.46737E+09,structural
145,8.09278E+02,occupants
145,2.62850E+09,structural
146,7.67844E+02,occupants
146,2.53197E+09,structural
147,9.22645E+02,occupants
147,2.93507E+09,structural
148,9.34650E+02,occupants
148,3.01724E+09,structural
149,9.10717E+02,occupants
149,3.02592E+09,structural
150,1.88715E+02,occupants
150,4.68916E+08,structural
151,2.11873E+02,occupants
151,8.80479E+08,structural
152,1.66855E+02,occupants
152,4.87148E+08,structural
153,4.92831E+01,occupants
153,4.13527E+08,structural
154,5.95577E+01,occupants
154,3.24388E+08,structural
155,4.01519E+01,occupants
155,3.86686E+08,structural
156,4.71362E+00,occupants
156,3.95884E+07,structural
157,6.40594E+00,occupants
157,1.27141E+08,structural
158,3.55177E+00,occupants
158,8.12661E+07,structural
159,4.05732E+02,occupants
159,8.34480E+08,structural
