#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:33:54', checksum=1653129626"
event_id,loss,loss_type
0,1.04200E-04,occupants
0,1.81782E+04,structural
1,6.64356E-06,occupants
1,1.35380E+04,structural
2,1.00824E-03,occupants
2,1.64369E+05,structural
3,5.29963E-06,occupants
4,1.86668E-07,occupants
5,8.75853E-05,occupants
5,3.41189E+03,structural
6,9.09239E-08,occupants
8,2.77919E-06,occupants
9,4.80319E-03,occupants
9,1.46494E+05,structural
10,1.25968E-04,occupants
10,3.45710E+03,structural
11,1.70838E-02,occupants
11,3.11318E+06,structural
12,5.16303E-02,occupants
12,2.45823E+06,structural
13,1.90695E-02,occupants
13,4.19230E+05,structural
14,1.43303E-01,occupants
14,9.82362E+07,structural
17,2.10021E-04,occupants
17,1.55681E+04,structural
20,1.21350E-10,occupants
24,2.71964E-04,occupants
24,5.39218E+06,structural
26,2.71321E-02,occupants
26,2.39016E+07,structural
27,5.37571E-02,occupants
27,2.12142E+07,structural
28,7.45910E-04,occupants
28,1.50059E+06,structural
29,1.78167E+00,occupants
29,1.12082E+08,structural
32,6.72327E-04,occupants
32,1.37371E+05,structural
39,1.95588E-03,occupants
39,1.32879E+06,structural
40,4.17579E-04,occupants
40,2.05887E+06,structural
41,8.44439E-03,occupants
41,2.79120E+06,structural
42,2.81201E-02,occupants
42,1.63427E+06,structural
43,7.25757E-03,occupants
43,1.38747E+05,structural
44,9.60831E-02,occupants
44,2.01096E+07,structural
47,1.13460E-05,occupants
47,3.95056E+05,structural
54,4.37869E-05,occupants
54,1.36693E+05,structural
55,9.46645E-06,occupants
55,2.44546E+04,structural
56,2.21016E-04,occupants
56,3.78225E+05,structural
57,1.16171E-03,occupants
57,5.80700E+06,structural
58,2.73304E-04,occupants
58,4.71017E+05,structural
59,5.50453E-03,occupants
59,3.12309E+07,structural
71,1.78661E-02,occupants
71,1.25325E+07,structural
72,1.04222E-02,occupants
72,1.49310E+07,structural
73,1.28339E-05,occupants
74,4.14999E-01,occupants
74,2.52753E+08,structural
77,2.20591E-06,occupants
77,3.85874E+05,structural
84,7.08637E-07,occupants
84,1.82268E+04,structural
86,7.81320E-04,occupants
86,1.61885E+06,structural
87,1.60800E-03,occupants
87,5.99170E+06,structural
88,5.77507E-07,occupants
88,2.00443E+04,structural
89,1.08505E-01,occupants
89,2.86313E+07,structural
90,1.71882E-09,occupants
92,7.94620E-04,occupants
92,2.92401E+06,structural
95,3.39963E-05,occupants
95,7.71721E+06,structural
99,7.80737E-03,occupants
99,1.37046E+07,structural
100,5.28156E-06,occupants
100,5.51006E+04,structural
