#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T16:34:56', checksum=1653129626"
event_id,loss,loss_type
0,2.83887E+01,occupants
0,7.25890E+07,structural
1,3.23088E+01,occupants
1,5.91300E+07,structural
2,2.50817E+01,occupants
2,8.52438E+07,structural
3,6.29225E+00,occupants
3,1.14583E+08,structural
4,7.66166E+00,occupants
4,2.24780E+07,structural
5,5.28162E+00,occupants
5,1.10868E+07,structural
6,7.14330E-01,occupants
6,7.83446E+06,structural
7,9.08865E-01,occupants
7,2.63201E+07,structural
8,5.56575E-01,occupants
8,1.47345E+07,structural
9,8.37632E+01,occupants
9,1.65870E+08,structural
10,9.05282E+01,occupants
10,2.34005E+08,structural
11,8.02560E+01,occupants
11,2.16879E+08,structural
12,1.94180E+02,occupants
12,5.59618E+08,structural
13,1.94406E+02,occupants
13,5.05193E+08,structural
14,2.14483E+02,occupants
14,6.09358E+08,structural
15,1.05696E+02,occupants
15,1.93225E+08,structural
16,1.14111E+02,occupants
16,3.23418E+08,structural
17,9.79100E+01,occupants
17,3.06158E+08,structural
18,4.48145E+01,occupants
18,1.01256E+08,structural
19,5.05237E+01,occupants
19,7.73571E+07,structural
20,3.96034E+01,occupants
20,1.18376E+08,structural
21,1.07888E+01,occupants
21,4.84551E+07,structural
22,1.28182E+01,occupants
22,7.06527E+07,structural
23,8.87539E+00,occupants
23,8.06818E+07,structural
24,1.83443E+02,occupants
24,3.58442E+08,structural
25,1.90787E+02,occupants
25,4.77541E+08,structural
26,1.77315E+02,occupants
26,4.79417E+08,structural
27,2.77400E+02,occupants
27,7.43696E+08,structural
28,2.77617E+02,occupants
28,5.44665E+08,structural
29,2.85949E+02,occupants
29,5.67737E+08,structural
30,1.99192E+01,occupants
30,1.09059E+08,structural
31,2.28727E+01,occupants
31,5.87597E+07,structural
32,1.71022E+01,occupants
32,1.52171E+08,structural
33,3.87957E+00,occupants
33,2.30682E+07,structural
34,4.78381E+00,occupants
34,2.46022E+07,structural
35,3.23796E+00,occupants
35,2.38047E+07,structural
36,3.90715E-01,occupants
36,2.62628E+07,structural
37,4.98322E-01,occupants
37,7.08623E+06,structural
38,3.01973E-01,occupants
38,1.22624E+07,structural
39,6.52957E+01,occupants
39,2.07240E+08,structural
40,7.19161E+01,occupants
40,3.77025E+08,structural
41,5.92687E+01,occupants
41,2.94026E+08,structural
42,1.59622E+02,occupants
42,4.51879E+08,structural
43,1.68192E+02,occupants
43,3.05065E+08,structural
44,1.51633E+02,occupants
44,3.36373E+08,structural
45,3.00260E+01,occupants
45,1.22870E+08,structural
46,3.47124E+01,occupants
46,2.48765E+08,structural
47,2.59999E+01,occupants
47,1.07556E+08,structural
48,7.64383E+00,occupants
48,9.01093E+07,structural
49,9.13649E+00,occupants
49,1.01610E+08,structural
50,6.30375E+00,occupants
50,5.34206E+07,structural
51,1.18247E+00,occupants
51,1.83720E+06,structural
52,1.49823E+00,occupants
52,1.07319E+07,structural
53,9.45749E-01,occupants
53,2.70696E+07,structural
54,8.38922E+01,occupants
54,2.22063E+08,structural
55,9.25148E+01,occupants
55,2.48217E+08,structural
56,7.56560E+01,occupants
56,2.10246E+08,structural
57,1.80920E+02,occupants
57,4.95035E+08,structural
58,1.91941E+02,occupants
58,4.87278E+08,structural
59,1.70336E+02,occupants
59,4.27971E+08,structural
60,1.11536E+01,occupants
60,3.22998E+07,structural
61,1.25886E+01,occupants
61,4.22554E+07,structural
62,9.86119E+00,occupants
62,7.02831E+07,structural
63,3.78929E+00,occupants
63,1.47469E+07,structural
64,4.43739E+00,occupants
64,9.85439E+07,structural
65,3.23872E+00,occupants
65,2.40780E+07,structural
66,8.87918E-01,occupants
66,2.60209E+07,structural
67,1.08537E+00,occupants
67,3.51283E+07,structural
68,7.23685E-01,occupants
68,4.13953E+06,structural
69,2.78983E+01,occupants
69,1.24635E+08,structural
70,3.06510E+01,occupants
70,1.03551E+08,structural
