#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T17:44:47', checksum=3037842595"
event_id,loss,loss_type
0,3.32978E+08,structural
1,5.35572E+08,structural
2,2.34411E+08,structural
3,5.14208E+08,structural
4,3.73267E+08,structural
5,4.28497E+08,structural
6,8.15465E+08,structural
7,1.32329E+08,structural
8,4.84607E+08,structural
9,2.29449E+08,structural
10,1.72450E+08,structural
11,3.30115E+08,structural
12,4.28332E+08,structural
13,3.83652E+08,structural
14,1.90688E+08,structural
15,2.31423E+08,structural
16,2.31627E+08,structural
17,6.01529E+08,structural
18,3.94223E+08,structural
19,8.93615E+08,structural
20,2.61202E+08,structural
21,8.66160E+08,structural
22,1.56899E+08,structural
23,4.47667E+08,structural
24,2.90503E+08,structural
25,2.61528E+08,structural
26,2.77915E+08,structural
27,5.04401E+08,structural
28,6.82719E+08,structural
29,7.91085E+08,structural
30,6.69332E+08,structural
31,3.04525E+08,structural
32,1.93400E+08,structural
33,3.76627E+08,structural
34,6.02526E+08,structural
35,5.40174E+08,structural
36,3.60811E+08,structural
37,5.61086E+08,structural
38,6.53101E+08,structural
39,7.48022E+08,structural
40,7.04763E+08,structural
41,3.54923E+08,structural
42,6.12224E+08,structural
43,3.68197E+08,structural
44,2.43440E+08,structural
45,4.98464E+08,structural
46,6.97993E+08,structural
47,3.29263E+08,structural
48,1.42773E+08,structural
49,7.12846E+08,structural
50,3.43404E+08,structural
51,3.37980E+08,structural
52,3.17369E+08,structural
53,5.00503E+08,structural
54,6.19872E+08,structural
55,3.96223E+08,structural
56,6.08082E+08,structural
57,7.95617E+08,structural
58,1.97607E+08,structural
59,3.01336E+08,structural
60,2.85971E+08,structural
61,6.71068E+08,structural
62,2.66190E+08,structural
63,3.47761E+08,structural
64,5.61664E+08,structural
65,4.16545E+08,structural
66,3.85596E+08,structural
67,4.22582E+08,structural
68,6.36350E+08,structural
69,5.97750E+08,structural
70,6.42269E+08,structural
71,2.63779E+08,structural
72,3.50234E+08,structural
73,4.82375E+08,structural
74,5.00889E+08,structural
75,5.10101E+08,structural
76,5.89630E+08,structural
77,6.41500E+08,structural
78,7.74060E+08,structural
79,2.24265E+08,structural
80,3.67177E+08,structural
81,2.31987E+08,structural
82,2.17360E+08,structural
83,2.81713E+08,structural
84,7.53931E+08,structural
85,6.36604E+08,structural
86,7.31660E+08,structural
87,5.43500E+08,structural
88,2.21912E+08,structural
89,2.81817E+08,structural
90,3.66289E+08,structural
91,2.26307E+08,structural
92,3.36494E+08,structural
93,7.08817E+08,structural
94,8.50709E+08,structural
95,2.95941E+08,structural
96,3.69495E+08,structural
97,3.41758E+08,structural
98,3.49908E+08,structural
99,2.77666E+08,structural
100,2.13314E+08,structural
101,5.61770E+08,structural
102,3.25033E+08,structural
103,5.00282E+08,structural
104,2.51567E+08,structural
105,3.25114E+08,structural
106,4.69211E+08,structural
107,2.67232E+08,structural
108,4.16805E+08,structural
109,4.10602E+08,structural
110,2.78280E+08,structural
111,3.20418E+08,structural
112,1.98362E+08,structural
113,2.30049E+08,structural
114,2.54596E+08,structural
115,4.34083E+08,structural
116,2.68119E+08,structural
117,2.84770E+08,structural
118,2.29285E+08,structural
119,4.94883E+08,structural
120,6.37141E+08,structural
121,4.00023E+08,structural
122,3.58723E+08,structural
123,3.41438E+08,structural
124,3.92638E+08,structural
125,5.75242E+08,structural
126,9.58754E+08,structural
127,2.95878E+08,structural
128,2.99390E+08,structural
129,4.03354E+08,structural
130,4.75526E+08,structural
131,2.15024E+08,structural
132,3.90258E+08,structural
133,2.26492E+08,structural
134,6.40322E+08,structural
135,7.02470E+08,structural
136,2.58920E+08,structural
137,6.08471E+08,structural
138,5.06526E+08,structural
139,2.17892E+08,structural
140,3.94742E+08,structural
141,5.97292E+08,structural
142,4.18676E+08,structural
143,7.78470E+08,structural
144,4.68293E+08,structural
145,4.35414E+08,structural
146,7.73006E+08,structural
147,2.97978E+08,structural
148,1.80422E+08,structural
149,1.79715E+08,structural
150,3.47783E+08,structural
151,3.46948E+08,structural
152,6.18921E+08,structural
153,2.52638E+08,structural
154,3.44292E+08,structural
155,2.13439E+08,structural
156,3.57848E+08,structural
157,4.69354E+08,structural
158,2.60986E+08,structural
159,3.19467E+08,structural
160,3.36159E+08,structural
161,8.53545E+08,structural
162,4.09072E+08,structural
163,3.86741E+08,structural
164,3.85060E+08,structural
165,5.46550E+08,structural
166,3.81165E+08,structural
167,9.39875E+08,structural
168,5.81497E+08,structural
169,7.17810E+08,structural
170,4.59484E+08,structural
171,4.77794E+08,structural
172,7.69639E+08,structural
173,6.28937E+08,structural
174,5.10524E+08,structural
175,3.69473E+08,structural
176,3.06908E+08,structural
177,3.91242E+08,structural
178,3.35937E+08,structural
179,6.56116E+08,structural
180,1.95441E+08,structural
181,3.91571E+08,structural
182,3.81109E+08,structural
183,4.97195E+08,structural
184,2.89238E+08,structural
185,3.47181E+08,structural
186,4.82225E+08,structural
187,3.44960E+08,structural
188,2.89688E+08,structural
189,3.05872E+08,structural
190,5.02083E+08,structural
191,2.55587E+08,structural
192,1.78041E+08,structural
193,6.04520E+08,structural
194,3.00452E+08,structural
195,4.80330E+08,structural
196,8.88678E+08,structural
197,3.72618E+08,structural
198,8.43755E+08,structural
199,2.07787E+08,structural
