#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T17:45:40', checksum=3403975594"
event_id,loss,loss_type
0,1.89453E+09,structural
1,3.72876E+09,structural
2,1.18632E+09,structural
3,1.40329E+09,structural
4,2.18233E+09,structural
5,2.15469E+09,structural
6,3.23144E+09,structural
7,2.40309E+09,structural
8,2.05995E+09,structural
9,1.87679E+09,structural
10,1.92685E+09,structural
11,2.33812E+09,structural
12,1.39622E+09,structural
13,2.05439E+09,structural
14,1.45669E+09,structural
15,3.69733E+09,structural
16,1.20120E+09,structural
17,1.54586E+09,structural
18,9.50704E+08,structural
19,2.95756E+09,structural
20,1.16602E+09,structural
21,1.95077E+09,structural
22,2.23423E+09,structural
23,2.43631E+09,structural
24,2.02086E+09,structural
25,1.45127E+09,structural
26,1.55589E+09,structural
27,8.23708E+09,structural
28,2.25416E+09,structural
29,1.59014E+09,structural
30,1.29817E+09,structural
31,2.65169E+09,structural
32,1.82963E+09,structural
33,2.29615E+09,structural
34,1.27420E+09,structural
35,2.96859E+09,structural
36,1.34441E+09,structural
37,1.70309E+09,structural
38,6.03021E+09,structural
39,1.30463E+09,structural
40,1.30300E+09,structural
41,2.20939E+09,structural
42,5.37338E+09,structural
43,9.74904E+08,structural
44,8.98242E+08,structural
45,1.78011E+09,structural
46,1.77446E+09,structural
47,1.75549E+09,structural
48,9.35829E+08,structural
49,9.11686E+08,structural
50,1.28609E+09,structural
51,1.88389E+09,structural
52,1.72879E+09,structural
53,7.36748E+09,structural
54,1.36251E+09,structural
55,1.36082E+09,structural
56,2.29222E+09,structural
57,2.06652E+09,structural
58,2.43023E+09,structural
59,1.34933E+09,structural
60,2.62677E+09,structural
61,4.52515E+09,structural
62,1.74051E+09,structural
63,9.39375E+08,structural
64,1.46295E+09,structural
65,2.24420E+09,structural
66,1.71360E+09,structural
67,3.20078E+09,structural
68,1.44494E+09,structural
69,1.75542E+09,structural
70,1.78313E+09,structural
71,2.48413E+09,structural
72,1.74321E+09,structural
73,1.62513E+09,structural
74,5.43898E+09,structural
75,1.80698E+09,structural
76,1.07536E+09,structural
77,2.78651E+09,structural
78,9.47272E+08,structural
79,1.25346E+09,structural
80,1.40220E+09,structural
81,3.03303E+09,structural
82,1.46406E+09,structural
83,2.13439E+09,structural
84,2.07601E+09,structural
85,1.22932E+09,structural
86,1.43217E+09,structural
87,1.73114E+09,structural
88,1.84868E+09,structural
89,1.38978E+09,structural
90,1.64017E+09,structural
91,1.71451E+09,structural
92,1.22849E+09,structural
93,1.88682E+09,structural
94,2.81512E+09,structural
95,1.29571E+09,structural
96,1.82159E+09,structural
97,2.30851E+09,structural
98,8.69787E+08,structural
99,2.42760E+09,structural
100,2.69211E+09,structural
101,2.64507E+09,structural
102,3.04812E+09,structural
103,1.34079E+09,structural
104,8.70733E+09,structural
105,1.42225E+09,structural
106,1.63508E+09,structural
107,1.89511E+09,structural
108,1.07471E+10,structural
109,1.49181E+09,structural
110,1.18688E+09,structural
111,2.06061E+09,structural
112,2.99272E+09,structural
113,1.56589E+09,structural
114,8.05834E+08,structural
115,1.80228E+09,structural
116,1.90910E+09,structural
117,2.13388E+09,structural
118,1.57274E+09,structural
119,7.46516E+09,structural
120,9.34935E+08,structural
121,4.06726E+09,structural
122,1.61030E+09,structural
123,2.12490E+09,structural
124,1.61222E+09,structural
125,1.20487E+09,structural
126,2.83701E+09,structural
127,2.67057E+09,structural
128,1.88637E+09,structural
129,1.81593E+09,structural
130,1.12192E+09,structural
131,1.74924E+09,structural
132,1.89994E+09,structural
133,1.58421E+09,structural
134,1.94684E+09,structural
135,4.53302E+09,structural
136,1.34641E+09,structural
137,3.89965E+09,structural
138,1.67317E+09,structural
139,1.50707E+09,structural
140,1.58589E+09,structural
141,1.27924E+09,structural
142,1.62652E+09,structural
143,3.38717E+09,structural
144,1.31700E+09,structural
145,5.09230E+09,structural
146,8.91865E+09,structural
147,1.92757E+09,structural
148,4.83724E+09,structural
149,1.79279E+09,structural
150,2.36926E+09,structural
151,1.81351E+09,structural
152,2.29174E+09,structural
153,1.32463E+09,structural
154,1.42567E+09,structural
155,4.08234E+09,structural
156,3.28112E+09,structural
157,1.29774E+09,structural
158,1.35000E+09,structural
159,1.79963E+09,structural
160,1.37154E+09,structural
161,1.62060E+09,structural
162,1.55157E+09,structural
163,9.95826E+08,structural
164,1.22839E+09,structural
165,1.88601E+09,structural
166,1.30119E+09,structural
167,1.53550E+09,structural
168,1.95715E+09,structural
169,1.69288E+09,structural
170,2.00905E+09,structural
171,2.01537E+09,structural
172,9.06566E+09,structural
173,9.58965E+08,structural
174,1.43992E+09,structural
175,1.34410E+09,structural
176,1.57561E+09,structural
177,1.70137E+09,structural
178,1.99091E+09,structural
179,3.18127E+09,structural
180,4.66112E+09,structural
181,2.11240E+09,structural
182,2.28644E+09,structural
183,1.27472E+09,structural
184,1.66702E+09,structural
185,1.67317E+09,structural
186,1.91460E+09,structural
187,1.26275E+09,structural
188,1.00130E+09,structural
189,2.23653E+09,structural
190,2.09055E+09,structural
191,1.57744E+09,structural
192,2.67054E+09,structural
193,1.51105E+09,structural
194,2.46813E+09,structural
195,2.13629E+09,structural
196,1.15921E+10,structural
197,2.41929E+09,structural
198,2.06488E+09,structural
199,3.67136E+09,structural
