#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T17:58:11', checksum=2795773991"
event_id,loss,loss_type
0,1.05076E+09,structural
1,5.02336E+08,structural
2,4.37687E+08,structural
3,5.40613E+08,structural
4,7.48776E+08,structural
5,5.83744E+08,structural
6,1.32510E+09,structural
7,5.54816E+08,structural
8,7.08593E+08,structural
9,9.28012E+08,structural
10,2.21339E+08,structural
11,5.12262E+08,structural
12,1.08416E+09,structural
13,3.28919E+08,structural
14,8.82720E+08,structural
15,1.47615E+09,structural
16,6.41387E+08,structural
17,1.28365E+09,structural
18,5.63552E+08,structural
19,3.41656E+08,structural
20,8.25612E+08,structural
21,5.30994E+08,structural
22,3.72994E+08,structural
23,1.11297E+09,structural
24,7.03331E+08,structural
25,7.37638E+08,structural
26,3.44255E+08,structural
27,6.56890E+08,structural
28,1.47806E+09,structural
29,8.62149E+08,structural
30,1.95196E+09,structural
31,1.32182E+09,structural
32,1.55285E+09,structural
33,4.13083E+08,structural
34,4.62625E+08,structural
35,1.53969E+09,structural
36,9.16521E+08,structural
37,7.39771E+08,structural
38,1.13472E+09,structural
39,1.08211E+09,structural
40,7.22834E+08,structural
41,4.62265E+08,structural
42,9.63419E+08,structural
43,3.70426E+08,structural
44,8.33565E+08,structural
45,6.31103E+08,structural
46,5.18500E+08,structural
47,1.19149E+09,structural
48,7.04774E+08,structural
49,6.28795E+08,structural
50,4.30179E+08,structural
51,7.98117E+08,structural
52,1.53589E+09,structural
53,1.08024E+09,structural
54,4.16715E+08,structural
55,3.98445E+08,structural
56,1.09765E+09,structural
57,7.40054E+08,structural
58,3.22271E+08,structural
59,3.82602E+08,structural
60,3.77871E+08,structural
61,4.47467E+08,structural
62,4.86458E+08,structural
63,1.13027E+09,structural
64,9.47695E+08,structural
65,6.74499E+08,structural
66,1.44158E+09,structural
67,9.98413E+08,structural
68,4.59861E+08,structural
69,4.42577E+08,structural
70,8.80743E+08,structural
71,3.75157E+08,structural
72,1.37079E+09,structural
73,3.36213E+08,structural
74,1.02661E+09,structural
75,3.13326E+08,structural
76,3.57501E+08,structural
77,4.71349E+08,structural
78,3.26424E+08,structural
79,1.23860E+09,structural
80,7.82973E+08,structural
81,1.39730E+09,structural
82,4.87488E+08,structural
83,2.83301E+08,structural
84,1.03644E+09,structural
85,5.36850E+08,structural
86,1.15291E+09,structural
87,1.51650E+09,structural
88,1.15556E+09,structural
89,8.68671E+08,structural
90,9.56569E+08,structural
91,5.99077E+08,structural
92,1.18296E+09,structural
93,1.18009E+09,structural
94,6.66942E+08,structural
95,4.14272E+08,structural
96,8.68170E+08,structural
97,1.16269E+09,structural
98,1.07518E+09,structural
99,7.73736E+08,structural
100,3.93389E+08,structural
101,7.45579E+08,structural
102,2.44803E+08,structural
103,6.12126E+08,structural
104,6.67021E+08,structural
105,6.80274E+08,structural
106,1.09783E+09,structural
107,2.56441E+08,structural
108,3.48079E+08,structural
109,2.72006E+08,structural
110,7.46100E+08,structural
111,1.14872E+09,structural
112,1.25968E+09,structural
113,6.06899E+08,structural
114,1.32552E+09,structural
115,1.05963E+09,structural
116,5.16650E+08,structural
117,5.05980E+08,structural
118,9.62558E+08,structural
119,1.45987E+09,structural
120,9.94342E+08,structural
121,5.17429E+08,structural
122,3.46974E+08,structural
123,6.90382E+08,structural
124,6.61842E+08,structural
125,3.48950E+08,structural
126,8.53486E+08,structural
127,3.51843E+08,structural
128,3.87848E+08,structural
129,1.06631E+09,structural
130,8.32860E+08,structural
131,5.08481E+08,structural
132,9.07855E+08,structural
133,2.25971E+08,structural
134,5.59217E+08,structural
135,4.43065E+08,structural
136,5.96828E+08,structural
137,6.22058E+08,structural
138,9.96771E+08,structural
139,8.19500E+08,structural
140,3.47535E+08,structural
141,1.41373E+09,structural
142,1.80209E+09,structural
143,1.08107E+09,structural
144,1.17984E+09,structural
145,9.09168E+08,structural
146,1.24997E+09,structural
147,5.04069E+08,structural
148,1.40864E+09,structural
149,8.88972E+08,structural
150,5.88107E+08,structural
151,6.38343E+08,structural
152,5.14498E+08,structural
153,3.91634E+08,structural
154,4.98528E+08,structural
155,1.20763E+09,structural
156,4.17230E+08,structural
157,6.50547E+08,structural
158,1.10600E+09,structural
159,6.00712E+08,structural
160,5.81631E+08,structural
161,7.34932E+08,structural
162,5.02782E+08,structural
163,7.92767E+08,structural
164,4.32622E+08,structural
165,2.84011E+08,structural
166,6.37394E+08,structural
167,3.71934E+08,structural
168,1.59133E+09,structural
169,6.75226E+08,structural
170,5.97009E+08,structural
171,5.62577E+08,structural
172,6.28147E+08,structural
173,8.96994E+08,structural
174,7.05620E+08,structural
175,6.65225E+08,structural
176,1.25477E+09,structural
177,1.05961E+09,structural
178,6.11250E+08,structural
179,6.78793E+08,structural
180,5.68667E+08,structural
181,7.25431E+08,structural
182,3.04860E+08,structural
183,3.65517E+08,structural
184,9.34604E+08,structural
185,6.26162E+08,structural
186,8.56870E+08,structural
187,3.36413E+08,structural
188,3.22912E+08,structural
189,1.06384E+09,structural
190,3.67980E+08,structural
191,1.15424E+09,structural
192,3.25684E+08,structural
193,3.49026E+08,structural
194,5.63976E+08,structural
195,3.12115E+08,structural
196,2.91822E+08,structural
197,3.93323E+08,structural
198,9.83901E+08,structural
199,2.73580E+08,structural
