#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:01:36', checksum=1916154609"
event_id,loss,loss_type
0,5.06355E+10,structural
1,3.08259E+10,structural
2,2.93324E+10,structural
3,3.54099E+10,structural
4,3.12972E+10,structural
5,4.14302E+10,structural
6,2.92589E+10,structural
7,3.27703E+10,structural
8,3.49132E+10,structural
9,2.89777E+10,structural
10,4.36589E+10,structural
11,3.07166E+10,structural
12,4.17318E+10,structural
13,3.12021E+10,structural
14,3.11399E+10,structural
15,3.46242E+10,structural
16,3.62064E+10,structural
17,3.38794E+10,structural
18,3.60152E+10,structural
19,3.70898E+10,structural
20,4.64267E+10,structural
21,4.97534E+10,structural
22,3.25405E+10,structural
23,3.05497E+10,structural
24,3.12060E+10,structural
25,4.19608E+10,structural
26,4.00406E+10,structural
27,3.12548E+10,structural
28,3.42866E+10,structural
29,2.86526E+10,structural
30,2.81255E+10,structural
31,3.88647E+10,structural
32,3.12612E+10,structural
33,4.38658E+10,structural
34,3.74000E+10,structural
35,2.72254E+10,structural
36,2.48094E+10,structural
37,4.78128E+10,structural
38,4.47934E+10,structural
39,4.20105E+10,structural
40,3.29270E+10,structural
41,4.03721E+10,structural
42,3.07853E+10,structural
43,4.02821E+10,structural
44,3.66276E+10,structural
45,3.99710E+10,structural
46,3.61061E+10,structural
47,5.28546E+10,structural
48,2.96256E+10,structural
49,3.60164E+10,structural
50,4.55313E+10,structural
51,3.10160E+10,structural
52,3.61329E+10,structural
53,3.51022E+10,structural
54,3.78757E+10,structural
55,4.31624E+10,structural
56,3.85394E+10,structural
57,3.67897E+10,structural
58,3.23876E+10,structural
59,3.21578E+10,structural
60,3.44672E+10,structural
61,3.62060E+10,structural
62,2.97435E+10,structural
63,3.29302E+10,structural
64,3.37145E+10,structural
65,3.27404E+10,structural
66,3.28762E+10,structural
67,3.18412E+10,structural
68,3.91218E+10,structural
69,5.14063E+10,structural
70,2.97345E+10,structural
71,4.16595E+10,structural
72,3.37866E+10,structural
73,4.20365E+10,structural
74,4.05010E+10,structural
75,3.51862E+10,structural
76,4.08653E+10,structural
77,3.45664E+10,structural
78,2.79736E+10,structural
79,4.20792E+10,structural
80,2.89072E+10,structural
81,3.42012E+10,structural
82,4.13326E+10,structural
83,2.97048E+10,structural
84,4.61184E+10,structural
85,2.55767E+10,structural
86,4.27003E+10,structural
87,3.29867E+10,structural
88,2.97011E+10,structural
89,4.37221E+10,structural
90,5.12098E+10,structural
91,3.47230E+10,structural
92,3.63445E+10,structural
93,4.29990E+10,structural
94,4.01502E+10,structural
95,3.38097E+10,structural
96,3.54068E+10,structural
97,5.39136E+10,structural
98,3.29977E+10,structural
99,4.36593E+10,structural
100,3.03202E+10,structural
101,3.26093E+10,structural
102,3.84087E+10,structural
103,3.14014E+10,structural
104,3.67574E+10,structural
105,3.13908E+10,structural
106,5.23244E+10,structural
107,3.08304E+10,structural
108,3.98990E+10,structural
109,6.39000E+10,structural
110,3.83433E+10,structural
111,3.04362E+10,structural
112,4.55849E+10,structural
113,2.75604E+10,structural
114,4.25762E+10,structural
115,3.79109E+10,structural
116,3.89704E+10,structural
117,3.20712E+10,structural
118,4.58528E+10,structural
119,3.51454E+10,structural
120,3.95614E+10,structural
121,4.78360E+10,structural
122,3.12099E+10,structural
123,4.10940E+10,structural
124,3.82988E+10,structural
125,3.29924E+10,structural
126,4.01730E+10,structural
127,3.05704E+10,structural
128,4.07424E+10,structural
129,4.13348E+10,structural
130,5.30575E+10,structural
131,4.44506E+10,structural
132,4.60234E+10,structural
133,2.94989E+10,structural
134,5.02617E+10,structural
135,4.36456E+10,structural
136,4.99839E+10,structural
137,4.62093E+10,structural
138,4.87698E+10,structural
139,4.10342E+10,structural
140,3.71920E+10,structural
141,4.38980E+10,structural
142,3.19076E+10,structural
143,3.73990E+10,structural
144,2.87826E+10,structural
145,2.77217E+10,structural
146,3.18052E+10,structural
147,5.56541E+10,structural
148,4.11118E+10,structural
149,4.08933E+10,structural
150,3.33030E+10,structural
151,3.25026E+10,structural
152,5.75987E+10,structural
153,3.54943E+10,structural
154,3.19420E+10,structural
155,3.05864E+10,structural
156,5.27900E+10,structural
157,2.78931E+10,structural
158,3.18280E+10,structural
159,2.83876E+10,structural
160,2.96555E+10,structural
161,5.50348E+10,structural
162,3.93506E+10,structural
163,3.29968E+10,structural
164,4.72101E+10,structural
165,3.44120E+10,structural
166,3.69576E+10,structural
167,3.56062E+10,structural
168,2.97492E+10,structural
169,5.23470E+10,structural
170,3.60191E+10,structural
171,4.46042E+10,structural
172,3.67641E+10,structural
173,3.05687E+10,structural
174,3.30645E+10,structural
175,4.31935E+10,structural
176,2.93970E+10,structural
177,4.51030E+10,structural
178,3.95030E+10,structural
179,2.65365E+10,structural
180,3.25950E+10,structural
181,3.21898E+10,structural
182,3.16413E+10,structural
183,2.78112E+10,structural
184,3.17610E+10,structural
185,3.77976E+10,structural
186,2.90109E+10,structural
187,2.15522E+10,structural
188,3.58856E+10,structural
189,3.90327E+10,structural
190,3.39886E+10,structural
191,4.60509E+10,structural
192,3.46826E+10,structural
193,5.52798E+10,structural
194,3.58827E+10,structural
195,3.37049E+10,structural
196,3.92848E+10,structural
197,3.93954E+10,structural
198,2.90985E+10,structural
199,4.92704E+10,structural
