#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:06:44', checksum=2241670324"
event_id,loss,loss_type
0,2.61632E+07,structural
1,1.40843E+07,structural
2,2.94130E+07,structural
3,1.03297E+07,structural
4,1.07655E+07,structural
5,1.64380E+07,structural
6,1.46711E+07,structural
7,1.33154E+07,structural
8,1.46774E+07,structural
9,1.44011E+07,structural
10,1.59914E+07,structural
11,5.78168E+06,structural
12,1.34036E+07,structural
13,2.19123E+07,structural
14,1.50218E+07,structural
15,6.40744E+06,structural
16,3.11522E+07,structural
17,9.63032E+06,structural
18,7.83573E+06,structural
19,1.23616E+07,structural
20,1.71706E+07,structural
21,7.08555E+06,structural
22,5.55885E+07,structural
23,3.06089E+07,structural
24,1.36148E+07,structural
25,3.70342E+07,structural
26,1.15606E+07,structural
27,1.21755E+07,structural
28,1.84354E+07,structural
29,7.29198E+06,structural
30,1.52067E+07,structural
31,2.49344E+07,structural
32,9.03544E+06,structural
33,1.33209E+07,structural
34,3.13941E+07,structural
35,1.37616E+07,structural
36,4.58956E+06,structural
37,4.00368E+07,structural
38,1.01586E+07,structural
39,2.37889E+07,structural
40,1.83062E+07,structural
41,2.12639E+07,structural
42,6.83682E+06,structural
43,3.06855E+07,structural
44,4.01485E+07,structural
45,1.90566E+07,structural
46,1.70952E+07,structural
47,1.36597E+07,structural
48,1.76555E+07,structural
49,1.99370E+07,structural
50,9.75682E+06,structural
51,1.54727E+07,structural
52,1.60953E+07,structural
53,1.33947E+07,structural
54,9.40531E+06,structural
55,3.52989E+07,structural
56,2.95474E+07,structural
57,4.35186E+07,structural
58,1.04685E+07,structural
59,7.95473E+07,structural
60,1.72008E+07,structural
61,1.96369E+07,structural
62,1.37421E+07,structural
63,9.02978E+06,structural
64,8.78348E+06,structural
65,3.97174E+07,structural
66,1.84754E+07,structural
67,1.03442E+07,structural
68,7.28126E+06,structural
69,9.23142E+06,structural
70,7.88444E+06,structural
71,3.70989E+07,structural
72,1.40094E+07,structural
73,1.60828E+07,structural
74,1.14441E+07,structural
75,7.50996E+06,structural
76,1.69557E+07,structural
77,1.67648E+07,structural
78,3.09367E+07,structural
79,2.11211E+07,structural
80,6.97909E+06,structural
81,3.00467E+07,structural
82,2.41689E+07,structural
83,2.12129E+07,structural
84,1.07685E+07,structural
85,1.10970E+07,structural
86,8.63739E+06,structural
87,1.98382E+07,structural
88,1.14683E+07,structural
89,1.02284E+07,structural
90,2.78987E+07,structural
91,4.16085E+07,structural
92,1.35905E+07,structural
93,5.92300E+07,structural
94,2.70255E+07,structural
95,1.28280E+07,structural
96,1.93097E+07,structural
97,7.53164E+07,structural
98,1.05494E+07,structural
99,8.75225E+06,structural
100,2.98656E+07,structural
101,1.52805E+07,structural
102,2.90109E+07,structural
103,1.38429E+07,structural
104,1.12218E+07,structural
105,1.39946E+07,structural
106,4.77034E+07,structural
107,1.20192E+07,structural
108,3.15342E+07,structural
109,5.34407E+06,structural
110,1.82175E+07,structural
111,1.16622E+07,structural
112,1.41192E+07,structural
113,2.15762E+07,structural
114,2.43228E+07,structural
115,1.63623E+07,structural
116,3.51378E+07,structural
117,1.37157E+07,structural
118,4.74421E+07,structural
119,8.04842E+06,structural
120,1.97598E+07,structural
121,3.79354E+06,structural
122,1.72472E+07,structural
123,7.22233E+06,structural
124,9.15391E+06,structural
125,2.11623E+07,structural
126,1.01198E+07,structural
127,1.11651E+07,structural
128,1.13401E+07,structural
129,9.02821E+06,structural
130,1.49735E+07,structural
131,1.53978E+07,structural
132,1.10189E+07,structural
133,1.98680E+07,structural
134,1.48700E+07,structural
135,3.85016E+07,structural
136,4.27751E+07,structural
137,6.50164E+06,structural
138,2.32610E+07,structural
139,1.23940E+07,structural
140,5.09364E+07,structural
141,1.47396E+07,structural
142,2.31443E+07,structural
143,9.59055E+06,structural
144,7.84509E+06,structural
145,1.33389E+07,structural
146,1.24289E+07,structural
147,1.34826E+07,structural
148,1.89664E+07,structural
149,9.51775E+06,structural
150,1.07415E+07,structural
151,1.19674E+07,structural
152,1.45412E+07,structural
153,6.34775E+06,structural
154,1.42027E+07,structural
155,1.31296E+07,structural
156,1.43391E+07,structural
157,2.58171E+07,structural
158,1.95401E+07,structural
159,2.48678E+07,structural
160,1.65638E+07,structural
161,2.87320E+07,structural
162,9.41127E+06,structural
163,1.22418E+07,structural
164,1.57160E+07,structural
165,1.41385E+07,structural
166,2.33566E+07,structural
167,1.65465E+07,structural
168,3.39255E+07,structural
169,1.26651E+07,structural
170,1.80297E+07,structural
171,1.26064E+07,structural
172,2.12930E+07,structural
173,1.78527E+07,structural
174,2.08618E+07,structural
175,4.39272E+07,structural
176,3.46812E+07,structural
177,1.93191E+07,structural
178,3.51405E+07,structural
179,1.66515E+07,structural
180,2.27031E+07,structural
181,2.59086E+07,structural
182,1.48358E+07,structural
183,2.89337E+07,structural
184,1.30228E+07,structural
185,9.07202E+06,structural
186,2.35685E+07,structural
187,2.90642E+07,structural
188,2.36719E+07,structural
189,1.98999E+07,structural
190,9.75939E+06,structural
191,9.28676E+06,structural
192,8.37159E+06,structural
193,2.25877E+07,structural
194,1.13593E+07,structural
195,1.46723E+07,structural
196,2.59778E+07,structural
197,7.21313E+06,structural
198,9.15678E+06,structural
199,1.68630E+07,structural
