#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:25:49', checksum=1212326147"
event_id,loss,loss_type
0,1.68657E+10,structural
1,2.14212E+10,structural
2,2.11854E+10,structural
3,2.03937E+10,structural
4,2.25486E+10,structural
5,4.32603E+10,structural
6,2.27294E+10,structural
7,2.42077E+10,structural
8,2.51263E+10,structural
9,2.08719E+10,structural
10,2.67393E+10,structural
11,2.44168E+10,structural
12,2.16520E+10,structural
13,2.22367E+10,structural
14,2.11078E+10,structural
15,2.75478E+10,structural
16,2.07758E+10,structural
17,1.62966E+10,structural
18,2.48286E+10,structural
19,1.74411E+10,structural
20,3.14463E+10,structural
21,2.50366E+10,structural
22,1.81189E+10,structural
23,2.55127E+10,structural
24,2.14597E+10,structural
25,2.51244E+10,structural
26,1.91799E+10,structural
27,2.47834E+10,structural
28,2.22396E+10,structural
29,2.34940E+10,structural
30,2.16122E+10,structural
31,3.22525E+10,structural
32,2.14265E+10,structural
33,2.93012E+10,structural
34,2.55683E+10,structural
35,3.05724E+10,structural
36,2.89966E+10,structural
37,1.89222E+10,structural
38,1.95621E+10,structural
39,2.07468E+10,structural
40,2.25245E+10,structural
41,2.50299E+10,structural
42,2.71135E+10,structural
43,2.13125E+10,structural
44,2.08383E+10,structural
45,2.28005E+10,structural
46,2.49808E+10,structural
47,1.98106E+10,structural
48,2.70936E+10,structural
49,1.91643E+10,structural
50,2.53514E+10,structural
51,2.25442E+10,structural
52,2.33561E+10,structural
53,2.20330E+10,structural
54,2.59910E+10,structural
55,2.07189E+10,structural
56,2.62808E+10,structural
57,2.42762E+10,structural
58,2.39303E+10,structural
59,2.42269E+10,structural
60,1.83452E+10,structural
61,2.45375E+10,structural
62,1.85403E+10,structural
63,2.22085E+10,structural
64,2.19727E+10,structural
65,1.99012E+10,structural
66,2.18956E+10,structural
67,2.07810E+10,structural
68,2.19937E+10,structural
69,2.08727E+10,structural
70,2.31231E+10,structural
71,1.76330E+10,structural
72,2.06681E+10,structural
73,2.79243E+10,structural
74,2.31650E+10,structural
75,1.98741E+10,structural
76,2.15354E+10,structural
77,2.00678E+10,structural
78,2.11199E+10,structural
79,1.97716E+10,structural
80,2.12711E+10,structural
81,2.32962E+10,structural
82,2.17278E+10,structural
83,2.07353E+10,structural
84,2.37336E+10,structural
85,2.52592E+10,structural
86,2.19002E+10,structural
87,2.23548E+10,structural
88,2.42051E+10,structural
89,2.28115E+10,structural
90,2.03443E+10,structural
91,2.03003E+10,structural
92,2.70763E+10,structural
93,2.13951E+10,structural
94,2.39235E+10,structural
95,2.82634E+10,structural
96,2.34212E+10,structural
97,2.45810E+10,structural
98,2.39594E+10,structural
99,2.11059E+10,structural
100,2.22782E+10,structural
101,2.16999E+10,structural
102,2.05432E+10,structural
103,2.35721E+10,structural
104,2.54407E+10,structural
105,2.59398E+10,structural
106,3.79584E+10,structural
107,1.86598E+10,structural
108,2.62409E+10,structural
109,2.53931E+10,structural
110,2.02985E+10,structural
111,3.31961E+10,structural
112,2.27381E+10,structural
113,2.78739E+10,structural
114,2.07444E+10,structural
115,1.99283E+10,structural
116,2.27817E+10,structural
117,2.07796E+10,structural
118,2.34575E+10,structural
119,2.30757E+10,structural
120,1.88918E+10,structural
121,4.60784E+10,structural
122,2.61763E+10,structural
123,2.28764E+10,structural
124,2.61234E+10,structural
125,2.45879E+10,structural
126,1.95088E+10,structural
127,2.34049E+10,structural
128,2.43717E+10,structural
129,2.23132E+10,structural
130,2.31243E+10,structural
131,2.41775E+10,structural
132,3.08668E+10,structural
133,2.55903E+10,structural
134,1.70402E+10,structural
135,2.02389E+10,structural
136,2.33190E+10,structural
137,2.13573E+10,structural
138,1.54166E+10,structural
139,1.63812E+10,structural
140,2.15716E+10,structural
141,1.89436E+10,structural
142,3.02424E+10,structural
143,2.38246E+10,structural
144,2.36999E+10,structural
145,1.90301E+10,structural
146,2.25373E+10,structural
147,2.54311E+10,structural
148,2.30694E+10,structural
149,2.13536E+10,structural
150,2.40253E+10,structural
151,1.81959E+10,structural
152,2.23574E+10,structural
153,2.26755E+10,structural
154,2.23021E+10,structural
155,3.57558E+10,structural
156,2.33555E+10,structural
157,2.15059E+10,structural
158,2.36966E+10,structural
159,2.61832E+10,structural
160,2.17349E+10,structural
161,2.39529E+10,structural
162,3.19951E+10,structural
163,2.63009E+10,structural
164,2.19130E+10,structural
165,2.20825E+10,structural
166,2.11213E+10,structural
167,2.23400E+10,structural
168,2.42011E+10,structural
169,1.99328E+10,structural
170,3.16827E+10,structural
171,4.80751E+10,structural
172,3.24330E+10,structural
173,1.96354E+10,structural
174,2.18457E+10,structural
175,2.01093E+10,structural
176,2.09411E+10,structural
177,2.01767E+10,structural
178,2.37544E+10,structural
179,2.33712E+10,structural
180,2.16417E+10,structural
181,2.18311E+10,structural
182,1.99998E+10,structural
183,1.92826E+10,structural
184,2.23275E+10,structural
185,2.38234E+10,structural
186,3.06805E+10,structural
187,1.85926E+10,structural
188,2.39163E+10,structural
189,2.83584E+10,structural
190,2.02876E+10,structural
191,3.04755E+10,structural
192,2.01251E+10,structural
193,2.90563E+10,structural
194,2.10346E+10,structural
195,4.52455E+10,structural
196,2.01925E+10,structural
197,2.06389E+10,structural
198,3.21256E+10,structural
199,2.48046E+10,structural
