#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:36:11', checksum=221778679"
event_id,loss,loss_type
0,5.51926E+08,structural
1,3.99882E+08,structural
2,5.08278E+08,structural
3,5.70907E+08,structural
4,1.33099E+09,structural
5,4.47829E+08,structural
6,7.13111E+08,structural
7,5.88216E+08,structural
8,2.76304E+08,structural
9,3.91077E+08,structural
10,9.07787E+08,structural
11,6.98407E+08,structural
12,4.67541E+08,structural
13,8.81646E+08,structural
14,3.54583E+08,structural
15,8.54556E+08,structural
16,7.03273E+08,structural
17,3.51330E+08,structural
18,6.35045E+08,structural
19,1.08702E+09,structural
20,1.14630E+09,structural
21,1.22319E+09,structural
22,1.37808E+09,structural
23,5.36856E+08,structural
24,1.39228E+09,structural
25,8.88132E+08,structural
26,4.34482E+08,structural
27,7.00802E+08,structural
28,6.86844E+08,structural
29,4.91070E+08,structural
30,3.47948E+08,structural
31,6.69908E+08,structural
32,6.19168E+08,structural
33,2.29926E+09,structural
34,9.83336E+08,structural
35,6.33279E+08,structural
36,2.14845E+09,structural
37,4.21622E+08,structural
38,4.95161E+08,structural
39,8.41732E+08,structural
40,1.18816E+09,structural
41,9.04258E+08,structural
42,4.75011E+08,structural
43,1.10191E+09,structural
44,6.32886E+08,structural
45,3.93700E+08,structural
46,5.96007E+08,structural
47,8.46963E+08,structural
48,4.55346E+08,structural
49,1.33732E+09,structural
50,1.20343E+09,structural
51,4.67547E+08,structural
52,8.80134E+08,structural
53,7.27969E+08,structural
54,1.96300E+09,structural
55,3.62494E+08,structural
56,6.98461E+08,structural
57,4.44339E+08,structural
58,6.56012E+08,structural
59,1.14263E+09,structural
60,8.99006E+08,structural
61,5.24192E+08,structural
62,3.11285E+08,structural
63,1.09880E+09,structural
64,4.68269E+08,structural
65,7.14725E+08,structural
66,5.80472E+08,structural
67,5.63305E+08,structural
68,9.06324E+08,structural
69,7.76021E+08,structural
70,5.41740E+08,structural
71,1.07538E+09,structural
72,9.30528E+08,structural
73,1.45778E+09,structural
74,6.55540E+08,structural
75,7.08960E+08,structural
76,5.29267E+08,structural
77,5.36796E+08,structural
78,6.04428E+08,structural
79,1.11537E+09,structural
80,4.97407E+08,structural
81,1.09335E+09,structural
82,1.08451E+09,structural
83,7.39124E+08,structural
84,1.08287E+09,structural
85,4.73840E+08,structural
86,1.02755E+09,structural
87,8.69317E+08,structural
88,4.54045E+08,structural
89,9.76197E+08,structural
90,4.30099E+08,structural
91,6.63576E+08,structural
92,4.64446E+08,structural
93,1.22650E+09,structural
94,6.70262E+08,structural
95,6.60831E+08,structural
96,4.59531E+08,structural
97,6.77178E+08,structural
98,1.25996E+09,structural
99,6.47121E+08,structural
100,5.11654E+08,structural
101,6.31952E+08,structural
102,5.85817E+08,structural
103,5.32660E+08,structural
104,4.56931E+08,structural
105,1.09032E+09,structural
106,5.72563E+08,structural
107,8.41280E+08,structural
108,2.17593E+09,structural
109,7.73651E+08,structural
110,6.57863E+08,structural
111,7.77659E+08,structural
112,5.08878E+08,structural
113,4.59680E+08,structural
114,3.21204E+08,structural
115,7.51776E+08,structural
116,6.00910E+08,structural
117,3.95027E+08,structural
118,4.27763E+08,structural
119,7.54355E+08,structural
120,4.19929E+08,structural
121,5.22231E+08,structural
122,5.09715E+08,structural
123,6.45006E+08,structural
124,1.29948E+09,structural
125,1.00771E+09,structural
126,8.23068E+08,structural
127,9.30207E+08,structural
128,9.28677E+08,structural
129,7.71173E+08,structural
130,1.23693E+09,structural
131,5.21514E+08,structural
132,6.03827E+08,structural
133,4.26962E+08,structural
134,4.45783E+08,structural
135,6.34367E+08,structural
136,4.95889E+08,structural
137,5.64101E+08,structural
138,5.85134E+08,structural
139,4.50662E+08,structural
140,7.09744E+08,structural
141,1.05417E+09,structural
142,5.63621E+08,structural
143,7.60820E+08,structural
144,8.26886E+08,structural
145,6.33979E+08,structural
146,1.14045E+09,structural
147,7.23820E+08,structural
148,7.57209E+08,structural
149,7.73788E+08,structural
150,5.40722E+08,structural
151,1.08635E+09,structural
152,6.24568E+08,structural
153,4.71387E+08,structural
154,8.69318E+08,structural
155,7.10363E+08,structural
156,5.22169E+08,structural
157,5.55581E+08,structural
158,4.34012E+08,structural
159,4.87893E+08,structural
160,6.15022E+08,structural
161,3.61777E+08,structural
162,7.44971E+08,structural
163,5.46847E+08,structural
164,7.47457E+08,structural
165,3.39131E+08,structural
166,1.49373E+09,structural
167,5.73966E+08,structural
168,1.80667E+09,structural
169,1.41786E+09,structural
170,7.03531E+08,structural
171,5.98512E+08,structural
172,5.36344E+08,structural
173,2.29836E+09,structural
174,6.37706E+08,structural
175,7.41235E+08,structural
176,3.73205E+08,structural
177,6.01828E+08,structural
178,7.27714E+08,structural
179,5.06323E+08,structural
180,6.61045E+08,structural
181,6.79081E+08,structural
182,4.20427E+08,structural
183,4.31329E+08,structural
184,4.14817E+08,structural
185,4.18567E+08,structural
186,9.17192E+08,structural
187,5.78135E+08,structural
188,7.70722E+08,structural
189,5.79990E+08,structural
190,3.79257E+08,structural
191,4.78810E+08,structural
192,7.50803E+08,structural
193,1.34744E+09,structural
194,1.43474E+09,structural
195,6.85446E+08,structural
196,8.43611E+08,structural
197,1.03668E+09,structural
198,5.98990E+08,structural
199,5.67784E+08,structural
