#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:49:44', checksum=1826191198"
event_id,loss,loss_type
0,1.51709E+10,structural
1,1.39503E+10,structural
2,1.65147E+10,structural
3,1.35552E+10,structural
4,1.37354E+10,structural
5,1.25540E+10,structural
6,1.63939E+10,structural
7,1.43356E+10,structural
8,1.43129E+10,structural
9,1.57383E+10,structural
10,1.37440E+10,structural
11,1.15927E+10,structural
12,1.44415E+10,structural
13,1.35837E+10,structural
14,1.45196E+10,structural
15,1.42369E+10,structural
16,1.59005E+10,structural
17,1.40983E+10,structural
18,1.34190E+10,structural
19,1.55585E+10,structural
20,1.35095E+10,structural
21,1.53353E+10,structural
22,1.37243E+10,structural
23,1.78001E+10,structural
24,1.62463E+10,structural
25,1.38852E+10,structural
26,1.31030E+10,structural
27,1.55348E+10,structural
28,1.30122E+10,structural
29,1.31490E+10,structural
30,1.35477E+10,structural
31,1.29968E+10,structural
32,1.49855E+10,structural
33,1.48656E+10,structural
34,1.57200E+10,structural
35,1.34417E+10,structural
36,1.42858E+10,structural
37,1.40437E+10,structural
38,1.49484E+10,structural
39,1.37810E+10,structural
40,1.51350E+10,structural
41,1.22297E+10,structural
42,1.50905E+10,structural
43,1.59934E+10,structural
44,1.50559E+10,structural
45,1.57021E+10,structural
46,1.79641E+10,structural
47,1.41660E+10,structural
48,1.46153E+10,structural
49,1.34268E+10,structural
50,1.37681E+10,structural
51,1.32988E+10,structural
52,1.69861E+10,structural
53,1.49392E+10,structural
54,1.41976E+10,structural
55,1.45868E+10,structural
56,1.35790E+10,structural
57,1.42548E+10,structural
58,1.59439E+10,structural
59,1.59388E+10,structural
60,1.38230E+10,structural
61,1.42189E+10,structural
62,1.40519E+10,structural
63,1.44011E+10,structural
64,1.42026E+10,structural
65,1.66384E+10,structural
66,1.34550E+10,structural
67,1.37697E+10,structural
68,1.31186E+10,structural
69,1.54036E+10,structural
70,1.60847E+10,structural
71,1.35379E+10,structural
72,1.41979E+10,structural
73,1.41294E+10,structural
74,1.40683E+10,structural
75,1.35244E+10,structural
76,1.56674E+10,structural
77,1.44603E+10,structural
78,1.55147E+10,structural
79,1.61762E+10,structural
80,1.60247E+10,structural
81,1.33120E+10,structural
82,1.25955E+10,structural
83,1.65605E+10,structural
84,1.50135E+10,structural
85,1.24509E+10,structural
86,1.35342E+10,structural
87,1.48821E+10,structural
88,1.47618E+10,structural
89,1.48729E+10,structural
90,1.26282E+10,structural
91,1.30182E+10,structural
92,1.42056E+10,structural
93,1.30569E+10,structural
94,1.58834E+10,structural
95,1.42627E+10,structural
96,1.39329E+10,structural
97,1.40567E+10,structural
98,1.44781E+10,structural
99,1.44269E+10,structural
100,1.45009E+10,structural
101,1.33772E+10,structural
102,1.42481E+10,structural
103,1.58132E+10,structural
104,1.19070E+10,structural
105,1.33201E+10,structural
106,1.45334E+10,structural
107,1.45218E+10,structural
108,1.78796E+10,structural
109,1.52680E+10,structural
110,1.49625E+10,structural
111,1.46183E+10,structural
112,1.38188E+10,structural
113,1.33375E+10,structural
114,1.52007E+10,structural
115,1.34292E+10,structural
116,1.59807E+10,structural
117,1.39533E+10,structural
118,1.40484E+10,structural
119,1.49489E+10,structural
120,1.51509E+10,structural
121,1.48767E+10,structural
122,1.47371E+10,structural
123,1.34067E+10,structural
124,1.19775E+10,structural
125,1.47945E+10,structural
126,1.60619E+10,structural
127,1.62999E+10,structural
128,1.54305E+10,structural
129,1.36116E+10,structural
130,1.38815E+10,structural
131,1.56910E+10,structural
132,1.33167E+10,structural
133,1.36854E+10,structural
134,1.66361E+10,structural
135,1.45370E+10,structural
136,1.28779E+10,structural
137,1.48818E+10,structural
138,1.64238E+10,structural
139,1.66187E+10,structural
140,1.48924E+10,structural
141,1.31497E+10,structural
142,1.62956E+10,structural
143,1.66851E+10,structural
144,1.38962E+10,structural
145,1.43960E+10,structural
146,1.56101E+10,structural
147,1.61638E+10,structural
148,1.35487E+10,structural
149,1.31713E+10,structural
150,1.34264E+10,structural
151,1.29296E+10,structural
152,1.62368E+10,structural
153,1.42439E+10,structural
154,1.37243E+10,structural
155,1.44805E+10,structural
156,1.31531E+10,structural
157,1.59964E+10,structural
158,1.31380E+10,structural
159,1.67281E+10,structural
160,1.35701E+10,structural
161,1.41375E+10,structural
162,1.46699E+10,structural
163,1.49580E+10,structural
164,1.30017E+10,structural
165,1.43371E+10,structural
166,1.56310E+10,structural
167,1.41574E+10,structural
168,1.42208E+10,structural
169,1.49927E+10,structural
170,1.48692E+10,structural
171,1.43158E+10,structural
172,1.35198E+10,structural
173,1.43344E+10,structural
174,1.63507E+10,structural
175,1.81023E+10,structural
176,1.33929E+10,structural
177,1.37143E+10,structural
178,1.41947E+10,structural
179,1.30363E+10,structural
180,1.36307E+10,structural
181,1.45206E+10,structural
182,1.44689E+10,structural
183,1.30441E+10,structural
184,1.79223E+10,structural
185,1.32213E+10,structural
186,1.31329E+10,structural
187,1.40748E+10,structural
188,1.32798E+10,structural
189,1.30812E+10,structural
190,1.36594E+10,structural
191,1.38561E+10,structural
192,1.34596E+10,structural
193,1.55353E+10,structural
194,1.65536E+10,structural
195,1.41816E+10,structural
196,1.26539E+10,structural
197,1.63308E+10,structural
198,1.45007E+10,structural
199,1.50717E+10,structural
