#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T18:57:38', checksum=838623436"
event_id,loss,loss_type
0,3.21918E+08,structural
1,4.82038E+08,structural
2,1.24417E+09,structural
3,3.13413E+08,structural
4,1.30031E+09,structural
5,9.66825E+08,structural
6,7.11533E+08,structural
7,6.70352E+08,structural
8,4.88701E+08,structural
9,1.14070E+09,structural
10,6.74745E+08,structural
11,5.68967E+08,structural
12,1.15497E+09,structural
13,1.10606E+09,structural
14,4.02539E+08,structural
15,7.53560E+08,structural
16,3.98544E+08,structural
17,1.05108E+09,structural
18,5.05890E+08,structural
19,4.31457E+08,structural
20,1.53603E+09,structural
21,4.29184E+08,structural
22,2.81983E+08,structural
23,4.27319E+08,structural
24,4.16571E+08,structural
25,9.42867E+08,structural
26,1.33149E+08,structural
27,4.80084E+08,structural
28,7.56826E+08,structural
29,7.50784E+08,structural
30,1.24422E+09,structural
31,1.23041E+09,structural
32,4.95488E+08,structural
33,3.09023E+08,structural
34,2.71245E+08,structural
35,6.31011E+08,structural
36,5.18911E+08,structural
37,3.19785E+08,structural
38,7.61320E+08,structural
39,4.80923E+08,structural
40,6.17790E+08,structural
41,2.01835E+08,structural
42,4.14539E+08,structural
43,5.52283E+08,structural
44,1.30174E+09,structural
45,9.51155E+08,structural
46,2.19599E+08,structural
47,3.75466E+08,structural
48,9.28395E+08,structural
49,2.99429E+08,structural
50,1.11161E+09,structural
51,6.44591E+08,structural
52,9.69338E+08,structural
53,4.01409E+08,structural
54,7.89204E+08,structural
55,2.05150E+08,structural
56,5.78269E+08,structural
57,4.87180E+08,structural
58,4.89562E+08,structural
59,2.23890E+08,structural
60,7.43898E+08,structural
61,7.90201E+08,structural
62,1.01914E+09,structural
63,3.82001E+08,structural
64,9.26724E+08,structural
65,7.64153E+08,structural
66,4.07955E+08,structural
67,6.73134E+08,structural
68,3.18201E+08,structural
69,1.24808E+09,structural
70,4.44522E+08,structural
71,2.40500E+08,structural
72,2.60229E+08,structural
73,6.87778E+08,structural
74,9.92416E+08,structural
75,5.98220E+08,structural
76,5.51235E+08,structural
77,1.21568E+09,structural
78,4.87698E+08,structural
79,8.45430E+08,structural
80,5.18185E+08,structural
81,2.48269E+08,structural
82,3.81984E+08,structural
83,1.42561E+08,structural
84,2.85284E+08,structural
85,6.32032E+08,structural
86,1.14750E+09,structural
87,5.56950E+08,structural
88,4.64418E+08,structural
89,1.22868E+09,structural
90,7.53550E+08,structural
91,2.12914E+08,structural
92,3.03456E+08,structural
93,3.67982E+08,structural
94,1.65330E+09,structural
95,2.00741E+08,structural
96,9.54963E+08,structural
97,2.50938E+08,structural
98,2.47850E+08,structural
99,3.48568E+08,structural
100,3.92206E+08,structural
101,1.00550E+09,structural
102,4.77355E+08,structural
103,6.90928E+08,structural
104,5.77771E+08,structural
105,1.41035E+08,structural
106,5.76656E+08,structural
107,8.49603E+08,structural
108,7.69083E+08,structural
109,1.12871E+09,structural
110,5.22838E+08,structural
111,9.17462E+08,structural
112,6.04367E+08,structural
113,1.06151E+09,structural
114,8.71897E+08,structural
115,6.31539E+08,structural
116,6.13494E+08,structural
117,1.24521E+09,structural
118,8.32348E+08,structural
119,7.41623E+08,structural
120,8.97380E+08,structural
121,4.01761E+08,structural
122,7.07352E+08,structural
123,9.96070E+08,structural
124,1.85651E+09,structural
125,7.17431E+08,structural
126,2.64459E+08,structural
127,7.53165E+08,structural
128,5.39478E+08,structural
129,8.58880E+08,structural
130,1.01323E+09,structural
131,3.02280E+08,structural
132,1.07417E+09,structural
133,7.00430E+08,structural
134,2.77174E+08,structural
135,8.36111E+08,structural
136,6.51978E+08,structural
137,1.39876E+09,structural
138,4.56669E+08,structural
139,7.47199E+08,structural
140,8.61808E+08,structural
141,6.88868E+08,structural
142,7.23107E+08,structural
143,4.87382E+08,structural
144,4.48160E+08,structural
145,1.14229E+09,structural
146,1.53203E+09,structural
147,5.91128E+08,structural
148,8.07187E+08,structural
149,1.11583E+09,structural
150,1.03775E+09,structural
151,2.37506E+08,structural
152,9.58790E+08,structural
153,7.93951E+08,structural
154,8.54240E+08,structural
155,1.06065E+09,structural
156,1.80631E+08,structural
157,1.73701E+08,structural
158,1.31051E+09,structural
159,1.20072E+08,structural
160,1.94684E+08,structural
161,3.82087E+08,structural
162,5.42643E+08,structural
163,8.64105E+08,structural
164,4.25852E+08,structural
165,6.79243E+08,structural
166,4.20390E+08,structural
167,9.41282E+08,structural
168,5.34174E+08,structural
169,5.08234E+08,structural
170,3.41657E+08,structural
171,7.92696E+08,structural
172,2.46982E+08,structural
173,6.34496E+08,structural
174,1.81527E+08,structural
175,4.84576E+08,structural
176,7.23605E+08,structural
177,1.12626E+09,structural
178,1.28021E+09,structural
179,9.73424E+08,structural
180,3.39841E+08,structural
181,7.32719E+08,structural
182,1.18852E+09,structural
183,2.70097E+08,structural
184,3.35729E+08,structural
185,6.82205E+08,structural
186,6.80030E+08,structural
187,1.13478E+09,structural
188,2.43785E+08,structural
189,6.48122E+08,structural
190,4.18105E+08,structural
191,1.86561E+08,structural
192,2.76346E+08,structural
193,1.00909E+09,structural
194,1.61730E+09,structural
195,6.92770E+08,structural
196,7.19140E+08,structural
197,9.03351E+08,structural
198,5.10105E+08,structural
199,3.87404E+08,structural
