#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T22:49:16', checksum=3037842595"
event_id,loss,loss_type
0,5.21248E+01,occupants
1,8.74150E+01,occupants
2,2.84232E+01,occupants
3,8.20519E+01,occupants
4,3.87603E+01,occupants
5,6.52546E+01,occupants
6,1.23623E+02,occupants
7,1.26175E+01,occupants
8,8.25102E+01,occupants
9,2.93970E+01,occupants
10,2.48047E+01,occupants
11,4.84275E+01,occupants
12,8.15722E+01,occupants
13,5.21163E+01,occupants
14,2.40296E+01,occupants
15,4.17702E+01,occupants
16,1.34103E+01,occupants
17,1.02962E+02,occupants
18,5.42988E+01,occupants
19,1.76968E+02,occupants
20,5.31148E+01,occupants
21,1.51903E+02,occupants
22,1.60988E+01,occupants
23,4.77686E+01,occupants
24,4.41426E+01,occupants
25,3.90868E+01,occupants
26,4.15753E+01,occupants
27,9.19036E+01,occupants
28,1.29303E+02,occupants
29,1.70532E+02,occupants
30,9.54866E+01,occupants
31,4.22704E+01,occupants
32,1.71375E+01,occupants
33,5.64884E+01,occupants
34,1.43374E+02,occupants
35,9.27689E+01,occupants
36,4.54177E+01,occupants
37,1.01551E+02,occupants
38,1.13081E+02,occupants
39,2.18907E+02,occupants
40,9.41749E+01,occupants
41,9.80685E+01,occupants
42,1.53294E+02,occupants
43,6.15401E+01,occupants
44,3.05998E+01,occupants
45,9.13449E+01,occupants
46,1.65706E+02,occupants
47,2.70059E+01,occupants
48,1.95137E+01,occupants
49,1.14440E+02,occupants
50,4.10526E+01,occupants
51,3.92259E+01,occupants
52,3.66153E+01,occupants
53,8.30687E+01,occupants
54,1.24207E+02,occupants
55,5.78864E+01,occupants
56,1.15421E+02,occupants
57,2.26517E+02,occupants
58,2.70926E+01,occupants
59,5.79943E+01,occupants
60,4.14027E+01,occupants
61,1.34348E+02,occupants
62,3.13084E+01,occupants
63,4.30425E+01,occupants
64,1.10315E+02,occupants
65,5.90119E+01,occupants
66,5.92088E+01,occupants
67,6.21506E+01,occupants
68,1.26828E+02,occupants
69,1.11448E+02,occupants
70,9.05304E+01,occupants
71,3.31382E+01,occupants
72,5.17870E+01,occupants
73,9.67108E+01,occupants
74,1.06337E+02,occupants
75,6.86868E+01,occupants
76,1.00427E+02,occupants
77,1.28272E+02,occupants
78,1.49846E+02,occupants
79,3.52591E+01,occupants
80,4.45157E+01,occupants
81,3.09998E+01,occupants
82,2.49080E+01,occupants
83,2.95804E+01,occupants
84,1.44178E+02,occupants
85,8.75667E+01,occupants
86,1.13836E+02,occupants
87,8.42503E+01,occupants
88,2.68204E+01,occupants
89,3.76940E+01,occupants
90,2.63108E+01,occupants
91,2.88645E+01,occupants
92,4.28480E+01,occupants
93,1.32879E+02,occupants
94,1.09563E+02,occupants
95,3.35552E+01,occupants
96,4.40512E+01,occupants
97,5.05039E+01,occupants
98,6.98121E+01,occupants
99,3.51781E+01,occupants
100,3.23566E+01,occupants
101,8.98217E+01,occupants
102,3.81227E+01,occupants
103,1.15097E+02,occupants
104,1.29317E+01,occupants
105,3.38567E+01,occupants
106,6.17285E+01,occupants
107,2.67184E+01,occupants
108,4.66134E+01,occupants
109,4.60777E+01,occupants
110,3.85347E+01,occupants
111,4.67016E+01,occupants
112,2.16567E+01,occupants
113,3.01152E+01,occupants
114,4.16140E+01,occupants
115,6.40537E+01,occupants
116,4.68351E+01,occupants
117,4.01351E+01,occupants
118,2.71851E+01,occupants
119,1.16054E+02,occupants
120,1.01418E+02,occupants
121,5.42373E+01,occupants
122,6.00835E+01,occupants
123,3.15505E+01,occupants
124,6.30195E+01,occupants
125,8.87032E+01,occupants
126,1.91171E+02,occupants
127,4.17514E+01,occupants
128,4.43047E+01,occupants
129,6.41574E+01,occupants
130,6.26213E+01,occupants
131,3.34495E+01,occupants
132,6.37257E+01,occupants
133,3.58850E+01,occupants
134,1.20572E+02,occupants
135,1.18583E+02,occupants
136,3.65137E+01,occupants
137,8.47228E+01,occupants
138,9.26498E+01,occupants
139,2.62324E+01,occupants
140,4.85723E+01,occupants
141,1.03661E+02,occupants
142,5.56365E+01,occupants
143,1.72294E+02,occupants
144,7.68295E+01,occupants
145,4.59385E+01,occupants
146,1.38392E+02,occupants
147,4.20920E+01,occupants
148,1.78951E+01,occupants
149,2.66723E+01,occupants
150,5.94014E+01,occupants
151,5.39017E+01,occupants
152,8.89548E+01,occupants
153,3.50361E+01,occupants
154,3.54434E+01,occupants
155,3.15738E+01,occupants
156,4.79372E+01,occupants
157,1.00133E+02,occupants
158,2.44524E+01,occupants
159,4.43420E+01,occupants
160,4.75377E+01,occupants
161,1.42259E+02,occupants
162,6.38754E+01,occupants
163,3.73019E+01,occupants
164,5.69481E+01,occupants
165,1.07575E+02,occupants
166,5.39732E+01,occupants
167,1.56397E+02,occupants
168,1.10595E+02,occupants
169,1.70507E+02,occupants
170,8.39392E+01,occupants
171,5.03962E+01,occupants
172,1.35717E+02,occupants
173,1.31611E+02,occupants
174,1.20619E+02,occupants
175,3.89682E+01,occupants
176,4.70767E+01,occupants
177,5.31650E+01,occupants
178,4.88089E+01,occupants
179,7.08597E+01,occupants
180,2.22582E+01,occupants
181,5.48745E+01,occupants
182,3.16271E+01,occupants
183,1.04452E+02,occupants
184,4.68637E+01,occupants
185,5.40083E+01,occupants
186,7.37878E+01,occupants
187,5.35273E+01,occupants
188,3.42712E+01,occupants
189,5.16057E+01,occupants
190,1.10309E+02,occupants
191,2.59865E+01,occupants
192,2.06119E+01,occupants
193,1.49582E+02,occupants
194,4.42925E+01,occupants
195,8.29076E+01,occupants
196,1.62530E+02,occupants
197,3.12117E+01,occupants
198,1.14977E+02,occupants
199,2.43405E+01,occupants
