#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T22:50:11', checksum=3403975594"
event_id,loss,loss_type
0,1.75834E+02,occupants
1,3.13468E+02,occupants
2,8.10694E+01,occupants
3,9.41275E+01,occupants
4,2.39198E+02,occupants
5,1.62592E+02,occupants
6,1.95560E+02,occupants
7,1.54464E+02,occupants
8,2.46358E+02,occupants
9,1.64929E+02,occupants
10,1.67664E+02,occupants
11,2.17642E+02,occupants
12,1.01209E+02,occupants
13,1.45869E+02,occupants
14,6.93627E+01,occupants
15,2.31634E+02,occupants
16,9.52696E+01,occupants
17,1.25548E+02,occupants
18,4.97419E+01,occupants
19,2.41431E+02,occupants
20,8.56337E+01,occupants
21,1.81151E+02,occupants
22,1.93765E+02,occupants
23,2.12044E+02,occupants
24,2.16216E+02,occupants
25,1.23690E+02,occupants
26,1.04574E+02,occupants
27,7.22038E+02,occupants
28,2.25158E+02,occupants
29,1.11773E+02,occupants
30,8.35120E+01,occupants
31,2.35192E+02,occupants
32,1.29573E+02,occupants
33,2.42741E+02,occupants
34,6.69290E+01,occupants
35,2.07141E+02,occupants
36,1.06290E+02,occupants
37,1.56399E+02,occupants
38,5.00457E+02,occupants
39,9.57611E+01,occupants
40,9.16265E+01,occupants
41,2.34120E+02,occupants
42,4.03226E+02,occupants
43,5.77637E+01,occupants
44,5.10962E+01,occupants
45,1.46854E+02,occupants
46,1.60315E+02,occupants
47,1.64250E+02,occupants
48,5.16436E+01,occupants
49,5.05273E+01,occupants
50,8.43677E+01,occupants
51,1.82757E+02,occupants
52,1.39151E+02,occupants
53,6.05111E+02,occupants
54,7.09988E+01,occupants
55,1.04496E+02,occupants
56,1.73541E+02,occupants
57,1.77491E+02,occupants
58,2.50259E+02,occupants
59,1.09835E+02,occupants
60,2.28040E+02,occupants
61,3.54334E+02,occupants
62,1.27689E+02,occupants
63,4.08277E+01,occupants
64,9.95059E+01,occupants
65,1.68075E+02,occupants
66,1.45341E+02,occupants
67,1.85074E+02,occupants
68,1.12859E+02,occupants
69,1.71046E+02,occupants
70,1.03469E+02,occupants
71,2.47849E+02,occupants
72,1.58867E+02,occupants
73,1.18636E+02,occupants
74,4.26225E+02,occupants
75,1.29468E+02,occupants
76,6.20643E+01,occupants
77,2.42180E+02,occupants
78,7.21945E+01,occupants
79,5.68426E+01,occupants
80,9.71889E+01,occupants
81,1.86419E+02,occupants
82,1.45332E+02,occupants
83,1.90286E+02,occupants
84,1.81262E+02,occupants
85,7.71343E+01,occupants
86,7.84034E+01,occupants
87,1.65337E+02,occupants
88,1.44428E+02,occupants
89,9.72064E+01,occupants
90,1.39769E+02,occupants
91,1.54393E+02,occupants
92,5.54781E+01,occupants
93,1.51496E+02,occupants
94,1.97796E+02,occupants
95,7.95541E+01,occupants
96,1.38102E+02,occupants
97,2.20851E+02,occupants
98,4.97194E+01,occupants
99,1.50941E+02,occupants
100,1.76805E+02,occupants
101,2.75532E+02,occupants
102,2.53406E+02,occupants
103,1.19497E+02,occupants
104,7.51615E+02,occupants
105,1.23124E+02,occupants
106,1.08717E+02,occupants
107,1.56190E+02,occupants
108,1.03639E+03,occupants
109,1.02361E+02,occupants
110,9.07180E+01,occupants
111,1.74867E+02,occupants
112,2.88723E+02,occupants
113,1.33273E+02,occupants
114,3.95359E+01,occupants
115,1.72247E+02,occupants
116,1.35668E+02,occupants
117,2.18379E+02,occupants
118,1.06276E+02,occupants
119,6.49131E+02,occupants
120,5.22880E+01,occupants
121,2.83932E+02,occupants
122,1.19497E+02,occupants
123,2.03399E+02,occupants
124,1.41828E+02,occupants
125,7.66841E+01,occupants
126,3.25196E+02,occupants
127,1.78365E+02,occupants
128,2.04677E+02,occupants
129,2.16802E+02,occupants
130,6.99611E+01,occupants
131,1.37240E+02,occupants
132,1.61454E+02,occupants
133,1.39651E+02,occupants
134,1.60322E+02,occupants
135,2.56136E+02,occupants
136,1.13145E+02,occupants
137,2.38129E+02,occupants
138,1.12609E+02,occupants
139,1.17485E+02,occupants
140,1.21279E+02,occupants
141,7.85728E+01,occupants
142,1.39124E+02,occupants
143,2.65662E+02,occupants
144,1.03160E+02,occupants
145,3.56410E+02,occupants
146,8.00788E+02,occupants
147,1.23403E+02,occupants
148,3.64570E+02,occupants
149,1.68061E+02,occupants
150,1.90932E+02,occupants
151,1.67752E+02,occupants
152,1.37033E+02,occupants
153,1.13787E+02,occupants
154,1.27284E+02,occupants
155,2.91695E+02,occupants
156,2.01664E+02,occupants
157,1.06799E+02,occupants
158,1.07671E+02,occupants
159,1.34765E+02,occupants
160,1.09758E+02,occupants
161,1.35364E+02,occupants
162,1.19237E+02,occupants
163,7.33248E+01,occupants
164,7.32872E+01,occupants
165,1.59649E+02,occupants
166,1.05272E+02,occupants
167,9.70614E+01,occupants
168,1.78644E+02,occupants
169,8.88984E+01,occupants
170,1.75903E+02,occupants
171,1.64709E+02,occupants
172,8.12548E+02,occupants
173,7.01778E+01,occupants
174,1.10635E+02,occupants
175,9.03602E+01,occupants
176,1.30606E+02,occupants
177,1.13017E+02,occupants
178,1.74279E+02,occupants
179,1.91657E+02,occupants
180,3.71759E+02,occupants
181,2.01780E+02,occupants
182,1.93712E+02,occupants
183,8.49338E+01,occupants
184,1.17685E+02,occupants
185,1.38485E+02,occupants
186,1.46939E+02,occupants
187,9.51959E+01,occupants
188,7.23693E+01,occupants
189,1.86949E+02,occupants
190,1.63383E+02,occupants
191,1.20554E+02,occupants
192,2.58366E+02,occupants
193,1.14706E+02,occupants
194,2.32473E+02,occupants
195,2.26164E+02,occupants
196,1.16063E+03,occupants
197,1.42148E+02,occupants
198,2.28988E+02,occupants
199,2.32818E+02,occupants
