#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-24T09:32:01', checksum=547487388"
event_id,loss,loss_type
0,3.31076E+01,occupants
1,8.39551E+00,occupants
2,3.60836E+00,occupants
3,5.19639E+00,occupants
4,3.94865E+00,occupants
5,4.47986E+00,occupants
6,4.13904E+00,occupants
7,2.08522E+01,occupants
8,2.14331E+01,occupants
9,1.10913E+01,occupants
10,2.20455E+01,occupants
11,5.27826E+00,occupants
12,7.99794E+00,occupants
13,9.34404E+00,occupants
14,2.53088E+01,occupants
15,3.01237E+01,occupants
16,2.58665E+01,occupants
17,1.31215E+01,occupants
18,9.98504E+00,occupants
19,5.69049E+00,occupants
20,5.68934E+00,occupants
21,1.51549E+01,occupants
22,1.49310E+01,occupants
23,4.56996E+00,occupants
24,5.84073E+00,occupants
25,1.64252E+01,occupants
26,6.08829E+00,occupants
27,4.01890E+01,occupants
28,5.27956E+00,occupants
29,1.79155E+01,occupants
30,8.00767E+00,occupants
31,6.60179E+00,occupants
32,7.25125E+00,occupants
33,1.19715E+01,occupants
34,5.54179E+00,occupants
35,7.71736E+00,occupants
36,5.74814E+00,occupants
37,4.16377E+01,occupants
38,1.19935E+01,occupants
39,3.15666E+00,occupants
40,2.21824E+01,occupants
41,6.28467E+00,occupants
42,9.24898E+00,occupants
43,6.57509E+00,occupants
44,1.37884E+01,occupants
45,6.38482E+00,occupants
46,8.66244E+00,occupants
47,9.40799E+00,occupants
48,1.11673E+01,occupants
49,1.01082E+01,occupants
50,1.34695E+01,occupants
51,1.37989E+01,occupants
52,1.10861E+01,occupants
53,8.61893E+00,occupants
54,3.22880E+01,occupants
55,7.81623E+00,occupants
56,1.42492E+01,occupants
57,5.39026E+00,occupants
58,8.17334E+00,occupants
59,2.43670E+01,occupants
60,1.11026E+01,occupants
61,2.01321E+01,occupants
62,2.79779E+01,occupants
63,4.67200E+00,occupants
64,1.94309E+01,occupants
65,3.50832E+00,occupants
66,1.16995E+01,occupants
67,6.69293E+00,occupants
68,2.90433E+00,occupants
69,4.96382E+00,occupants
70,9.13630E+00,occupants
71,1.02471E+01,occupants
72,1.14827E+01,occupants
73,3.55635E+01,occupants
74,8.96093E+00,occupants
75,8.02447E+00,occupants
76,9.18461E+00,occupants
77,3.22672E+01,occupants
78,1.36900E+01,occupants
79,1.53649E+01,occupants
80,1.67770E+01,occupants
81,4.62461E+00,occupants
82,6.64057E+00,occupants
83,6.37976E+00,occupants
84,1.01370E+01,occupants
85,7.79460E+00,occupants
86,2.79297E+01,occupants
87,7.60246E+00,occupants
88,7.19682E+00,occupants
89,5.93962E+00,occupants
90,1.38677E+01,occupants
91,3.87475E+00,occupants
92,2.94269E+01,occupants
93,1.16662E+01,occupants
94,2.28957E+01,occupants
95,6.72790E+00,occupants
96,8.98218E+00,occupants
97,1.02466E+01,occupants
98,2.86419E+01,occupants
99,6.24015E+00,occupants
100,1.84737E+01,occupants
101,2.48773E+01,occupants
102,6.18042E+00,occupants
103,4.18869E+00,occupants
104,5.64617E+00,occupants
105,6.93484E+00,occupants
106,7.38185E+00,occupants
107,6.24745E+00,occupants
108,3.64765E+00,occupants
109,1.71680E+01,occupants
110,5.67679E+00,occupants
111,3.48029E+00,occupants
112,4.38866E+00,occupants
113,5.04051E+00,occupants
114,9.12165E+00,occupants
115,1.32458E+01,occupants
116,1.35063E+01,occupants
117,8.58357E+00,occupants
118,1.00647E+01,occupants
119,7.46212E+00,occupants
120,1.19679E+01,occupants
121,1.83724E+01,occupants
122,6.77664E+00,occupants
123,9.16314E+00,occupants
124,9.89425E+00,occupants
125,4.42043E+00,occupants
126,8.40699E+00,occupants
127,5.70539E+00,occupants
128,6.77325E+00,occupants
129,2.20276E+01,occupants
130,5.69785E+00,occupants
131,4.55851E+00,occupants
132,1.46580E+01,occupants
133,6.74641E+00,occupants
134,6.54913E+00,occupants
135,3.60770E+01,occupants
136,1.26599E+01,occupants
137,1.04633E+01,occupants
138,1.90642E+01,occupants
139,2.31826E+01,occupants
140,1.05436E+01,occupants
141,9.62272E+00,occupants
142,1.58417E+00,occupants
143,2.90726E+01,occupants
144,1.31000E+01,occupants
145,1.60428E+01,occupants
146,4.36564E+00,occupants
147,1.66358E+01,occupants
148,9.20038E+00,occupants
149,7.95450E+00,occupants
150,6.70088E+00,occupants
151,4.00275E+00,occupants
152,2.64663E+00,occupants
153,6.50623E+00,occupants
154,8.39025E+00,occupants
155,1.77946E+01,occupants
156,5.10349E+01,occupants
157,2.06347E+01,occupants
158,6.96440E+00,occupants
159,1.25576E+01,occupants
160,5.51868E+00,occupants
161,4.41881E+00,occupants
162,3.09913E+01,occupants
163,6.92348E+00,occupants
164,8.95278E+00,occupants
165,2.31635E+01,occupants
166,9.74894E+00,occupants
167,3.12861E+01,occupants
168,6.25741E+00,occupants
169,8.42474E+00,occupants
170,8.21818E+00,occupants
171,8.16425E+00,occupants
172,2.87013E+01,occupants
173,1.24645E+01,occupants
174,5.77842E+00,occupants
175,1.58520E+01,occupants
176,5.45602E+01,occupants
177,8.57188E+00,occupants
178,5.70027E+00,occupants
179,4.17560E+01,occupants
180,7.94890E+00,occupants
181,5.58493E+00,occupants
182,9.56072E+00,occupants
183,3.17922E+00,occupants
184,1.75744E+01,occupants
185,7.95228E+00,occupants
186,2.10010E+01,occupants
187,1.56159E+01,occupants
188,6.28640E+00,occupants
189,8.77745E+00,occupants
190,3.94681E+01,occupants
191,5.03336E+00,occupants
192,5.06669E+00,occupants
193,6.76385E+00,occupants
194,1.66509E+01,occupants
195,1.52468E+01,occupants
196,6.05864E+00,occupants
197,5.30789E+00,occupants
198,2.32741E+01,occupants
199,3.68893E+01,occupants
