#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T22:50:57', checksum=603498833"
event_id,loss,loss_type
0,3.05140E+01,occupants
1,8.13104E+00,occupants
2,2.25851E+01,occupants
3,1.81025E+01,occupants
4,2.14383E+01,occupants
5,6.53209E+01,occupants
6,2.86035E+01,occupants
7,1.22121E+01,occupants
8,2.64291E+01,occupants
9,8.44103E+00,occupants
10,1.58811E+01,occupants
11,1.36740E+01,occupants
12,1.02535E+01,occupants
13,1.52367E+01,occupants
14,1.83124E+01,occupants
15,2.81207E+01,occupants
16,2.67075E+01,occupants
17,2.39640E+01,occupants
18,1.41446E+01,occupants
19,6.20756E+01,occupants
20,2.82473E+01,occupants
21,1.68678E+01,occupants
22,2.87265E+01,occupants
23,2.21446E+01,occupants
24,1.74430E+01,occupants
25,1.86832E+01,occupants
26,4.47919E+01,occupants
27,9.49602E+00,occupants
28,9.41509E+01,occupants
29,4.68309E+00,occupants
30,2.16350E+01,occupants
31,6.78784E+01,occupants
32,4.39529E+01,occupants
33,6.64788E+01,occupants
34,5.18896E+00,occupants
35,2.07308E+01,occupants
36,1.00530E+01,occupants
37,5.64643E+01,occupants
38,1.76608E+01,occupants
39,1.58659E+01,occupants
40,1.81723E+01,occupants
41,1.16102E+01,occupants
42,4.77445E+01,occupants
43,6.85747E+00,occupants
44,2.13533E+01,occupants
45,9.29919E+01,occupants
46,1.43432E+01,occupants
47,9.85681E+00,occupants
48,1.78642E+01,occupants
49,1.99396E+01,occupants
50,2.87026E+01,occupants
51,1.44593E+01,occupants
52,1.63156E+01,occupants
53,3.20624E+01,occupants
54,1.41246E+01,occupants
55,2.86816E+01,occupants
56,3.28455E+01,occupants
57,1.69345E+01,occupants
58,1.89648E+01,occupants
59,6.66067E+00,occupants
60,1.15705E+01,occupants
61,5.64761E+01,occupants
62,1.31722E+01,occupants
63,1.97286E+01,occupants
64,1.84570E+01,occupants
65,1.61940E+01,occupants
66,4.71379E+01,occupants
67,1.20716E+01,occupants
68,9.34876E+00,occupants
69,1.50401E+01,occupants
70,1.88384E+01,occupants
71,5.84797E+01,occupants
72,2.14137E+01,occupants
73,4.29597E+01,occupants
74,2.28730E+01,occupants
75,1.76503E+01,occupants
76,2.30960E+01,occupants
77,1.28540E+01,occupants
78,2.32458E+01,occupants
79,2.30118E+01,occupants
80,1.25989E+01,occupants
81,7.40751E+00,occupants
82,3.47491E+01,occupants
83,3.10175E+01,occupants
84,1.76921E+01,occupants
85,5.73269E+01,occupants
86,1.80070E+01,occupants
87,2.53127E+01,occupants
88,2.06860E+01,occupants
89,5.44272E+00,occupants
90,6.60838E+01,occupants
91,2.89281E+01,occupants
92,4.97484E+01,occupants
93,2.32982E+01,occupants
94,3.29005E+01,occupants
95,1.92363E+01,occupants
96,1.62964E+01,occupants
97,3.06138E+01,occupants
98,2.28312E+01,occupants
99,2.59824E+01,occupants
100,1.83699E+01,occupants
101,2.66463E+01,occupants
102,1.81514E+01,occupants
103,1.73704E+01,occupants
104,5.06275E+01,occupants
105,4.02050E+01,occupants
106,1.42433E+01,occupants
107,2.21835E+01,occupants
108,8.75990E+00,occupants
109,1.29670E+01,occupants
110,4.84904E+01,occupants
111,2.77486E+01,occupants
112,1.81519E+01,occupants
113,3.15026E+01,occupants
114,1.60783E+01,occupants
115,1.69208E+01,occupants
116,2.50565E+01,occupants
117,1.37720E+01,occupants
118,1.30230E+01,occupants
119,1.72329E+01,occupants
120,2.76079E+01,occupants
121,2.97930E+01,occupants
122,2.10165E+01,occupants
123,9.55217E+00,occupants
124,2.05066E+01,occupants
125,1.67472E+01,occupants
126,2.26070E+01,occupants
127,1.57853E+01,occupants
128,7.75378E+01,occupants
129,1.65577E+01,occupants
130,1.74917E+01,occupants
131,1.10746E+01,occupants
132,1.68433E+01,occupants
133,1.48149E+01,occupants
134,8.47194E+00,occupants
135,3.73804E+01,occupants
136,2.02108E+01,occupants
137,9.14942E+01,occupants
138,4.58403E+01,occupants
139,1.02456E+01,occupants
140,1.34252E+01,occupants
141,1.54338E+01,occupants
142,7.54996E+00,occupants
143,1.45809E+01,occupants
144,1.92860E+01,occupants
145,1.20663E+01,occupants
146,2.24150E+01,occupants
147,1.18182E+01,occupants
148,2.07388E+01,occupants
149,3.37945E+01,occupants
150,2.75937E+01,occupants
151,7.91178E+01,occupants
152,3.98847E+01,occupants
153,1.00067E+01,occupants
154,1.97275E+01,occupants
155,1.79094E+01,occupants
156,1.49584E+01,occupants
157,1.15790E+01,occupants
158,9.53218E+00,occupants
159,1.18384E+01,occupants
160,1.00868E+01,occupants
161,2.23128E+01,occupants
162,2.84619E+01,occupants
163,5.36740E+01,occupants
164,9.53076E+00,occupants
165,1.13001E+01,occupants
166,7.53419E+01,occupants
167,1.73450E+01,occupants
168,1.72322E+01,occupants
169,1.78676E+01,occupants
170,7.39863E+00,occupants
171,5.01180E+01,occupants
172,1.59793E+01,occupants
173,3.51438E+01,occupants
174,1.38397E+01,occupants
175,2.64935E+01,occupants
176,2.13523E+01,occupants
177,1.92572E+01,occupants
178,2.23316E+01,occupants
179,5.45087E+01,occupants
180,1.72703E+01,occupants
181,1.96971E+01,occupants
182,2.27379E+01,occupants
183,1.76523E+01,occupants
184,1.51788E+01,occupants
185,1.88707E+01,occupants
186,4.87491E+01,occupants
187,1.15572E+01,occupants
188,1.59874E+01,occupants
189,1.29786E+01,occupants
190,2.34464E+01,occupants
191,2.55554E+01,occupants
192,1.14309E+01,occupants
193,9.70092E+00,occupants
194,9.96186E+00,occupants
195,9.01830E+00,occupants
196,5.57268E+01,occupants
197,1.55970E+01,occupants
198,9.49896E+00,occupants
199,1.10963E+01,occupants
