#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T22:59:22', checksum=1796769685"
event_id,loss,loss_type
0,1.09860E+01,occupants
1,3.37820E-02,occupants
2,1.25863E-01,occupants
3,3.35991E-01,occupants
4,1.98756E+01,occupants
5,1.58366E+00,occupants
6,2.34568E-01,occupants
7,6.52728E-01,occupants
8,5.91238E-01,occupants
9,2.86479E-01,occupants
10,4.76894E-01,occupants
11,1.21636E+00,occupants
12,6.69614E-01,occupants
13,3.85694E-01,occupants
14,1.51156E+00,occupants
15,7.93307E-01,occupants
16,1.45235E-01,occupants
17,1.86554E+00,occupants
18,2.81859E-01,occupants
19,9.53086E-02,occupants
20,2.55720E+00,occupants
21,1.78648E-01,occupants
22,9.90593E-01,occupants
23,1.66964E+00,occupants
24,4.53734E+00,occupants
25,3.13680E+00,occupants
26,7.78723E-02,occupants
27,5.92408E-02,occupants
28,3.93288E+00,occupants
29,6.72206E-02,occupants
30,4.21214E+00,occupants
31,5.79062E-01,occupants
32,2.59460E+00,occupants
33,4.37873E-01,occupants
34,1.80236E-01,occupants
35,4.73287E-01,occupants
36,4.62727E-01,occupants
37,9.36785E-03,occupants
38,1.55307E-01,occupants
39,5.37693E-01,occupants
40,2.56967E-01,occupants
41,8.53048E-01,occupants
42,3.68319E-01,occupants
43,1.91580E-01,occupants
44,1.52514E-01,occupants
45,4.09393E+00,occupants
46,2.59620E-01,occupants
47,1.60380E+00,occupants
48,5.84911E-01,occupants
49,2.00554E-01,occupants
50,3.77924E-01,occupants
51,1.65201E+00,occupants
52,1.00387E+00,occupants
53,3.61601E-01,occupants
54,1.28289E-01,occupants
55,1.50457E-01,occupants
56,1.40507E+00,occupants
57,2.26639E+00,occupants
58,3.23590E+00,occupants
59,5.74571E-01,occupants
60,5.79079E-02,occupants
61,1.16209E-01,occupants
62,1.39094E-01,occupants
63,4.78274E-01,occupants
64,5.30514E-01,occupants
65,2.18232E-01,occupants
66,1.46074E-01,occupants
67,3.44812E+00,occupants
68,2.27246E+01,occupants
69,2.27907E-01,occupants
70,1.66509E-01,occupants
71,1.75715E-01,occupants
72,3.96800E-02,occupants
73,5.10561E+00,occupants
74,1.51751E-01,occupants
75,1.89700E-01,occupants
76,4.02867E-02,occupants
77,3.66300E-01,occupants
78,3.32495E+00,occupants
79,8.38225E-02,occupants
80,3.51886E-02,occupants
81,1.52133E+00,occupants
82,8.40892E-03,occupants
83,1.65255E+00,occupants
84,4.61224E-01,occupants
85,8.90538E-01,occupants
86,6.44653E-01,occupants
87,1.62603E-02,occupants
88,4.43345E+00,occupants
89,1.78587E-01,occupants
90,2.17349E-01,occupants
91,4.29344E+00,occupants
92,6.74967E-01,occupants
93,2.40463E+00,occupants
94,8.85920E-01,occupants
95,8.18315E-01,occupants
96,4.23547E-01,occupants
97,1.73446E+01,occupants
98,9.86337E-01,occupants
99,3.51110E-01,occupants
100,1.03590E-01,occupants
101,2.71014E+00,occupants
102,2.16703E-01,occupants
103,4.91430E-01,occupants
104,4.89995E-02,occupants
105,8.09463E-01,occupants
106,5.84218E-02,occupants
107,1.72311E-02,occupants
108,2.91983E-01,occupants
109,1.42703E+00,occupants
110,2.32596E-01,occupants
111,6.57866E-01,occupants
112,1.28090E+00,occupants
113,2.14159E-01,occupants
114,1.09310E+00,occupants
115,1.68856E+00,occupants
116,6.77837E-01,occupants
117,3.29335E-01,occupants
118,1.62285E-01,occupants
119,3.27789E-01,occupants
120,2.38740E-01,occupants
121,1.47276E+00,occupants
122,7.52501E-01,occupants
123,4.89760E-01,occupants
124,7.74744E-02,occupants
125,8.20767E-01,occupants
126,2.02809E+00,occupants
127,4.29714E-01,occupants
128,8.28761E-02,occupants
129,1.72240E+00,occupants
130,2.70724E+00,occupants
131,9.00734E-02,occupants
132,6.68721E+00,occupants
