#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T23:00:42', checksum=2209700804"
event_id,loss,loss_type
0,7.16499E+01,occupants
1,1.52993E+02,occupants
2,1.05271E+02,occupants
3,3.55311E+01,occupants
4,5.76303E+01,occupants
5,5.01364E+01,occupants
6,6.21529E+01,occupants
7,3.58378E+01,occupants
8,6.07336E+01,occupants
9,1.60115E+02,occupants
10,6.01715E+01,occupants
11,3.62839E+01,occupants
12,4.50213E+01,occupants
13,5.70504E+01,occupants
14,6.32212E+01,occupants
15,3.55768E+01,occupants
16,5.43429E+01,occupants
17,6.99210E+01,occupants
18,1.04363E+02,occupants
19,1.51898E+02,occupants
20,7.33768E+01,occupants
21,1.03503E+02,occupants
22,8.54087E+01,occupants
23,7.13540E+01,occupants
24,1.29118E+02,occupants
25,9.04668E+01,occupants
26,5.31718E+01,occupants
27,9.11477E+01,occupants
28,9.56750E+01,occupants
29,7.60541E+01,occupants
30,3.45100E+01,occupants
31,4.84433E+01,occupants
32,8.64213E+01,occupants
33,4.09418E+01,occupants
34,8.46233E+01,occupants
35,8.86383E+01,occupants
36,7.14658E+01,occupants
37,4.81211E+01,occupants
38,4.57792E+01,occupants
39,1.05951E+02,occupants
40,9.36413E+01,occupants
41,1.29628E+02,occupants
42,6.01821E+01,occupants
43,1.04578E+02,occupants
44,3.73678E+01,occupants
45,2.84762E+01,occupants
46,5.37916E+01,occupants
47,9.47633E+01,occupants
48,4.90601E+01,occupants
49,6.65516E+01,occupants
50,5.16608E+01,occupants
51,6.55492E+01,occupants
52,6.15504E+01,occupants
53,1.01447E+02,occupants
54,7.18648E+01,occupants
55,6.31418E+01,occupants
56,4.28407E+01,occupants
57,7.55970E+01,occupants
58,4.45181E+01,occupants
59,2.02113E+01,occupants
60,4.91352E+01,occupants
61,7.52080E+01,occupants
62,2.13608E+01,occupants
63,1.18967E+02,occupants
64,7.61282E+01,occupants
65,9.03094E+01,occupants
66,8.03454E+01,occupants
67,5.69345E+01,occupants
68,1.95290E+01,occupants
69,4.15528E+01,occupants
70,1.07502E+02,occupants
71,5.55819E+01,occupants
72,5.25267E+01,occupants
73,4.76320E+01,occupants
74,4.07053E+01,occupants
75,6.24680E+01,occupants
76,1.42814E+02,occupants
77,1.21522E+02,occupants
78,1.51350E+02,occupants
79,5.38118E+01,occupants
80,7.46089E+01,occupants
81,5.44511E+01,occupants
82,1.13168E+02,occupants
83,1.94575E+01,occupants
84,7.43240E+01,occupants
85,7.88492E+01,occupants
86,1.38999E+01,occupants
87,1.06397E+02,occupants
88,8.07240E+01,occupants
89,7.59832E+01,occupants
90,8.85255E+01,occupants
91,1.77414E+02,occupants
92,5.95682E+01,occupants
93,5.71221E+01,occupants
94,1.04444E+02,occupants
95,2.14067E+01,occupants
96,5.99077E+01,occupants
97,1.03459E+02,occupants
98,6.98989E+01,occupants
99,1.00521E+02,occupants
100,1.09580E+02,occupants
101,4.58074E+01,occupants
102,4.67765E+01,occupants
103,3.96075E+01,occupants
104,5.28026E+01,occupants
105,7.17744E+01,occupants
106,7.88397E+01,occupants
107,6.93927E+01,occupants
108,4.11355E+01,occupants
109,4.84056E+01,occupants
110,5.47706E+01,occupants
111,9.01827E+01,occupants
112,1.20451E+02,occupants
113,4.82789E+01,occupants
114,6.54215E+01,occupants
115,2.44336E+01,occupants
116,1.46836E+02,occupants
117,1.05694E+02,occupants
118,9.56788E+01,occupants
119,6.82837E+01,occupants
120,1.04490E+02,occupants
121,1.27417E+02,occupants
122,5.93557E+01,occupants
123,1.22372E+02,occupants
124,8.74854E+01,occupants
125,6.17613E+01,occupants
126,8.53462E+01,occupants
127,4.80279E+01,occupants
128,6.43707E+01,occupants
129,4.94186E+01,occupants
130,6.64363E+01,occupants
131,5.27786E+01,occupants
132,5.56119E+01,occupants
133,3.50476E+01,occupants
134,3.72152E+01,occupants
135,6.62664E+01,occupants
136,9.78382E+01,occupants
137,1.10373E+02,occupants
138,5.63294E+01,occupants
139,6.06147E+01,occupants
140,6.87651E+01,occupants
141,1.00271E+02,occupants
142,7.14381E+01,occupants
143,2.79740E+01,occupants
144,5.12036E+01,occupants
145,9.20366E+01,occupants
146,3.58135E+01,occupants
147,6.54810E+01,occupants
148,3.69322E+01,occupants
149,1.07122E+02,occupants
150,1.44015E+02,occupants
151,3.00596E+01,occupants
152,5.60065E+01,occupants
153,5.50723E+01,occupants
154,5.07743E+01,occupants
155,4.38686E+01,occupants
156,7.18046E+01,occupants
157,3.67716E+01,occupants
158,6.72766E+01,occupants
159,5.23160E+01,occupants
160,1.25645E+02,occupants
161,1.41581E+02,occupants
162,9.00085E+01,occupants
163,5.19766E+01,occupants
164,7.29360E+01,occupants
165,1.00438E+02,occupants
166,1.13189E+02,occupants
167,5.01625E+01,occupants
168,8.85561E+01,occupants
169,4.51834E+01,occupants
170,5.37869E+01,occupants
171,1.11623E+02,occupants
172,5.65912E+01,occupants
173,7.50377E+01,occupants
174,7.52448E+01,occupants
175,8.17360E+01,occupants
176,5.12700E+01,occupants
177,5.94283E+01,occupants
178,9.39299E+01,occupants
179,1.05511E+02,occupants
180,3.93652E+01,occupants
181,4.99453E+01,occupants
182,4.90108E+01,occupants
183,1.07949E+02,occupants
184,3.58605E+01,occupants
185,5.73095E+01,occupants
186,9.13406E+01,occupants
187,5.80152E+01,occupants
188,5.52565E+01,occupants
189,4.14856E+01,occupants
190,1.07017E+02,occupants
191,8.55735E+01,occupants
192,7.28481E+01,occupants
193,1.15655E+02,occupants
194,1.36558E+02,occupants
195,4.11478E+01,occupants
196,1.38293E+02,occupants
197,4.58754E+01,occupants
198,6.63429E+01,occupants
199,7.16044E+01,occupants
