#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T23:10:23', checksum=1164841164"
event_id,loss,loss_type
0,7.22256E-02,occupants
1,1.16267E-01,occupants
2,1.35465E-01,occupants
3,2.66913E-02,occupants
4,9.53511E-02,occupants
5,2.79909E-01,occupants
6,4.81514E-01,occupants
7,2.83253E-01,occupants
8,1.02385E-01,occupants
9,1.15640E-01,occupants
10,3.17038E-02,occupants
11,4.23242E-02,occupants
12,1.41819E-01,occupants
13,1.50988E-01,occupants
14,9.96057E-02,occupants
15,4.52375E-02,occupants
16,1.04395E-01,occupants
17,3.16610E-02,occupants
18,4.48024E-02,occupants
19,3.74685E-02,occupants
20,1.26390E-01,occupants
21,8.34839E-02,occupants
22,1.99240E-02,occupants
23,2.43531E-01,occupants
24,1.16327E-02,occupants
25,5.48092E-02,occupants
26,2.13661E-01,occupants
27,8.26794E-02,occupants
28,8.34754E-02,occupants
29,1.63823E-01,occupants
30,7.61514E-02,occupants
31,3.54335E-02,occupants
32,5.43491E-02,occupants
33,2.82199E-01,occupants
34,1.33298E-01,occupants
35,9.81545E-02,occupants
36,1.59787E-02,occupants
37,3.59669E-02,occupants
38,1.43043E-01,occupants
39,6.73923E-02,occupants
40,4.54968E-02,occupants
41,1.21089E-02,occupants
42,2.29440E-01,occupants
43,6.63311E-02,occupants
44,2.14801E-01,occupants
45,2.18118E-01,occupants
46,2.27051E-01,occupants
47,5.99533E-02,occupants
48,1.56454E-01,occupants
49,2.71835E-01,occupants
50,5.44993E-02,occupants
51,2.49512E-01,occupants
52,4.72951E-02,occupants
53,1.72339E-02,occupants
54,2.36684E-01,occupants
55,3.84094E-01,occupants
56,1.09984E-01,occupants
57,3.10746E-02,occupants
58,9.80807E-02,occupants
59,8.03921E-02,occupants
60,1.02115E-01,occupants
61,6.76979E-02,occupants
62,5.11075E-03,occupants
63,1.85811E-01,occupants
64,4.19397E-02,occupants
65,1.26810E-02,occupants
66,3.54192E-01,occupants
67,5.22942E-02,occupants
68,4.62396E-01,occupants
69,1.02770E-01,occupants
70,5.25530E-01,occupants
71,1.70047E-01,occupants
72,1.63902E-01,occupants
73,1.48549E-01,occupants
74,6.95325E-02,occupants
75,4.03346E-01,occupants
76,1.19964E-02,occupants
77,6.78379E-02,occupants
78,2.02541E-01,occupants
79,2.51845E-01,occupants
80,1.60799E-01,occupants
81,7.61832E-02,occupants
82,9.19738E-02,occupants
83,7.56745E-02,occupants
84,3.62203E-02,occupants
85,2.31020E-01,occupants
86,7.95969E-02,occupants
87,2.44927E-01,occupants
88,1.97250E-01,occupants
89,3.16020E-01,occupants
90,2.20198E-01,occupants
91,2.02726E-02,occupants
92,8.18737E-02,occupants
93,3.46516E-01,occupants
94,1.02817E-01,occupants
95,3.17574E-02,occupants
96,1.23837E-01,occupants
97,3.06274E-02,occupants
98,5.09683E-02,occupants
99,1.08556E-01,occupants
100,1.40315E-01,occupants
101,3.79225E-02,occupants
102,1.64681E-01,occupants
103,8.22220E-02,occupants
104,1.51073E-01,occupants
105,2.83205E-02,occupants
106,4.15846E-02,occupants
107,6.62047E-02,occupants
108,2.40881E-02,occupants
109,2.03566E-01,occupants
110,4.07600E-03,occupants
111,6.64412E-02,occupants
112,3.18563E-02,occupants
113,8.84738E-02,occupants
114,2.70233E-01,occupants
115,3.70619E-02,occupants
116,2.71206E-01,occupants
117,9.06226E-02,occupants
118,2.74232E-01,occupants
119,8.00653E-02,occupants
120,2.39154E-01,occupants
121,4.64868E-02,occupants
122,6.09594E-02,occupants
123,2.31211E-01,occupants
124,5.42049E-02,occupants
125,9.88009E-02,occupants
126,1.45354E-01,occupants
127,1.81133E-01,occupants
128,8.84945E-02,occupants
129,1.21752E-02,occupants
130,6.08926E-02,occupants
131,2.03775E-02,occupants
132,1.80447E-02,occupants
133,1.04992E-01,occupants
134,2.81168E-01,occupants
135,1.58163E-01,occupants
136,1.94077E-02,occupants
137,2.05402E-01,occupants
138,5.33135E-02,occupants
139,4.80840E-01,occupants
140,4.19852E-02,occupants
141,2.79447E-02,occupants
142,1.77529E-02,occupants
143,2.16562E-01,occupants
144,2.15494E-02,occupants
145,6.99385E-02,occupants
146,1.39951E-01,occupants
147,1.42656E-01,occupants
148,4.85156E-02,occupants
149,1.04745E-01,occupants
150,5.98714E-02,occupants
151,7.96652E-02,occupants
152,3.19743E-01,occupants
153,4.03044E-02,occupants
154,3.37158E-02,occupants
155,2.44614E-01,occupants
156,8.29041E-02,occupants
157,3.22942E-01,occupants
158,1.66157E-01,occupants
159,1.37502E-01,occupants
160,2.34020E-01,occupants
161,2.09018E-01,occupants
162,1.57554E-01,occupants
163,1.95765E-02,occupants
164,5.19455E-02,occupants
165,1.21732E-01,occupants
166,1.04621E-02,occupants
167,3.46608E-02,occupants
168,1.67156E-02,occupants
169,2.50693E-01,occupants
170,8.99757E-02,occupants
171,2.53997E-02,occupants
172,1.02503E-01,occupants
173,1.26416E-01,occupants
174,1.68658E-01,occupants
175,4.48511E-02,occupants
176,1.02041E-01,occupants
177,2.46502E-01,occupants
178,2.11425E-01,occupants
179,5.41715E-02,occupants
180,1.62153E-01,occupants
181,2.46851E-02,occupants
182,1.78327E-02,occupants
183,3.57539E-01,occupants
184,4.98219E-02,occupants
185,4.18473E-01,occupants
186,6.92824E-02,occupants
187,1.35646E-01,occupants
188,1.32414E-01,occupants
189,2.51577E-01,occupants
190,3.44422E-02,occupants
191,6.27407E-02,occupants
192,2.27520E-02,occupants
193,1.07637E-01,occupants
194,3.14844E-01,occupants
195,1.03540E-01,occupants
196,3.64039E-02,occupants
197,6.44136E-02,occupants
198,3.39851E-02,occupants
199,9.90209E-02,occupants
