#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T23:52:32', checksum=603498833"
event_id,loss,loss_type
0,3.12769E+01,occupants
1,4.68390E+01,occupants
2,6.93810E+01,occupants
3,8.62256E+01,occupants
4,2.22102E+01,occupants
5,9.63898E+01,occupants
6,2.58476E+01,occupants
7,5.71859E+01,occupants
8,3.46624E+01,occupants
9,1.69769E+01,occupants
10,4.42175E+01,occupants
11,3.85319E+01,occupants
12,4.51278E+01,occupants
13,1.80171E+01,occupants
14,8.19162E+01,occupants
15,1.36059E+01,occupants
16,1.99507E+01,occupants
17,5.89915E+01,occupants
18,8.11117E+01,occupants
19,2.04583E+01,occupants
20,4.02011E+01,occupants
21,1.97531E+01,occupants
22,2.70192E+01,occupants
23,6.94298E+01,occupants
24,3.67748E+01,occupants
25,6.76095E+01,occupants
26,2.32603E+01,occupants
27,4.37125E+01,occupants
28,4.25152E+01,occupants
29,2.52758E+01,occupants
30,5.34739E+01,occupants
31,6.68337E+01,occupants
32,7.35259E+01,occupants
33,6.90680E+01,occupants
34,4.83213E+01,occupants
35,4.28793E+01,occupants
36,8.54832E+01,occupants
37,3.61453E+01,occupants
38,2.74539E+01,occupants
39,7.02449E+01,occupants
40,4.87758E+01,occupants
41,6.30090E+01,occupants
42,3.29632E+01,occupants
43,5.30431E+01,occupants
44,4.95310E+01,occupants
45,4.45615E+01,occupants
46,3.46424E+01,occupants
47,6.02483E+01,occupants
48,5.47543E+01,occupants
49,5.63565E+01,occupants
50,9.22065E+01,occupants
51,4.31426E+01,occupants
52,5.96331E+01,occupants
53,2.50156E+01,occupants
54,5.18296E+01,occupants
55,4.13968E+01,occupants
56,6.15645E+01,occupants
57,4.29420E+01,occupants
58,1.13895E+01,occupants
59,6.15507E+01,occupants
60,8.78184E+01,occupants
61,4.29050E+01,occupants
62,3.90865E+01,occupants
63,6.19182E+01,occupants
64,6.09268E+01,occupants
65,5.96791E+01,occupants
66,7.66264E+01,occupants
67,2.56571E+01,occupants
68,2.76219E+01,occupants
69,5.34799E+01,occupants
70,2.20814E+01,occupants
71,5.75949E+01,occupants
72,3.06912E+01,occupants
73,3.60708E+01,occupants
74,6.25132E+01,occupants
75,8.60239E+01,occupants
76,7.25465E+01,occupants
77,2.73687E+01,occupants
78,1.92857E+01,occupants
79,2.72609E+01,occupants
80,1.00837E+02,occupants
81,1.07674E+02,occupants
82,4.42703E+01,occupants
83,6.85615E+01,occupants
84,7.41950E+01,occupants
85,4.66786E+01,occupants
86,3.31923E+01,occupants
87,3.63880E+01,occupants
88,2.37263E+01,occupants
89,3.17190E+01,occupants
90,4.83728E+01,occupants
91,2.84491E+01,occupants
92,7.99917E+01,occupants
93,3.77960E+01,occupants
94,4.03045E+01,occupants
95,4.82660E+01,occupants
96,2.44370E+01,occupants
97,9.05262E+01,occupants
98,2.69447E+01,occupants
99,6.88580E+01,occupants
100,2.25830E+01,occupants
101,3.99236E+01,occupants
102,2.30054E+01,occupants
103,4.26730E+01,occupants
104,4.54206E+01,occupants
105,4.62873E+01,occupants
106,6.46172E+01,occupants
107,2.41649E+01,occupants
108,5.94511E+01,occupants
109,4.87485E+01,occupants
110,4.36336E+01,occupants
111,3.73097E+01,occupants
112,5.19886E+01,occupants
113,3.70382E+01,occupants
114,1.79461E+01,occupants
115,7.08517E+01,occupants
116,4.27807E+01,occupants
117,3.10329E+01,occupants
118,5.45830E+01,occupants
119,4.35844E+01,occupants
120,3.42122E+01,occupants
121,7.68092E+01,occupants
122,1.18312E+01,occupants
123,8.49052E+01,occupants
124,8.68651E+01,occupants
125,3.32010E+01,occupants
126,4.39836E+01,occupants
127,9.97485E+01,occupants
128,1.09627E+01,occupants
129,4.82154E+01,occupants
130,4.02691E+01,occupants
131,4.29511E+01,occupants
132,2.55423E+01,occupants
133,3.43725E+01,occupants
134,3.06059E+01,occupants
135,5.79003E+01,occupants
136,2.28417E+01,occupants
137,1.65586E+01,occupants
138,7.33156E+01,occupants
139,4.48079E+01,occupants
140,3.18452E+01,occupants
141,3.33710E+01,occupants
142,7.30230E+01,occupants
143,3.18780E+01,occupants
144,7.67603E+01,occupants
145,6.06166E+01,occupants
146,3.02181E+01,occupants
147,1.06453E+02,occupants
148,8.60292E+01,occupants
149,5.33004E+01,occupants
150,2.53450E+01,occupants
151,3.95962E+01,occupants
152,4.18800E+01,occupants
153,2.89787E+01,occupants
154,7.22003E+01,occupants
155,4.93570E+01,occupants
156,3.66353E+01,occupants
157,3.92582E+01,occupants
158,6.00446E+01,occupants
159,4.86788E+01,occupants
160,5.10840E+01,occupants
161,3.38109E+01,occupants
162,3.16164E+01,occupants
163,1.99575E+01,occupants
164,3.20608E+01,occupants
165,4.51178E+01,occupants
166,4.09384E+01,occupants
167,3.01726E+01,occupants
168,2.13333E+01,occupants
169,5.13468E+01,occupants
170,3.97799E+01,occupants
171,4.99282E+01,occupants
172,8.12651E+01,occupants
173,4.37328E+01,occupants
174,2.69655E+01,occupants
175,4.20123E+01,occupants
176,2.16584E+01,occupants
177,4.65650E+01,occupants
178,2.46007E+01,occupants
179,3.62309E+01,occupants
180,2.08531E+01,occupants
181,3.71748E+01,occupants
182,2.90399E+01,occupants
183,4.48484E+01,occupants
184,1.50700E+01,occupants
185,4.02140E+01,occupants
186,1.49676E+01,occupants
187,7.85533E+01,occupants
188,9.09026E+01,occupants
189,5.02203E+01,occupants
190,5.17685E+01,occupants
191,4.59731E+01,occupants
192,5.56274E+01,occupants
193,3.34885E+01,occupants
194,5.02310E+01,occupants
195,4.20704E+01,occupants
196,6.18075E+01,occupants
197,3.80757E+01,occupants
198,2.46989E+01,occupants
199,1.54024E+01,occupants
