#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-23T23:59:19', checksum=708510051"
event_id,loss,loss_type
0,4.55019E-01,occupants
1,3.47611E-01,occupants
2,1.04763E+00,occupants
3,4.12802E-01,occupants
4,6.10564E-01,occupants
5,9.46538E-01,occupants
6,1.23118E+00,occupants
7,3.28978E+00,occupants
8,3.76484E+00,occupants
9,5.57315E-01,occupants
10,6.80768E-01,occupants
11,5.55229E-01,occupants
12,7.14607E-01,occupants
13,3.58714E-01,occupants
14,4.56447E+00,occupants
15,1.07019E+00,occupants
16,4.54483E-01,occupants
17,1.12383E+00,occupants
18,4.00764E-01,occupants
19,2.39207E+00,occupants
20,1.12785E+00,occupants
21,9.44236E-01,occupants
22,9.28093E-01,occupants
23,6.15986E-01,occupants
24,7.72170E-01,occupants
25,6.34230E-01,occupants
26,6.18833E-01,occupants
27,2.34445E+00,occupants
28,4.01621E-01,occupants
29,8.47191E-01,occupants
30,6.69032E-01,occupants
31,1.40750E-01,occupants
32,1.14597E-01,occupants
33,6.05979E-01,occupants
34,7.51505E-01,occupants
35,2.98145E-01,occupants
36,8.21315E-01,occupants
37,8.41665E-01,occupants
38,4.16059E-01,occupants
39,7.87058E-01,occupants
40,1.05812E+00,occupants
41,3.52725E-01,occupants
42,5.86499E-01,occupants
43,5.79677E-01,occupants
44,5.12546E-01,occupants
45,1.17838E+00,occupants
46,3.76742E+00,occupants
47,1.25273E+00,occupants
48,7.95703E-01,occupants
49,1.81398E-01,occupants
50,1.09005E+01,occupants
51,5.25370E-01,occupants
52,1.94495E+00,occupants
53,1.19656E+00,occupants
54,4.23312E-01,occupants
55,2.64713E+00,occupants
56,4.30891E+00,occupants
57,3.56288E-01,occupants
58,5.78540E-01,occupants
59,1.19873E+00,occupants
60,9.39760E-01,occupants
61,1.77198E+00,occupants
62,6.40285E+00,occupants
63,7.38607E-01,occupants
64,1.74813E+00,occupants
65,9.09789E-01,occupants
66,9.70500E-01,occupants
67,5.04822E-01,occupants
68,2.04338E+00,occupants
69,5.72403E-01,occupants
70,1.19992E+00,occupants
71,1.43824E+00,occupants
72,2.05314E-01,occupants
73,4.59782E-01,occupants
74,7.67530E-01,occupants
75,1.33264E+00,occupants
76,1.07653E+00,occupants
77,2.78506E+00,occupants
78,9.03117E-01,occupants
79,7.70750E-01,occupants
80,1.24588E+00,occupants
81,3.86933E-01,occupants
82,6.47999E-01,occupants
83,2.94846E+00,occupants
84,5.01251E-01,occupants
85,1.07212E+00,occupants
86,1.55109E+00,occupants
87,3.95526E+00,occupants
88,1.26500E+00,occupants
89,6.81562E-01,occupants
90,4.37866E-01,occupants
91,4.12212E-01,occupants
92,2.02537E+00,occupants
93,2.95564E-01,occupants
94,3.97582E-01,occupants
95,1.36271E+00,occupants
96,8.46091E+00,occupants
97,4.51592E-01,occupants
98,3.21759E-01,occupants
99,5.45226E-01,occupants
100,3.90536E-01,occupants
101,2.19400E+00,occupants
102,1.20078E+00,occupants
103,7.21956E-01,occupants
104,5.32436E-01,occupants
105,1.17619E+00,occupants
106,1.68917E+00,occupants
107,5.61171E-01,occupants
108,8.32170E-01,occupants
109,8.73739E-01,occupants
110,1.29113E+00,occupants
111,1.31023E+00,occupants
112,8.47012E-01,occupants
113,5.26326E-01,occupants
114,4.83431E-01,occupants
115,5.52341E-01,occupants
116,4.68567E+00,occupants
117,4.22026E-01,occupants
118,1.10713E+00,occupants
119,2.52856E-01,occupants
120,6.29856E-01,occupants
121,6.37121E-01,occupants
122,5.38871E-01,occupants
123,1.31443E+00,occupants
124,1.22006E+00,occupants
125,8.58682E-01,occupants
126,3.23182E+00,occupants
127,3.60328E-01,occupants
128,1.84979E+00,occupants
129,1.12537E+00,occupants
130,8.23282E-01,occupants
131,3.84141E+00,occupants
132,8.98339E+00,occupants
133,7.67821E-01,occupants
134,4.02873E-01,occupants
135,1.35891E+00,occupants
136,8.96565E-01,occupants
137,8.18531E-01,occupants
138,8.29180E-01,occupants
139,4.35777E-01,occupants
140,5.11929E-01,occupants
141,7.68616E-01,occupants
142,1.21384E+00,occupants
143,2.04963E+00,occupants
144,3.51387E-01,occupants
145,7.05015E-01,occupants
146,7.02277E-01,occupants
147,7.21515E-01,occupants
148,6.22361E-01,occupants
149,4.81765E-01,occupants
150,5.31027E-01,occupants
151,1.39562E+00,occupants
152,1.18497E+00,occupants
153,1.10146E+00,occupants
154,4.65336E-01,occupants
155,7.51021E-01,occupants
156,4.90978E-01,occupants
157,9.10032E-01,occupants
158,4.64011E-01,occupants
159,6.42837E+00,occupants
160,6.95940E-01,occupants
161,6.23048E-01,occupants
162,8.46272E-01,occupants
163,1.87218E+00,occupants
164,1.66461E+00,occupants
165,1.33486E+00,occupants
166,7.84479E-01,occupants
167,5.55579E-01,occupants
168,4.61717E-01,occupants
169,3.97304E-01,occupants
170,6.38043E-01,occupants
171,3.34157E-01,occupants
172,8.44589E-01,occupants
173,6.00615E-01,occupants
