#,,"generated_by='OpenQuake engine 3.13.0-gitd2db5fa', start_date='2021-10-24T00:01:56', checksum=838623436"
event_id,loss,loss_type
0,1.19857E+01,occupants
1,4.03039E+01,occupants
2,1.11397E+02,occupants
3,1.01466E+01,occupants
4,1.27155E+02,occupants
5,7.98961E+01,occupants
6,4.77512E+01,occupants
7,3.93297E+01,occupants
8,1.81218E+01,occupants
9,9.16375E+01,occupants
10,4.54329E+01,occupants
11,4.71251E+01,occupants
12,1.00573E+02,occupants
13,1.91198E+02,occupants
14,2.24840E+01,occupants
15,9.42881E+01,occupants
16,2.79251E+01,occupants
17,8.29588E+01,occupants
18,4.07193E+01,occupants
19,4.19047E+01,occupants
20,1.59648E+02,occupants
21,3.45104E+01,occupants
22,1.53170E+01,occupants
23,1.43264E+01,occupants
24,2.94694E+01,occupants
25,7.46661E+01,occupants
26,2.81228E+00,occupants
27,1.38822E+01,occupants
28,7.14935E+01,occupants
29,5.64636E+01,occupants
30,1.14703E+02,occupants
31,1.08447E+02,occupants
32,3.03681E+01,occupants
33,1.30211E+01,occupants
34,2.12310E+01,occupants
35,5.20756E+01,occupants
36,2.68280E+01,occupants
37,1.90617E+01,occupants
38,6.49278E+01,occupants
39,4.17640E+01,occupants
40,4.49877E+01,occupants
41,8.77209E+00,occupants
42,2.59186E+01,occupants
43,3.15576E+01,occupants
44,1.47911E+02,occupants
45,7.18462E+01,occupants
46,4.32241E+00,occupants
47,1.30052E+01,occupants
48,1.29752E+02,occupants
49,7.83229E+00,occupants
50,1.69721E+02,occupants
51,4.84031E+01,occupants
52,8.05534E+01,occupants
53,2.05877E+01,occupants
54,5.19967E+01,occupants
55,5.00833E+00,occupants
56,4.19200E+01,occupants
57,4.58302E+01,occupants
58,2.72709E+01,occupants
59,7.76957E+00,occupants
60,7.19731E+01,occupants
61,6.51409E+01,occupants
62,8.66245E+01,occupants
63,1.51683E+01,occupants
64,1.07403E+02,occupants
65,9.01812E+01,occupants
66,2.49981E+01,occupants
67,4.49197E+01,occupants
68,9.91704E+00,occupants
69,1.19852E+02,occupants
70,3.45764E+01,occupants
71,5.78869E+00,occupants
72,9.34054E+00,occupants
73,6.90414E+01,occupants
74,6.37735E+01,occupants
75,4.60329E+01,occupants
76,3.31491E+01,occupants
77,1.06557E+02,occupants
78,3.97296E+01,occupants
79,7.94042E+01,occupants
80,2.45311E+01,occupants
81,1.11479E+01,occupants
82,2.16619E+01,occupants
83,4.25181E+00,occupants
84,3.83923E+00,occupants
85,4.08666E+01,occupants
86,1.13211E+02,occupants
87,5.15128E+01,occupants
88,3.47276E+01,occupants
89,1.26122E+02,occupants
90,7.94652E+01,occupants
91,1.01173E+01,occupants
92,1.08635E+01,occupants
93,1.35985E+01,occupants
94,1.55069E+02,occupants
95,6.81809E+00,occupants
96,7.20388E+01,occupants
97,1.03391E+01,occupants
98,1.05882E+01,occupants
99,1.24828E+01,occupants
100,2.10114E+01,occupants
101,1.50465E+02,occupants
102,2.46058E+01,occupants
103,6.12693E+01,occupants
104,4.85765E+01,occupants
105,6.81600E+00,occupants
106,3.28942E+01,occupants
107,8.01187E+01,occupants
108,6.70972E+01,occupants
109,1.18893E+02,occupants
110,3.96465E+01,occupants
111,6.96211E+01,occupants
112,5.72324E+01,occupants
113,8.38732E+01,occupants
114,6.30807E+01,occupants
115,3.93825E+01,occupants
116,3.40045E+01,occupants
117,1.47153E+02,occupants
118,8.06567E+01,occupants
119,5.28731E+01,occupants
120,6.92006E+01,occupants
121,1.77413E+01,occupants
122,6.42660E+01,occupants
123,9.65101E+01,occupants
124,2.09886E+02,occupants
125,4.79380E+01,occupants
126,5.66549E+00,occupants
127,9.77795E+01,occupants
128,4.52438E+01,occupants
129,5.84437E+01,occupants
130,7.76584E+01,occupants
131,4.88823E+00,occupants
132,8.21316E+01,occupants
133,7.06752E+01,occupants
134,1.93406E+01,occupants
135,8.29320E+01,occupants
136,6.04702E+01,occupants
137,2.22315E+02,occupants
138,2.01725E+01,occupants
139,5.04151E+01,occupants
140,9.48911E+01,occupants
141,5.12366E+01,occupants
142,5.63326E+01,occupants
143,2.15972E+01,occupants
144,3.29965E+01,occupants
145,1.11432E+02,occupants
146,1.79824E+02,occupants
147,5.16602E+01,occupants
148,5.97501E+01,occupants
149,9.11786E+01,occupants
150,8.23475E+01,occupants
151,9.44022E+00,occupants
152,7.84250E+01,occupants
153,5.56809E+01,occupants
154,6.32477E+01,occupants
155,7.98954E+01,occupants
156,8.46441E+00,occupants
157,3.52913E+00,occupants
158,1.32913E+02,occupants
159,1.17488E+00,occupants
160,4.43374E+00,occupants
161,2.04752E+01,occupants
162,3.26475E+01,occupants
163,9.60003E+01,occupants
164,2.95331E+01,occupants
165,4.18020E+01,occupants
166,2.86574E+01,occupants
167,1.11438E+02,occupants
168,2.68884E+01,occupants
169,2.38126E+01,occupants
170,1.15822E+01,occupants
171,6.38979E+01,occupants
172,4.25570E+00,occupants
173,4.38403E+01,occupants
174,5.62296E+00,occupants
175,2.15508E+01,occupants
176,5.08490E+01,occupants
177,1.43505E+02,occupants
178,1.12067E+02,occupants
179,1.31374E+02,occupants
180,1.00416E+01,occupants
181,5.90852E+01,occupants
182,1.13934E+02,occupants
183,1.14322E+01,occupants
184,1.62496E+01,occupants
185,6.13843E+01,occupants
186,4.83273E+01,occupants
187,9.62136E+01,occupants
188,5.21423E+00,occupants
189,4.13954E+01,occupants
190,3.66121E+01,occupants
191,2.95635E+00,occupants
192,6.85865E+00,occupants
